level_id,session_date,year,side,entry_time,exit_time,entry_price,exit_price,anchor,cap,exit_reason,pnl
17_lower,2018-02-02,2018,lower,2018-02-02 04:21:00-05:00,2018-02-02 10:01:00-05:00,6880.975997086674,6831.850997086674,32.75,49.125,SL,-49.125
42_upper,2018-03-08,2018,upper,2018-03-08 09:08:00-05:00,2018-03-08 09:57:00-05:00,6967.241668711537,6967.241668711537,12.25,18.375,BE,-0.0
45_upper,2018-03-09,2018,upper,2018-03-08 19:00:00-05:00,2018-03-08 19:46:00-05:00,7000.75,7000.75,16.0,24.0,BE,-0.0
115_lower,2018-06-19,2018,lower,2018-06-18 22:11:00-04:00,2018-06-18 23:27:00-04:00,7199.085344323959,7199.085344323959,30.75,46.125,BE,0.0
203_lower,2018-10-23,2018,lower,2018-10-23 09:30:00-04:00,2018-10-23 09:32:00-04:00,7000.761047057629,7031.511047057629,20.5,30.75,TP,30.75
220_lower,2018-11-12,2018,lower,2018-11-12 09:32:00-05:00,2018-11-12 10:03:00-05:00,6976.819470200613,6914.194470200613,41.75,62.625,SL,-62.625
229_upper,2018-11-21,2018,upper,2018-11-21 09:31:00-05:00,2018-11-21 09:41:00-05:00,6638.488855974993,6600.988855974993,25.0,37.5,TP,37.5
289_lower,2019-03-08,2019,lower,2019-03-08 08:30:00-05:00,2019-03-08 09:00:00-05:00,6998.584511919897,6980.959511919897,11.75,17.625,SL,-17.625
328_upper,2019-04-17,2019,upper,2019-04-16 21:59:00-04:00,2019-04-17 05:35:00-04:00,7699.333072790703,7699.333072790703,16.25,24.375,BE,-0.0
339_lower,2019-04-30,2019,lower,2019-04-29 21:00:00-04:00,2019-04-30 03:01:00-04:00,7787.768622292595,7802.393622292595,9.75,14.625,TP,14.625
366_upper,2019-06-07,2019,upper,2019-06-07 08:50:00-04:00,2019-06-07 09:02:00-04:00,7325.629743750348,7307.254743750348,12.25,18.375,TP,18.375
466_upper,2019-10-24,2019,upper,2019-10-24 03:15:00-04:00,2019-10-24 06:12:00-04:00,7934.28716641723,7934.28716641723,14.0,21.0,BE,-0.0
582_upper,2020-04-14,2020,upper,2020-04-14 09:34:00-04:00,2020-04-14 09:50:00-04:00,8503.366634118818,8564.116634118818,40.5,60.75,SL,-60.75
636_upper,2020-07-02,2020,upper,2020-07-02 08:30:00-04:00,2020-07-02 09:32:00-04:00,10344.29260296773,10385.54260296773,27.5,41.25,SL,-41.25
663_upper,2020-08-05,2020,upper,2020-08-05 02:05:00-04:00,2020-08-05 03:11:00-04:00,11106.176913153135,11131.676913153135,17.0,25.5,SL,-25.5
689_lower,2020-09-08,2020,lower,2020-09-08 06:25:00-04:00,2020-09-08 07:23:00-04:00,11253.833137562138,11253.833137562138,126.75,190.125,BE,0.0
675_lower,2020-09-08,2020,lower,2020-09-08 09:41:00-04:00,2020-09-08 09:57:00-04:00,11134.052899648159,11286.302899648159,101.5,152.25,TP,152.25
694_lower,2020-09-17,2020,lower,2020-09-17 08:30:00-04:00,2020-09-17 10:45:00-04:00,10994.689272151754,11116.939272151754,81.5,122.25,TP,122.25
707_upper,2020-10-12,2020,upper,2020-10-11 19:46:00-04:00,2020-10-11 21:32:00-04:00,11749.39506993154,11749.39506993154,57.25,85.875,BE,-0.0
756_upper,2020-12-18,2020,upper,2020-12-18 09:18:00-05:00,2020-12-18 09:45:00-05:00,12787.820547812002,12741.695547812002,30.75,46.125,TP,46.125
834_upper,2021-04-05,2021,upper,2021-04-05 09:33:00-04:00,2021-04-05 10:45:00-04:00,13438.997987515359,13537.622987515359,65.75,98.625,SL,-98.625
944_lower,2021-09-13,2021,lower,2021-09-13 10:01:00-04:00,2021-09-13 11:13:00-04:00,15391.201243038602,15391.201243038602,129.25,193.875,BE,0.0
972_upper,2021-10-14,2021,upper,2021-10-14 08:30:00-04:00,2021-10-14 09:43:00-04:00,14938.793156548334,14938.793156548334,45.75,68.625,BE,-0.0
999_lower,2021-11-23,2021,lower,2021-11-22 21:23:00-05:00,2021-11-23 02:09:00-05:00,16358.632254367074,16294.882254367074,42.5,63.75,SL,-63.75
1020_lower,2022-01-10,2022,lower,2022-01-10 09:31:00-05:00,2022-01-10 09:55:00-05:00,15355.536925114435,15271.911925114435,55.75,83.625,SL,-83.625
1089_upper,2022-03-29,2022,upper,2022-03-29 05:07:00-04:00,2022-03-29 07:32:00-04:00,15057.055654262684,15015.805654262684,27.5,41.25,TP,41.25
1132_lower,2022-06-10,2022,lower,2022-06-10 08:30:00-04:00,2022-06-10 08:32:00-04:00,12165.96764800338,12096.96764800338,46.0,69.0,SL,-69.0
1181_lower,2022-08-09,2022,lower,2022-08-09 09:31:00-04:00,2022-08-09 09:56:00-04:00,13061.266921843504,13001.641921843504,39.75,59.625,SL,-59.625
1184_upper,2022-08-10,2022,upper,2022-08-10 08:30:00-04:00,2022-08-10 08:32:00-04:00,13302.994635853946,13356.994635853946,36.0,54.0,SL,-54.0
1250_upper,2022-11-10,2022,upper,2022-11-10 08:30:00-05:00,2022-11-10 08:30:00-05:00,11198.403031557606,11239.278031557606,27.25,40.875,SL,-40.875
1253_upper,2022-11-15,2022,upper,2022-11-15 08:30:00-05:00,2022-11-15 08:32:00-05:00,11963.510825379766,12057.260825379766,62.5,93.75,SL,-93.75
1294_upper,2023-01-18,2023,upper,2023-01-18 08:30:00-05:00,2023-01-18 08:33:00-05:00,11716.054661598511,11669.554661598511,31.0,46.5,TP,46.5
1316_upper,2023-02-14,2023,upper,2023-02-14 08:29:00-05:00,2023-02-14 08:30:00-05:00,12614.653492198106,12575.653492198106,26.0,39.0,TP,39.0
1418_upper,2023-07-12,2023,upper,2023-07-12 08:30:00-04:00,2023-07-12 08:31:00-04:00,15359.868794196565,15407.118794196565,31.5,47.25,SL,-47.25
1449_upper,2023-08-21,2023,upper,2023-08-21 04:24:00-04:00,2023-08-21 13:26:00-04:00,14823.580191280835,14944.330191280835,80.5,120.75,SL,-120.75
1464_upper,2023-09-11,2023,upper,2023-09-10 20:00:00-04:00,2023-09-10 21:20:00-04:00,15522.5,15499.625,15.25,22.875,TP,22.875
1465_lower,2023-09-13,2023,lower,2023-09-13 08:30:00-04:00,2023-09-13 08:37:00-04:00,15421.240815329766,15496.240815329766,50.0,75.0,TP,75.0
1497_upper,2023-11-02,2023,upper,2023-11-02 08:30:00-04:00,2023-11-02 09:30:00-04:00,14935.534575520875,14935.534575520875,29.25,43.875,BE,-0.0
1522_upper,2023-12-11,2023,upper,2023-12-11 09:33:00-05:00,2023-12-11 09:46:00-05:00,16326.546718839738,16366.671718839738,26.75,40.125,SL,-40.125
1569_upper,2024-02-09,2024,upper,2024-02-09 08:31:00-05:00,2024-02-09 09:27:00-05:00,17946.099026789314,17908.224026789314,25.25,37.875,TP,37.875
1572_lower,2024-02-13,2024,lower,2024-02-13 08:30:00-05:00,2024-02-13 08:32:00-05:00,17738.414944922893,17682.164944922893,37.5,56.25,SL,-56.25
1573_upper,2024-03-01,2024,upper,2024-03-01 10:00:00-05:00,2024-03-01 12:20:00-05:00,18166.181503894106,18261.056503894106,63.25,94.875,SL,-94.875
1601_lower,2024-03-22,2024,lower,2024-03-22 08:17:00-04:00,2024-03-22 09:47:00-04:00,18500.875677885975,18500.875677885975,78.25,117.375,BE,0.0
1636_upper,2024-05-15,2024,upper,2024-05-15 08:30:00-04:00,2024-05-15 08:30:00-04:00,18479.93747753404,18501.31247753404,14.25,21.375,SL,-21.375
1660_upper,2024-06-17,2024,upper,2024-06-16 20:00:00-04:00,2024-06-17 02:01:00-04:00,19973.0,19944.125,19.25,28.875,TP,28.875
1705_upper,2024-08-16,2024,upper,2024-08-15 22:19:00-04:00,2024-08-15 23:40:00-04:00,19643.32445003435,19643.32445003435,36.5,54.75,BE,-0.0
1736_upper,2024-10-14,2024,upper,2024-10-14 09:32:00-04:00,2024-10-14 09:46:00-04:00,20568.1364881059,20625.8864881059,38.5,57.75,SL,-57.75
1776_upper,2024-11-25,2024,upper,2024-11-25 09:39:00-05:00,2024-11-25 09:53:00-05:00,21057.184712607195,20931.184712607195,84.0,126.0,TP,126.0
1813_upper,2025-01-22,2025,upper,2025-01-22 09:31:00-05:00,2025-01-22 09:51:00-05:00,21948.538405150117,21994.288405150117,30.5,45.75,SL,-45.75
1899_lower,2025-05-23,2025,lower,2025-05-23 07:43:00-04:00,2025-05-23 07:44:00-04:00,21026.60371456908,20956.85371456908,46.5,69.75,SL,-69.75
1917_lower,2025-06-19,2025,lower,2025-06-19 09:05:00-04:00,2025-06-19 12:59:00-04:00,21741.51368658432,21703.0,82.75,124.125,cutoff,-38.51368658431966
1923_upper,2025-06-25,2025,upper,2025-06-25 09:30:00-04:00,2025-06-25 10:14:00-04:00,22516.453264443597,22472.953264443597,29.0,43.5,TP,43.5
1926_upper,2025-07-03,2025,upper,2025-07-03 09:51:00-04:00,2025-07-03 13:14:00-04:00,22990.650113436634,23059.0,85.0,127.5,cutoff,-68.34988656336645
1941_lower,2025-08-01,2025,lower,2025-08-01 09:32:00-04:00,2025-08-01 09:49:00-04:00,23026.723166003285,22864.723166003285,108.0,162.0,SL,-162.0
1962_upper,2025-09-10,2025,upper,2025-09-10 08:30:00-04:00,2025-09-10 08:30:00-04:00,23988.887704685447,24041.387704685447,35.0,52.5,SL,-52.5
1976_upper,2025-09-15,2025,upper,2025-09-14 20:00:00-04:00,2025-09-14 20:56:00-04:00,24349.0,24349.0,28.5,42.75,BE,-0.0
2015_lower,2025-11-04,2025,lower,2025-11-04 04:51:00-05:00,2025-11-04 08:28:00-05:00,25705.554893746776,25705.554893746776,62.0,93.0,BE,0.0
2110_lower,2026-03-19,2026,lower,2026-03-19 05:25:00-04:00,2026-03-19 05:51:00-04:00,24504.40746154799,24636.40746154799,88.0,132.0,TP,132.0
