level_id,session_date,year,side,entry_time,exit_time,entry_price,exit_price,anchor,cap,v_score,exit_reason,pnl
0_upper,2018-01-03,2018,upper,2018-01-03 04:06:00-05:00,2018-01-03 04:53:00-05:00,6529.134910517963,6529.134910517963,5.75,8.625,0.0028735632183908046,BE,-0.0
1_upper,2018-01-04,2018,upper,2018-01-03 19:09:00-05:00,2018-01-03 20:12:00-05:00,6591.363648739487,6582.363648739487,6.0,9.0,0.007276507276507277,TP,9.0
4_upper,2018-01-09,2018,upper,2018-01-09 08:26:00-05:00,2018-01-09 09:35:00-05:00,6700.852925468027,6692.227925468027,5.75,8.625,0.002586206896551724,TP,8.625
5_lower,2018-01-10,2018,lower,2018-01-10 05:59:00-05:00,2018-01-10 06:24:00-05:00,6644.365418961772,6654.865418961772,7.0,10.5,0.0018243736317197761,TP,10.5
4_lower,2018-01-10,2018,lower,2018-01-10 10:02:00-05:00,2018-01-10 15:00:00-05:00,6629.772074531973,6662.0,35.5,53.25,0.0007486897928624906,cutoff,32.227925468027024
5_upper,2018-01-12,2018,upper,2018-01-12 03:25:00-05:00,2018-01-12 04:13:00-05:00,6741.759581038228,6741.759581038228,6.25,9.375,0.00399616368286445,BE,-0.0
9_upper,2018-01-16,2018,upper,2018-01-16 05:23:00-05:00,2018-01-16 09:35:00-05:00,6809.770647884909,6826.270647884909,11.0,16.5,0.0022091310751104565,SL,-16.5
12_upper,2018-01-22,2018,upper,2018-01-22 10:09:00-05:00,2018-01-22 12:05:00-05:00,6862.577746742863,6898.202746742863,23.75,35.625,0.00045802798134576947,SL,-35.625
15_upper,2018-01-24,2018,upper,2018-01-24 10:14:00-05:00,2018-01-24 11:13:00-05:00,6998.255469793344,6955.880469793344,28.25,42.375,0.0006773920406435225,TP,42.375
19_lower,2018-01-30,2018,lower,2018-01-29 22:52:00-05:00,2018-01-29 22:56:00-05:00,6956.366742923148,6964.616742923148,5.5,8.25,0.0065938206480783725,TP,8.25
18_lower,2018-01-30,2018,lower,2018-01-30 10:05:00-05:00,2018-01-30 11:09:00-05:00,6909.722612509674,6964.847612509674,36.75,55.125,0.0002551888397414086,TP,55.125
17_lower,2018-02-02,2018,lower,2018-02-02 04:21:00-05:00,2018-02-02 10:01:00-05:00,6880.975997086674,6831.850997086674,32.75,49.125,0.00016611295681063124,SL,-49.125
25_upper,2018-02-07,2018,upper,2018-02-07 10:08:00-05:00,2018-02-07 13:06:00-05:00,6684.944584107352,6617.819584107352,44.75,67.125,0.0013271524169127817,TP,67.125
27_lower,2018-02-08,2018,lower,2018-02-08 10:54:00-05:00,2018-02-08 11:40:00-05:00,6489.755992857791,6489.755992857791,69.0,103.5,0.0021817921693929134,BE,0.0
28_upper,2018-02-12,2018,upper,2018-02-12 09:44:00-05:00,2018-02-12 10:13:00-05:00,6513.528021066135,6463.653021066135,33.25,49.875,0.0011134712895710566,TP,49.875
30_upper,2018-02-14,2018,upper,2018-02-14 02:34:00-05:00,2018-02-14 08:30:00-05:00,6590.569710186437,6578.569710186437,8.0,12.0,0.010706638115631691,TP,12.0
34_lower,2018-02-20,2018,lower,2018-02-20 05:04:00-05:00,2018-02-20 06:23:00-05:00,6727.800168995409,6727.800168995409,34.0,51.0,0.006516211061665607,BE,0.0
35_lower,2018-03-02,2018,lower,2018-03-02 08:01:00-05:00,2018-03-02 09:12:00-05:00,6674.644394150568,6674.644394150568,44.5,66.75,0.0016855544398221203,BE,0.0
32_lower,2018-03-02,2018,lower,2018-03-02 09:44:00-05:00,2018-03-02 10:33:00-05:00,6655.008211491266,6700.383211491266,30.25,45.375,0.00016786868938075105,TP,45.375
46_upper,2018-03-08,2018,upper,2018-03-08 02:11:00-05:00,2018-03-08 07:16:00-05:00,6945.66025015068,6962.16025015068,11.0,16.5,0.004320987654320987,SL,-16.5
45_upper,2018-03-09,2018,upper,2018-03-08 19:00:00-05:00,2018-03-08 19:46:00-05:00,7000.75,7000.75,16.0,24.0,0.006779661016949152,BE,-0.0
41_upper,2018-03-09,2018,upper,2018-03-08 20:09:00-05:00,2018-03-08 23:35:00-05:00,7013.153575857334,6991.778575857334,14.25,21.375,0.009259259259259259,TP,21.375
40_upper,2018-03-09,2018,upper,2018-03-09 08:36:00-05:00,2018-03-09 08:38:00-05:00,7057.28680551017,7047.53680551017,6.5,9.75,0.006671134397465578,TP,9.75
49_upper,2018-03-13,2018,upper,2018-03-13 09:42:00-04:00,2018-03-13 10:55:00-04:00,7211.202029295153,7160.202029295153,34.0,51.0,0.0004997074882995319,TP,51.0
51_lower,2018-03-15,2018,lower,2018-03-14 21:10:00-04:00,2018-03-15 11:25:00-04:00,7027.927462033644,7095.802462033644,45.25,67.875,0.00043053960964408724,TP,67.875
53_lower,2018-03-19,2018,lower,2018-03-18 20:59:00-04:00,2018-03-18 21:09:00-04:00,7019.536644549242,7006.411644549242,8.75,13.125,0.008111702127659574,SL,-13.125
55_lower,2018-03-22,2018,lower,2018-03-22 03:59:00-04:00,2018-03-22 05:13:00-04:00,6815.833165584705,6815.833165584705,26.75,40.125,0.002609791216702664,BE,0.0
46_lower,2018-03-22,2018,lower,2018-03-22 06:50:00-04:00,2018-03-22 08:36:00-04:00,6796.46474984932,6796.46474984932,38.0,57.0,0.0058574277168494514,BE,0.0
58_upper,2018-03-27,2018,upper,2018-03-26 20:01:00-04:00,2018-03-26 21:20:00-04:00,6796.0404081907745,6820.4154081907745,16.25,24.375,0.012295081967213115,SL,-24.375
