roll_timestamp,session_date,from_contract,to_contract,roll_number
2018-03-12 04:00:00+00:00,2018-03-12,ESH8,ESM8,1
2018-06-11 04:00:00+00:00,2018-06-11,ESM8,ESU8,2
2018-09-17 04:00:00+00:00,2018-09-17,ESU8,ESZ8,3
2018-12-17 05:00:00+00:00,2018-12-17,ESZ8,ESH9,4
2019-03-11 04:00:00+00:00,2019-03-11,ESH9,ESM9,5
2019-06-17 04:00:00+00:00,2019-06-17,ESM9,ESU9,6
2019-09-16 04:00:00+00:00,2019-09-16,ESU9,ESZ9,7
2019-12-16 05:00:00+00:00,2019-12-16,ESZ9,ESH0,8
2020-03-16 04:00:00+00:00,2020-03-16,ESH0,ESM0,9
2020-06-15 04:00:00+00:00,2020-06-15,ESM0,ESU0,10
2020-09-14 04:00:00+00:00,2020-09-14,ESU0,ESZ0,11
2020-12-14 05:00:00+00:00,2020-12-14,ESZ0,ESH1,12
2021-03-15 04:00:00+00:00,2021-03-15,ESH1,ESM1,13
2021-06-14 04:00:00+00:00,2021-06-14,ESM1,ESU1,14
2021-09-13 04:00:00+00:00,2021-09-13,ESU1,ESZ1,15
2021-12-13 05:00:00+00:00,2021-12-13,ESZ1,ESH2,16
2022-03-14 04:00:00+00:00,2022-03-14,ESH2,ESM2,17
2022-06-14 04:00:00+00:00,2022-06-14,ESM2,ESU2,18
2022-09-13 04:00:00+00:00,2022-09-13,ESU2,ESZ2,19
2022-12-13 05:00:00+00:00,2022-12-13,ESZ2,ESH3,20
2023-03-14 04:00:00+00:00,2023-03-14,ESH3,ESM3,21
2023-06-13 04:00:00+00:00,2023-06-13,ESM3,ESU3,22
2023-09-12 04:00:00+00:00,2023-09-12,ESU3,ESZ3,23
2023-12-12 05:00:00+00:00,2023-12-12,ESZ3,ESH4,24
2024-03-12 04:00:00+00:00,2024-03-12,ESH4,ESM4,25
2024-06-18 04:00:00+00:00,2024-06-18,ESM4,ESU4,26
2024-09-17 04:00:00+00:00,2024-09-17,ESU4,ESZ4,27
2024-12-17 05:00:00+00:00,2024-12-17,ESZ4,ESH5,28
2025-03-18 04:00:00+00:00,2025-03-18,ESH5,ESM5,29
2025-06-17 04:00:00+00:00,2025-06-17,ESM5,ESU5,30
2025-09-16 04:00:00+00:00,2025-09-16,ESU5,ESZ5,31
2025-12-16 05:00:00+00:00,2025-12-16,ESZ5,ESH6,32
2026-03-17 04:00:00+00:00,2026-03-17,ESH6,ESM6,33
