sigma_mult,offset_pct,ib_minutes,n_touches,n_levels,median_mae_R,median_mfe_R,p75_mae_R,p75_mfe_R,mean_mae_R,mean_mfe_R,excursion_asymmetry_median,excursion_asymmetry_mean,frac_mfe_gt_mae,seconds
0.75,0.02,15,1242,773,0.7002085606380122,0.6014433503295946,1.804473583901957,1.376032966835941,1.4066005539024942,1.1293074216010637,-0.09876521030841756,-0.2772931323014305,0.4524959742351047,4.74
1.5,0.08,15,1111,773,0.7699367518759078,0.6680511848671715,1.8203081302457025,1.5094594049883914,1.41416946770268,1.1984560739029242,-0.1018855670087363,-0.21571339379975574,0.46444644464446444,4.56
0.75,0.08,15,1251,773,0.6934706252626306,0.5903248850998156,1.8264794199887227,1.3453513339197776,1.4390730974408603,1.1309606341966263,-0.10314574016281497,-0.308112463244234,0.45003996802557955,4.69
0.5,0.08,45,1241,773,0.7131853511741214,0.6097051344251323,1.742255679634839,1.44344951066078,1.3648451940587156,1.221033344632788,-0.1034802167489891,-0.14381184942592773,0.48912167606768736,4.7
0.75,0.03,15,1240,773,0.7017529583522778,0.5960313539794639,1.8211674926979429,1.3788054638760254,1.4098056659295726,1.131955241996528,-0.10572160437281386,-0.2778504239330446,0.45161290322580644,4.65
1.5,0.01,15,1088,773,0.7942193865774423,0.6884523989948439,1.765140462845801,1.5020760105404647,1.419611150387356,1.2133620962349676,-0.10576698758259839,-0.20624905415238848,0.4724264705882353,4.71
1.15,0.08,30,1162,773,0.7552635905488158,0.6488907617002924,1.801546240565922,1.4913199813452667,1.4674816332206828,1.2320286025737786,-0.10637282884852339,-0.23545303064690426,0.47160068846815834,4.9
1.35,0.01,15,1115,773,0.7826769649969465,0.6760346943656259,1.8190283832876277,1.5328395134615778,1.4109407741121942,1.2004259320917012,-0.10664227063132059,-0.21051484202049298,0.4717488789237668,4.55
0.5,0.03,30,1247,773,0.7061686371665228,0.5982290445396097,1.7693530151447918,1.374910782278251,1.4362150886639773,1.1827701791436076,-0.1079395926269131,-0.2534449095203697,0.46271050521251,4.6
1.15,0.01,15,1163,773,0.7390292620969066,0.6296859272270012,1.800200002119305,1.4433561549849347,1.444523029257939,1.1593390205177114,-0.10934333486990533,-0.28518400874022753,0.469475494411006,4.63
0.5,0.01,30,1245,773,0.7142425767712914,0.6046086025667656,1.7961333612837433,1.3926509740220243,1.4473138212786074,1.1697372955980843,-0.10963397420452581,-0.27757652568052316,0.4602409638554217,4.67
0.75,0.05,15,1252,773,0.6993776780597161,0.5895133602578886,1.8519214253377987,1.366106387403502,1.4344302352335023,1.15134777125243,-0.10986431780182748,-0.2830824639810723,0.45766773162939295,4.85
0.5,0.05,30,1257,773,0.695182878688252,0.5849036542514019,1.6915691340228107,1.4010544404123133,1.3819497012554747,1.208956770353949,-0.11027922443685012,-0.17299293090152568,0.4709626093874304,4.66
1.35,0.08,15,1147,773,0.7300589286215018,0.6191264345752009,1.7679562165986957,1.4852429312564885,1.4142302419548738,1.2126941737248624,-0.1109324940463009,-0.20153606823001136,0.4734088927637315,4.63
0.75,0.03,30,1211,773,0.7357322293392018,0.6241836827285815,1.8512689697230447,1.374061881023645,1.4414706393173433,1.1244988327677496,-0.1115485466106203,-0.31697180654959367,0.4558216350123865,4.7
0.5,0.02,30,1250,773,0.712396596984092,0.6000176018284198,1.7958305237359906,1.3584718172612942,1.4313107979421567,1.1801927643474313,-0.11237899515567218,-0.2511180335947254,0.4592,4.81
1.75,0.03,15,1053,773,0.8156463819375107,0.7031595644775985,1.835514566252338,1.6736118211923994,1.420950480583429,1.2770584367637634,-0.11248681745991218,-0.14389204381966558,0.466286799620133,4.75
0.75,0.0,30,1204,773,0.7532716160638293,0.6400026225605213,1.8208850136630312,1.3943783911737633,1.4608208798939797,1.1704852621881365,-0.11326899350330799,-0.29033561770584315,0.4659468438538206,4.78
0.75,0.0,15,1233,773,0.7064288219713675,0.5925212549584674,1.7822882397515802,1.4016584178442524,1.4264882757766566,1.136310797311092,-0.11390756701290006,-0.29017747846556463,0.44768856447688565,4.74
1.0,0.0,30,1159,773,0.7622186488193871,0.6479250001913514,1.8097879079893897,1.5039183386328174,1.47133388986273,1.2445999366524318,-0.1142936486280357,-0.2267339532102981,0.4710957722174288,4.81
0.75,0.0,45,1177,773,0.7746136302749922,0.6602807164609819,1.8550888630350901,1.4759828060269304,1.491559755930615,1.22958364837107,-0.11433291381401034,-0.26197610755954504,0.4638912489379779,4.71
1.15,0.0,15,1153,773,0.7394941089619266,0.6242428341148109,1.7908081760260537,1.422359981744754,1.4258067891134478,1.1468112635977357,-0.11525127484711573,-0.27899552551571216,0.46227233304423243,4.6
0.75,0.02,30,1213,773,0.7440254714209603,0.6287190785827804,1.856290268588819,1.3867962415157677,1.452396724972024,1.1454496823962443,-0.1153063928381799,-0.30694704257577965,0.4558944765045342,4.59
1.5,0.05,15,1097,773,0.7924166873674593,0.6762548080200182,1.8729397010185709,1.5123659765010213,1.4653169362215328,1.236295968905327,-0.11616187934744104,-0.2290209673162058,0.4603463992707384,4.58
0.5,0.01,15,1275,773,0.6959000006700423,0.5796148185127162,1.670877424658435,1.3388369751804081,1.3624306192811961,1.1440910791223544,-0.11628518215732608,-0.21833954015884172,0.47058823529411764,4.82
0.75,0.01,45,1184,773,0.7703161569966961,0.6519404078031228,1.842247143471917,1.4227076075284608,1.4717999270779103,1.1978842897844297,-0.1183757491935733,-0.27391563729348056,0.4653716216216216,4.59
0.75,0.05,30,1224,773,0.7308437435914013,0.6118276701942262,1.860324124445901,1.4106378267107056,1.4479333122028195,1.1410932937958098,-0.11901607339717502,-0.3068400184070097,0.4526143790849673,4.78
1.35,0.02,15,1123,773,0.7830490367467163,0.6633126123399179,1.8370976991744736,1.4630192025379778,1.4234438438140906,1.1745198431157313,-0.11973642440679844,-0.2489240006983593,0.4790739091718611,4.57
1.35,0.0,45,1076,773,0.8203215690520069,0.7003691695288112,1.847777608921804,1.607622595366226,1.496728599535378,1.282611062182712,-0.1199523995231957,-0.21411753735266603,0.4628252788104089,4.75
1.0,0.03,45,1144,773,0.7983087366035665,0.6781276664446814,1.9226528048020304,1.5595506002619808,1.5372589103666892,1.2554909660495848,-0.12018107015888513,-0.2817679443171044,0.4571678321678322,4.52
1.0,0.08,30,1184,773,0.7650513884397496,0.6440061104962986,1.818862653192258,1.4081994302916039,1.4828399202835443,1.1606742918753399,-0.12104527794345099,-0.3221656284082044,0.46199324324324326,4.76
0.5,0.0,15,1267,773,0.7059606195818807,0.5847236928960734,1.6982725451227627,1.3625245832646145,1.3601190544591337,1.1470817595925855,-0.12123692668580732,-0.2130372948665482,0.4648776637726914,5.01
0.75,0.01,30,1205,773,0.7628484778122984,0.6414182105481093,1.827459737387757,1.3731141569874024,1.446471188114875,1.1596328448563105,-0.12143026726418904,-0.2868383432585646,0.46390041493775935,4.6
1.0,0.01,30,1164,773,0.7623524145891283,0.6408647357850674,1.8050199358379055,1.472500849197797,1.4733427317836527,1.2182452495255431,-0.12148767880406086,-0.2550974822581096,0.4647766323024055,4.6
1.5,0.01,30,1060,773,0.8410909416284429,0.7193908104204321,1.8171461275538294,1.5869934989820291,1.4529106714492142,1.2449010977356556,-0.12170013120801082,-0.20800957371355855,0.47358490566037736,4.68
1.0,0.03,30,1168,773,0.7672161428591391,0.6453693561596964,1.8334862202839806,1.4810266618028811,1.4927451007240549,1.2138338575840963,-0.12184678669944271,-0.2789112431399585,0.4666095890410959,4.59
0.5,0.03,45,1233,773,0.7151981370523511,0.5923930516217684,1.8475037752848045,1.3651904389624945,1.4391649590767364,1.1601649804112621,-0.12280508543058277,-0.2789999786654742,0.46958637469586373,4.55
0.75,0.08,30,1233,773,0.7211483077444344,0.5980741894650742,1.8545713435123918,1.377304622037506,1.433400890706053,1.170744720230573,-0.12307411827936021,-0.26265617047547996,0.45174371451743717,4.65
1.15,0.05,15,1179,773,0.748989228523591,0.6256067160034774,1.782775645651097,1.4639441585750874,1.4330818485043084,1.1667040111678852,-0.12338251252011356,-0.2663778373364232,0.46225614927905007,4.77
1.5,0.05,45,1071,773,0.8334141427382757,0.7097713868391416,1.8853784239886409,1.5720016200965627,1.4576735784421024,1.265129678934913,-0.1236427558991341,-0.19254389950718953,0.4696545284780579,4.6
1.15,0.08,45,1136,773,0.7804028010371306,0.6551234421934089,1.841699172250756,1.4659844073715416,1.5047722627136888,1.2290938021329494,-0.12527935884372166,-0.2756784605807394,0.46566901408450706,4.89
0.75,0.01,15,1234,773,0.7141841783000483,0.5884562180062847,1.7676337475988266,1.4279833587233741,1.4005386070969992,1.1329002619546227,-0.12572796029376365,-0.2676383451423765,0.4521880064829822,4.75
0.5,0.0,45,1213,773,0.7352876158237813,0.6092802064395275,1.8259608269461156,1.3606578004138794,1.4372483483389844,1.169303179079723,-0.1260074093842538,-0.2679451692592614,0.4600164880461665,4.76
0.5,0.08,15,1291,773,0.6738963734098029,0.5475096051277645,1.4934767442826105,1.325214828234668,1.274229015913344,1.1607504275644653,-0.12638676828203843,-0.1134785883488787,0.4833462432223083,4.76
0.5,0.01,45,1226,773,0.7388657984139229,0.6124002499564947,1.8299339548563736,1.3814533993213,1.433813440759401,1.1808300342574731,-0.1264655484574282,-0.25298340650192785,0.4706362153344209,4.63
0.5,0.08,30,1260,773,0.7002139814246024,0.573329094005421,1.5978175354910478,1.3504210961636272,1.3122227965979254,1.2022272004467813,-0.12688488741918147,-0.10999559615114407,0.4888888888888889,4.72
1.5,0.08,45,1076,773,0.8151675789781083,0.6871949599679478,1.824376992505353,1.5758352767266604,1.47298457647297,1.2558084815455344,-0.12797261901016055,-0.21717609492743573,0.4591078066914498,4.67
0.75,0.03,45,1192,773,0.7592747088958598,0.6291659928757278,1.7834445988728442,1.3559939891239607,1.4592332210824739,1.1358874573085918,-0.13010871602013196,-0.32334576377388213,0.4588926174496644,4.85
1.0,0.02,45,1139,773,0.8036377275338473,0.6722087257264657,1.8623063301840643,1.5199264851263892,1.5176042299709152,1.2669698029019842,-0.1314290018073816,-0.2506344270689309,0.46005267778753295,4.78
1.0,0.01,45,1140,773,0.7876731689728215,0.655451954942645,1.8700750079132,1.475465777195214,1.517360015387245,1.2388164285495522,-0.1322212140301765,-0.27854358683769287,0.4614035087719298,4.92
0.75,0.05,45,1198,773,0.783298849125213,0.6441441403506619,1.8176734679297841,1.4019436414466997,1.459100912123323,1.1588258002483829,-0.13915470877455105,-0.30027511187494005,0.4565943238731219,4.78
0.5,0.05,15,1283,773,0.7005523901094054,0.5610506886311771,1.5565489288749437,1.2776125393315096,1.3043637103427657,1.1613573230447019,-0.13950170147822827,-0.1430063872980638,0.4793452844894778,4.74
0.75,0.02,45,1185,773,0.7781118234150486,0.6383559609446322,1.8549876230797928,1.380326984021647,1.474950605008969,1.1625392867901887,-0.13975586247041638,-0.3124113182187802,0.45907172995780593,4.59
1.35,0.01,45,1075,773,0.8251495692289995,0.6851621585901194,1.8498661164958645,1.5915549909874107,1.4858960011453521,1.2485483196746734,-0.1399874106388801,-0.23734768147067875,0.4576744186046512,4.69
1.35,0.02,30,1088,773,0.7908287862881084,0.6506423092101046,1.9020220267668895,1.5075409369771886,1.4575198431983258,1.218053762041313,-0.1401864770780038,-0.23946608115701284,0.46231617647058826,4.54
1.5,0.02,30,1064,773,0.8501198856731167,0.709402118690315,1.8492347108544596,1.577027871117912,1.4683395714872836,1.2280319760946976,-0.1407177669828017,-0.24030759539258595,0.4642857142857143,4.57
1.15,0.03,30,1137,773,0.7865922382331915,0.6456899688317586,1.8484032611408734,1.5190784742573378,1.468927847673113,1.2140524224205549,-0.1409022694014329,-0.254875425252558,0.46701846965699206,4.95
1.35,0.03,15,1127,773,0.7937636182626963,0.6527502197267874,1.854545514772838,1.4381845612069477,1.4295599598050077,1.1853963327277046,-0.14101339853590888,-0.2441636270773031,0.4782608695652174,4.52
0.5,0.02,15,1277,773,0.7037696669699063,0.5624396076593401,1.6196162450930311,1.3183663232897425,1.3440620166442687,1.1487067838365528,-0.1413300593105662,-0.19535523280771594,0.47611589663273296,4.81
1.35,0.01,30,1088,773,0.8118481827865899,0.6691341700997984,1.8957552441954295,1.5428690776357683,1.4903813181859547,1.2361589577119747,-0.1427140126867915,-0.25422236047397995,0.46047794117647056,4.54
1.15,0.02,30,1133,773,0.7774093920952633,0.6335750348503749,1.856353259542976,1.539751121758049,1.4645973952166924,1.2154546888614304,-0.14383435724488836,-0.24914270635526203,0.4651368049426302,4.73
1.35,0.03,45,1082,773,0.824782654020376,0.6803812105398175,1.8767899984501661,1.552150795693401,1.4483876608182462,1.2320400389519282,-0.1444014434805585,-0.21634762186631806,0.466728280961183,4.62
1.35,0.03,30,1094,773,0.7999811541664494,0.6548398731741929,1.8782784858039514,1.4860664185185142,1.4542233646484524,1.2245188579881146,-0.14514128099225654,-0.22970450666033781,0.4716636197440585,4.58
1.15,0.05,30,1147,773,0.7887895773892485,0.6436060860436159,1.874717885957973,1.5280707573983048,1.475730837286563,1.2030979779533737,-0.14518349134563258,-0.27263285933318926,0.4664341761115955,4.71
1.35,0.0,30,1085,773,0.8150353582701851,0.6671423843128427,1.8956837055233988,1.5697017599866367,1.5135028120737373,1.2572434905757182,-0.14789297395734247,-0.2562593214980191,0.4608294930875576,4.83
1.5,0.08,30,1086,773,0.8064619399188169,0.6585285958303073,1.87778473057732,1.5435655270676116,1.4998337793143526,1.2468487106813229,-0.14793334408850956,-0.2529850686330297,0.4604051565377532,4.49
0.5,0.02,45,1231,773,0.7502058472078889,0.6003933490489654,1.8353324548377357,1.369184172305053,1.450085571587585,1.175647697370101,-0.1498124981589235,-0.274437874217484,0.4646628757108042,4.67
1.0,0.08,45,1160,773,0.8069625946333343,0.6564059407824681,1.823011980581509,1.4514100093027515,1.4726270846262741,1.229759393264359,-0.15055665385086625,-0.24286769136191522,0.45689655172413796,4.6
1.0,0.0,15,1185,773,0.7795002643599002,0.6289012008793755,1.7648194822490044,1.4063798998125396,1.4241900392263982,1.1695940234151012,-0.15059906348052465,-0.254596015811297,0.45569620253164556,4.54
0.5,0.03,15,1279,773,0.7035933763231622,0.552855618785158,1.608400797642778,1.2809026906874403,1.3336707894656945,1.133327280947433,-0.15073775753800422,-0.20034350851826144,0.47537138389366695,4.63
1.15,0.01,30,1126,773,0.7846447382317276,0.6331474258766425,1.8939149260527504,1.5459033140643008,1.4653611555411972,1.2355075025863766,-0.15149731235508512,-0.22985365295482052,0.46181172291296624,4.79
1.5,0.03,30,1066,773,0.8601692256989217,0.7075779056557004,1.8666799625735533,1.5771720995926457,1.4848631198315387,1.2462952432829322,-0.1525913200432213,-0.23856787654860656,0.4634146341463415,4.48
1.0,0.05,30,1174,773,0.777652928081876,0.6245450868091069,1.8200324657720706,1.420719602173977,1.4456715526647856,1.1815301354435117,-0.1531078412727691,-0.26414141722127393,0.46507666098807493,4.57
1.0,0.02,30,1163,773,0.7712464430443717,0.6178023588560767,1.825362819011926,1.4602895042903707,1.4968459589439034,1.184476637409151,-0.15344408418829503,-0.3123693215347523,0.46001719690455717,5.01
1.35,0.08,45,1090,773,0.8186085834700729,0.6645746182536674,1.9426702506968552,1.5288082036165065,1.4821618545339743,1.2548722394375422,-0.15403396521640556,-0.22728961509643208,0.47522935779816516,4.71
1.0,0.08,15,1217,773,0.7519494630627975,0.5973362888454109,1.7995864043998047,1.2803509615711326,1.4654611795845671,1.1514240638916782,-0.15461317421738663,-0.31403711569288895,0.4527526705012325,4.74
0.75,0.08,45,1210,773,0.7738095804739322,0.6191420631139858,1.8686846216341408,1.3819010763561448,1.4294466189075525,1.1981278935531285,-0.15466751735994644,-0.231318725354424,0.46115702479338844,4.65
1.35,0.05,45,1089,773,0.8222142914425906,0.6670816826741025,1.9140338645744932,1.492494933142888,1.4738673763008463,1.2372886345951908,-0.1551326087684881,-0.23657874170565552,0.4756657483930211,4.77
1.15,0.08,15,1190,773,0.7909866387597211,0.634791098861923,1.7541899374705459,1.3833181126436553,1.4366828853325015,1.1594454677830328,-0.1561955398977981,-0.27723741754946873,0.453781512605042,4.86
1.35,0.05,30,1102,773,0.7890456643881927,0.6327103944249397,1.8684306010709937,1.4915575893835682,1.4232669849127255,1.218604997784465,-0.15633526996325298,-0.20466198712826045,0.47549909255898365,4.51
1.15,0.05,45,1124,773,0.7997291967830741,0.6429143468948999,1.9339793517215953,1.513188084853182,1.5037074985889236,1.214949765308613,-0.15681484988817418,-0.2887577332803106,0.4626334519572954,4.92
1.0,0.05,45,1148,773,0.8192140182389637,0.6605340732975956,1.8596780741735914,1.4899230964620558,1.4981986373237361,1.223468074143094,-0.15867994494136806,-0.27473056318064204,0.45121951219512196,4.73
1.15,0.01,45,1102,773,0.8201734403298626,0.6611315805502274,1.934712523439741,1.5483168303370383,1.5001193476640435,1.2517116165926416,-0.15904185977963525,-0.2484077310714019,0.45825771324863884,4.57
1.35,0.02,45,1075,773,0.8323191138247971,0.6708652440876095,1.8985648431939586,1.595439562385773,1.498598042420053,1.2217199080981498,-0.16145386973718756,-0.2768781343219031,0.45395348837209304,4.6
1.5,0.05,30,1077,773,0.8536859063679532,0.6909732562719613,1.836816974678056,1.5297316421922762,1.4916224508229308,1.2408762938268199,-0.1627126500959919,-0.2507461569961109,0.46146703806870937,4.62
1.0,0.0,45,1133,773,0.8050815336141558,0.6378985454971176,1.9004392268953072,1.4907161578560595,1.5171051257033095,1.2340012851243658,-0.16718298811703824,-0.28310384057894367,0.4624889673433363,4.82
1.15,0.03,45,1108,773,0.8297239455855115,0.66039953364812,1.932066591440475,1.5327899976206592,1.5012318274200203,1.2613097083031002,-0.16932441193739156,-0.23992211911692007,0.45577617328519854,4.85
