sigma_mult,offset_pct,ib_minutes,n_touches,n_levels,median_mae_R,median_mfe_R,p75_mae_R,p75_mfe_R,mean_mae_R,mean_mfe_R,excursion_asymmetry_median,excursion_asymmetry_mean,frac_mfe_gt_mae,seconds
2.0,0.08,30,1014,773,0.7261271529275656,0.7177009423223328,1.652454280456252,1.6096359596330299,1.3630917131116798,1.292489388132522,-0.008426210605232742,-0.07060232497915786,0.47928994082840237,4.49
2.0,0.01,45,983,773,0.6783555733013347,0.6605909470213741,1.630018086668279,1.572750299699841,1.3259713336280392,1.2429736727722087,-0.01776462627996056,-0.08299766085583049,0.4933875890132248,4.39
1.75,0.0,45,1010,773,0.7416680794927528,0.7165492949437227,1.7526254213234518,1.595140459523484,1.4042140398508878,1.2358055914357395,-0.02511878454903016,-0.16840844841514824,0.4752475247524752,4.56
2.0,0.08,45,1000,773,0.7396025724887307,0.71306275283314,1.7117211259203926,1.622830157045024,1.3656942199301871,1.2858325906039714,-0.026539819655590713,-0.07986162932621577,0.468,4.43
1.75,0.02,30,1029,773,0.7671495275301452,0.740126050150979,1.749446628909301,1.577318069539505,1.4077971177010011,1.2947510769920696,-0.027023477379166216,-0.11304604070893154,0.48299319727891155,4.53
2.0,0.03,45,993,773,0.6916688815335293,0.6643324882378232,1.714214018196666,1.6141851972026533,1.3606009688066745,1.2898029628256757,-0.02733639329570614,-0.07079800598099872,0.47935548841893255,4.55
2.0,0.01,30,997,773,0.7092659508566396,0.6789211434546456,1.72726343058458,1.6247098364346266,1.3706470674901032,1.278679002054845,-0.030344807401993967,-0.09196806543525815,0.4744232698094283,4.48
2.0,0.0,45,977,773,0.6902129897266358,0.6583849210163868,1.6065450235662697,1.5261854962513812,1.333082345984377,1.218836399100487,-0.03182806871024901,-0.11424594688389011,0.49744114636642783,4.59
2.0,0.03,30,1003,773,0.6943479422659554,0.6622035558990924,1.6100936636938377,1.568412824844946,1.3601956876786911,1.285138079755791,-0.03214438636686301,-0.07505760792290017,0.47557328015952144,4.44
1.75,0.01,45,1009,773,0.7380540103302748,0.7022941196069828,1.7289985232362417,1.5841151388590085,1.3948541736640445,1.227779901038954,-0.035759890723292,-0.16707427262509045,0.48166501486620417,4.51
1.75,0.01,30,1025,773,0.7755821848538403,0.7385675982689212,1.767024560645579,1.6050706484239472,1.4208141399004408,1.2918356734340244,-0.037014586584919185,-0.12897846646641642,0.48585365853658535,4.59
2.0,0.02,45,984,773,0.699115330654523,0.6591654839262227,1.67964934892728,1.582450990054845,1.3621877905591262,1.236264579742311,-0.039949846728300376,-0.12592321081681512,0.483739837398374,4.47
1.75,0.02,45,1013,773,0.7482442718864944,0.7075193406468894,1.7293059653278446,1.5496927349297493,1.3906864446703218,1.2263203145945825,-0.04072493123960508,-0.1643661300757393,0.4827245804540967,4.65
2.0,0.0,30,992,773,0.6908514829870556,0.6494281742995851,1.6807416631384626,1.623680778558443,1.3535032401320177,1.254582324568767,-0.04142330868747046,-0.09892091556325067,0.47681451612903225,4.47
1.75,0.0,30,1025,773,0.7625614360141019,0.7181911987180931,1.7454979724033803,1.6296753382838673,1.408167795659669,1.2669173357845556,-0.04437023729600875,-0.14125045987511342,0.48585365853658535,4.52
1.75,0.05,45,1027,773,0.7882350048738566,0.7407243918338761,1.7785995749035208,1.5898062056594084,1.4292385948582844,1.2841340615531507,-0.0475106130399805,-0.14510453330513373,0.4790652385589094,4.47
2.0,0.02,30,996,773,0.7094344420391404,0.6617197688906105,1.7027455987859752,1.591566207544545,1.3675250435812216,1.272851162144682,-0.04771467314852995,-0.09467388143653954,0.47690763052208834,4.49
1.75,0.03,45,1016,773,0.7600482653946237,0.7091906539150826,1.7408763641843386,1.5644036973867852,1.41541590067625,1.2638792387422815,-0.05085761147954104,-0.15153666193396842,0.47244094488188976,4.53
1.75,0.08,45,1028,773,0.7918316319017422,0.7394026539371412,1.8469101160494847,1.6402741077690908,1.4279853004318073,1.2939780567692243,-0.052428977964601,-0.134007243662583,0.47470817120622566,4.42
2.0,0.05,45,997,773,0.7249515565765539,0.6678492322509275,1.6974816124651322,1.6025256577277847,1.3595644566055367,1.2672193358520791,-0.05710232432562634,-0.09234512075345758,0.46940822467402205,4.38
1.5,0.0,45,1048,773,0.798070177541748,0.7378191797380534,1.8837379006100903,1.6116683790653368,1.4431408723636256,1.2822922410122748,-0.060250997803694584,-0.16084863135135086,0.4751908396946565,4.73
2.0,0.08,15,1032,773,0.7511964638263027,0.6907179397492027,1.7638722795566255,1.577535453854539,1.3973851898185665,1.2703582992949294,-0.06047852407709997,-0.12702689052363714,0.4874031007751938,4.47
2.0,0.0,15,1019,773,0.7100276427875855,0.6491368946970947,1.6450853366125358,1.6170180621534733,1.34321089930216,1.269674621999971,-0.060890748090490776,-0.07353627730218903,0.4867517173699706,4.43
1.75,0.05,15,1058,773,0.8015237000994639,0.738814829754175,1.8564289528436866,1.6823516533724527,1.441445728835416,1.268925232078126,-0.06270887034528894,-0.1725204967572902,0.4763705103969754,4.51
1.75,0.03,30,1033,773,0.7856333324336139,0.7188406919062535,1.7677320386531843,1.6042878655493458,1.4232657439026901,1.3039219837793403,-0.06679264052736034,-0.1193437601233498,0.4849951597289448,4.7
2.0,0.05,30,1014,773,0.7267870467743474,0.657882620616163,1.602670320541456,1.557002334338387,1.3611108131610152,1.2713951172870745,-0.06890442615818437,-0.08971569587394068,0.4723865877712032,4.45
2.0,0.03,15,1031,773,0.7137930617086607,0.6447658823356587,1.6139774587439697,1.5660579846259401,1.3190508233095104,1.285274606766481,-0.06902717937300207,-0.033776216543029314,0.4859359844810863,4.51
2.0,0.01,15,1021,773,0.7257225509582172,0.652152941665307,1.6691345321247235,1.6202983204718806,1.3541996927805098,1.2959619825153246,-0.07356960929291023,-0.058237710265185205,0.4789422135161606,4.66
2.0,0.05,15,1032,773,0.7272849674367508,0.6536122661741278,1.7449310910092415,1.5962174409332968,1.367346832680292,1.2812460359091733,-0.07367270126262293,-0.0861007967711187,0.4893410852713178,4.47
1.75,0.05,30,1041,773,0.8072867906365977,0.7303156823724412,1.8092402337994817,1.620057340732339,1.4121723372429622,1.3068784627742958,-0.07697110826415654,-0.10529387446866645,0.4793467819404419,4.52
2.0,0.02,15,1022,773,0.7183068763523761,0.6393911534696175,1.625815858264505,1.6180386824595143,1.331766834756597,1.2945873474885814,-0.07891572288275861,-0.037179487268015565,0.4843444227005871,4.67
1.5,0.01,45,1053,773,0.8130626097317254,0.7309669981923002,1.9100389547982477,1.6364655308657163,1.4446216631792956,1.2870602161442095,-0.08209561153942524,-0.15756144703508612,0.47293447293447294,4.62
1.15,0.02,15,1165,773,0.7238915281331049,0.6399139899699366,1.7783442450233964,1.4549179933309484,1.431069548985387,1.1512387612386543,-0.08397753816316822,-0.27983078774673276,0.4738197424892704,4.73
1.75,0.01,15,1046,773,0.8084647697496847,0.7243122666050357,1.8726942007856824,1.6592955308094544,1.4535514325048464,1.3046036160748506,-0.08415250314464906,-0.14894781642999577,0.47609942638623326,4.49
1.75,0.08,15,1064,773,0.8279682559811484,0.7435812147007879,1.9047976948489307,1.6467601243595062,1.4513153207525635,1.2428810145450158,-0.08438704128036056,-0.20843430620754777,0.47368421052631576,4.61
1.5,0.03,45,1063,773,0.8184084070461803,0.7322984071982374,1.9238944726873197,1.6190717188509034,1.4640509255884293,1.2827723156964044,-0.08610999984794299,-0.18127860989202493,0.4722483537158984,4.59
0.5,0.05,45,1241,773,0.6879885842968513,0.6004697711559421,1.798887712349822,1.4527872423775368,1.4162103901760081,1.231436487504504,-0.08751881314090915,-0.18477390267150406,0.47300564061240935,4.7
1.5,0.03,15,1098,773,0.7766553665474362,0.6863898645818387,1.803924366134499,1.519606899134228,1.4205234576429453,1.2193230258020948,-0.09026550196559746,-0.20120043184085046,0.470856102003643,4.54
1.75,0.02,15,1050,773,0.8061720226531355,0.7157417884825046,1.8493819994478622,1.6777417476773946,1.4399997236665323,1.2959247531957812,-0.0904302341706309,-0.14407497047075113,0.4685714285714286,4.49
1.35,0.0,15,1111,773,0.7578348373690197,0.6667618641521977,1.833646921244414,1.5387815298084457,1.4107285148317297,1.2132813492313608,-0.09107297321682195,-0.1974471656003689,0.46444644464446444,4.75
1.75,0.08,30,1050,773,0.8185448918815191,0.7268056923483364,1.8357455484882022,1.6464634020586073,1.4212310775557422,1.3336338618099077,-0.09173919953318277,-0.08759721574583446,0.4723809523809524,4.39
1.35,0.05,15,1139,773,0.7380506497940319,0.64437913361256,1.8297993283897944,1.4973103711240978,1.4090660020344512,1.203403070647511,-0.09367151618147185,-0.20566293138694025,0.4784899034240562,4.67
0.5,0.0,30,1241,773,0.6982870977007242,0.6040950179994704,1.8285913927121944,1.368885086377142,1.436489500120509,1.1566837021039356,-0.09419207970125376,-0.27980579801657335,0.45608380338436744,4.67
1.5,0.0,30,1053,773,0.8280951979124178,0.7338543103774217,1.8405826377990404,1.597658995186066,1.4533274282725466,1.248598123005277,-0.09424088753499615,-0.20472930526726962,0.4710351377018044,4.6
1.75,0.0,15,1042,773,0.8076286686901468,0.7128922402641316,1.8817452868347897,1.6623079496393045,1.4686154277692505,1.3009979597731858,-0.09473642842601526,-0.1676174679960647,0.4740882917466411,4.55
1.15,0.03,15,1171,773,0.7268459034008095,0.6315274790109524,1.743018318904797,1.4401996062257107,1.4131955154400588,1.1563923350400203,-0.09531842438985705,-0.2568031804000386,0.47822374039282667,5.01
1.5,0.0,15,1085,773,0.7901809752031487,0.6936001468386822,1.791695253004192,1.524290537195763,1.4251334012256982,1.226980437499365,-0.09658082836446646,-0.1981529637263333,0.4737327188940092,4.7
1.5,0.02,15,1093,773,0.7897193883502763,0.6925972217865968,1.789549397478228,1.5302225876580204,1.4278704934215134,1.227537999320093,-0.09712216656367956,-0.2003324941014204,0.4693504117108875,4.73
1.5,0.02,45,1059,773,0.8225765140817803,0.7251430127830963,1.9164298166285016,1.6184053102634726,1.458556881899108,1.288547376141077,-0.097433501298684,-0.17000950575803087,0.4693106704438149,4.66
