year,n,net_pts,PF,max_drawdown,avg_trade
2023,83,-23.0,0.8681,-77.75,-0.277
2024,162,-111.71,0.7991,-197.05,-0.69
2025,183,-393.7,0.695,-483.17,-2.151
2026,78,598.4,1.831,-177.6,7.672
