year,n,net_pts,PF,max_drawdown,avg_trade
2018,129,183.69,1.163,-205.88,1.424
2019,141,-1.69,0.9987,-233.97,-0.012
2020,135,451.23,1.146,-1066.15,3.342
2021,137,-429.27,0.8446,-832.55,-3.133
2022,128,74.6,1.0218,-469.97,0.583
2023,133,-14.68,0.9948,-498.05,-0.11
2024,125,-1034.04,0.7278,-1237.04,-8.272
2025,138,386.03,1.0818,-555.48,2.797
2026,60,480.28,1.2033,-1295.99,8.005
