sess_date,year,side,touched_at,level,anchor,cap,pnl,exit
2018-01-05,2018,upper,2018-01-05 08:28:00-05:00,6634.4292468028325,5.75,8.625,8.625,TP
2018-01-10,2018,lower,2018-01-10 07:09:00-05:00,6640.944437397315,11.75,17.625,17.625,TP
2018-01-12,2018,upper,2018-01-12 01:37:00-05:00,6730.363526564444,4.25,6.375,-6.375,SL
2018-01-10,2018,lower,2018-01-10 05:36:00-05:00,6655.761473435556,7.0,10.5,-10.5,SL
2018-01-11,2018,upper,2018-01-11 07:27:00-05:00,6694.044149716636,5.5,8.25,8.25,TP
2018-01-12,2018,upper,2018-01-12 10:50:00-05:00,6754.724179167453,24.25,36.375,-0.0,BE
2018-01-16,2018,upper,2018-01-16 03:14:00-05:00,6797.99784082278,4.75,7.125,-7.125,SL
2018-01-22,2018,upper,2018-01-22 09:59:00-05:00,6857.363844418955,9.25,13.875,-13.875,SL
2018-01-19,2018,upper,2018-01-19 05:19:00-05:00,6851.070814156468,21.75,32.625,-0.0,BE
2018-01-24,2018,upper,2018-01-24 05:37:00-05:00,6983.88476391844,6.5,9.75,9.75,TP
2018-02-01,2018,lower,2018-02-01 09:14:00-05:00,6898.631196903365,53.75,80.625,80.625,TP
2018-01-30,2018,lower,2018-01-29 23:13:00-05:00,6928.006594677371,50.0,75.0,0.0,BE
2018-01-30,2018,lower,2018-01-29 22:30:00-05:00,6974.151456940375,5.5,8.25,-8.25,SL
2018-01-31,2018,upper,2018-01-31 09:32:00-05:00,6987.408281538446,10.5,15.75,15.75,TP
2018-02-02,2018,lower,2018-02-02 04:45:00-05:00,6872.841718461554,32.75,49.125,-49.125,SL
2018-02-02,2018,lower,2018-02-02 05:10:00-05:00,6865.518670425914,31.0,46.5,0.0,BE
2018-02-26,2018,upper,2018-02-26 09:36:00-05:00,6955.61842954446,8.5,12.75,-0.0,BE
2018-02-16,2018,upper,2018-02-16 04:31:00-05:00,6855.962765545729,19.25,28.875,28.875,TP
2018-02-08,2018,lower,2018-02-08 10:55:00-05:00,6481.962541406001,69.0,103.5,0.0,BE
2018-02-12,2018,upper,2018-02-12 09:42:00-05:00,6512.446005791149,33.25,49.875,49.875,TP
2018-02-14,2018,upper,2018-02-14 02:41:00-05:00,6600.082414705283,8.0,12.0,-0.0,BE
2018-02-14,2018,upper,2018-02-14 02:35:00-05:00,6592.280833718691,8.0,12.0,12.0,TP
2018-03-02,2018,lower,2018-03-02 09:44:00-05:00,6659.27944160052,30.25,45.375,45.375,TP
2018-02-20,2018,lower,2018-02-20 05:06:00-05:00,6725.781629660478,34.0,51.0,0.0,BE
2018-02-20,2018,lower,2018-02-20 05:04:00-05:00,6730.47977717059,34.0,51.0,0.0,BE
2018-03-02,2018,lower,2018-03-02 07:55:00-05:00,6677.301068564921,28.75,43.125,0.0,BE
2018-03-09,2018,upper,2018-03-09 08:35:00-05:00,7050.896329499787,6.5,9.75,-9.75,SL
2018-03-09,2018,upper,2018-03-08 20:05:00-05:00,7007.958149674116,14.25,21.375,-21.375,SL
2018-03-08,2018,upper,2018-03-08 07:14:00-05:00,6961.403321746649,12.0,18.0,18.0,TP
2018-03-09,2018,upper,2018-03-08 19:00:00-05:00,6984.515022438254,16.0,24.0,-24.0,SL
2018-03-08,2018,upper,2018-03-08 02:03:00-05:00,6939.60787251663,11.0,16.5,-16.5,SL
2018-03-22,2018,lower,2018-03-22 05:28:00-04:00,6802.51712748337,26.5,39.75,0.0,BE
2018-03-09,2018,upper,2018-03-08 20:06:00-05:00,7010.013736173665,14.25,21.375,21.375,TP
2018-03-19,2018,lower,2018-03-19 01:09:00-04:00,6991.616357109737,6.25,9.375,9.375,TP
2018-03-13,2018,upper,2018-03-13 09:34:00-04:00,7203.713742215297,34.0,51.0,51.0,TP
2018-03-15,2018,lower,2018-03-14 20:52:00-04:00,7036.012031901325,14.0,21.0,21.0,TP
2018-03-19,2018,lower,2018-03-19 01:00:00-04:00,7000.905939114191,6.25,9.375,-9.375,SL
2018-03-19,2018,lower,2018-03-18 20:58:00-04:00,7024.712220503595,8.75,13.125,-13.125,SL
2018-03-19,2018,lower,2018-03-19 10:57:00-04:00,6906.629521633374,31.0,46.5,-46.5,SL
2018-03-22,2018,lower,2018-03-22 03:53:00-04:00,6824.0728368943455,26.75,40.125,0.0,BE
2018-03-22,2018,lower,2018-03-22 03:51:00-04:00,6828.8988834744405,26.75,40.125,0.0,BE
2018-03-27,2018,upper,2018-03-26 20:00:00-04:00,6787.371833600559,16.25,24.375,-24.375,SL
2018-04-05,2018,upper,2018-04-05 03:20:00-04:00,6643.662550509871,26.0,39.0,-0.0,BE
2018-04-13,2018,upper,2018-04-13 08:40:00-04:00,6704.910349158707,10.75,16.125,-0.0,BE
2018-04-12,2018,upper,2018-04-12 10:00:00-04:00,6678.110819692571,47.25,70.875,-0.0,BE
2018-04-17,2018,upper,2018-04-17 00:57:00-04:00,6730.604733013587,8.75,13.125,-13.125,SL
2018-04-17,2018,upper,2018-04-17 10:13:00-04:00,6779.792546059965,29.5,44.25,-44.25,SL
2018-04-17,2018,upper,2018-04-17 00:58:00-04:00,6735.050344048112,8.75,13.125,-13.125,SL
2018-04-24,2018,lower,2018-04-24 10:32:00-04:00,6612.324655951888,48.0,72.0,-72.0,SL
2018-04-20,2018,lower,2018-04-20 03:30:00-04:00,6754.920435544273,14.25,21.375,21.375,TP
2018-05-07,2018,upper,2018-05-06 22:47:00-04:00,6816.983820958506,18.25,27.375,-27.375,SL
2018-04-27,2018,upper,2018-04-27 07:57:00-04:00,6755.412333437404,12.5,18.75,18.75,TP
2018-04-27,2018,upper,2018-04-27 08:02:00-04:00,6757.376587009534,15.25,22.875,22.875,TP
2018-04-26,2018,upper,2018-04-25 20:17:00-04:00,6604.04119686324,12.5,18.75,18.75,TP
2018-05-07,2018,upper,2018-05-07 09:43:00-04:00,6837.434393857748,12.25,18.375,-0.0,BE
2018-05-04,2018,upper,2018-05-04 10:12:00-04:00,6682.965878906739,53.5,80.25,-80.25,SL
2018-05-03,2018,lower,2018-05-03 10:56:00-04:00,6539.784121093261,48.5,72.75,72.75,TP
2018-05-04,2018,upper,2018-05-04 10:43:00-04:00,6732.916402041168,53.5,80.25,-46.33359795883189,cutoff
2018-05-15,2018,lower,2018-05-15 09:40:00-04:00,6881.953142618146,47.75,71.625,0.0,BE
2018-05-14,2018,upper,2018-05-14 09:44:00-04:00,6998.724758813947,5.5,8.25,8.25,TP
2018-05-15,2018,lower,2018-05-15 08:54:00-04:00,6909.400241186053,21.0,31.5,-31.5,SL
2018-06-01,2018,upper,2018-06-01 09:35:00-04:00,7026.8612835365475,21.75,32.625,-32.625,SL
2018-05-15,2018,lower,2018-05-15 08:35:00-04:00,6938.2637164634525,21.0,31.5,-31.5,SL
2018-05-24,2018,upper,2018-05-24 03:19:00-04:00,6963.192071288263,16.5,24.75,24.75,TP
2018-05-23,2018,lower,2018-05-23 04:22:00-04:00,6838.432928711737,30.5,45.75,45.75,TP
2018-05-23,2018,lower,2018-05-23 03:24:00-04:00,6859.005854524102,12.0,18.0,-18.0,SL
2018-05-24,2018,upper,2018-05-24 03:19:00-04:00,6964.771760147134,16.5,24.75,24.75,TP
2018-05-18,2018,lower,2018-05-18 08:47:00-04:00,6871.103239852866,10.0,15.0,15.0,TP
2018-05-23,2018,lower,2018-05-23 04:22:00-04:00,6840.843789694816,30.5,45.75,45.75,TP
2018-05-25,2018,upper,2018-05-24 21:33:00-04:00,6979.095730944206,11.75,17.625,-17.625,SL
2018-05-25,2018,upper,2018-05-24 21:33:00-04:00,6993.127250071431,11.75,17.625,17.625,TP
2018-05-23,2018,lower,2018-05-22 21:49:00-04:00,6879.622749928569,10.25,15.375,-15.375,SL
2018-05-29,2018,lower,2018-05-29 04:30:00-04:00,6908.933261949905,29.25,43.875,0.0,BE
2018-05-29,2018,lower,2018-05-29 02:42:00-04:00,6943.702427905179,12.75,19.125,0.0,BE
2018-05-31,2018,upper,2018-05-31 03:37:00-04:00,6999.446159564099,13.5,20.25,20.25,TP
2018-06-01,2018,upper,2018-06-01 09:35:00-04:00,7029.059804372275,21.75,32.625,-32.625,SL
2018-06-28,2018,lower,2018-06-28 08:37:00-04:00,6956.664309741758,19.0,28.5,28.5,TP
2018-06-05,2018,upper,2018-06-04 20:05:00-04:00,7152.020448525391,6.5,9.75,9.75,TP
