exit,cap_pct_of_price,pnl_pct_of_price,cap_pts,pnl_pts,price_level,month,year
BE,0.001321001957871287,-0.0,8.625,-0.0,6529.134910517963,1,2018
TP,0.001365423071707041,0.001365423071707041,9.0,9.0,6591.363648739487,1,2018
TP,0.0012871495757232397,0.0012871495757232397,8.625,8.625,6700.852925468027,1,2018
TP,0.0015802863536124865,0.0015802863536124865,10.5,10.5,6644.365418961772,1,2018
cutoff,0.008031950329719166,0.004861091015757453,53.25,32.227925468027024,6629.772074531973,1,2018
BE,0.0013905865208198739,-0.0,9.375,-0.0,6741.759581038228,1,2018
SL,0.0024229890921693294,-0.0024229890921693294,16.5,-16.5,6809.770647884909,1,2018
SL,0.005191198018398908,-0.005191198018398908,35.625,-35.625,6862.577746742863,1,2018
TP,0.0060550804672541226,0.0060550804672541226,42.375,42.375,6998.255469793344,1,2018
TP,0.0011859639241120937,0.0011859639241120937,8.25,8.25,6956.366742923148,1,2018
TP,0.007977888996614597,0.007977888996614597,55.125,55.125,6909.722612509674,1,2018
SL,0.007139248853767105,-0.007139248853767105,49.125,-49.125,6880.975997086674,2,2018
TP,0.01004122011117064,0.01004122011117064,67.125,67.125,6684.944584107352,2,2018
BE,0.01594821132164375,0.0,103.5,0.0,6489.755992857791,2,2018
TP,0.007657140621594571,0.007657140621594571,49.875,49.875,6513.528021066135,2,2018
TP,0.0018207834114026143,0.0018207834114026143,12.0,12.0,6590.569710186437,2,2018
TP,0.0018177659298191644,0.0018177659298191644,12.0,12.0,6601.510020156329,2,2018
BE,0.0075804867443937905,0.0,51.0,0.0,6727.800168995409,2,2018
BE,0.010000532771228598,0.0,66.75,0.0,6674.644394150568,3,2018
TP,0.006818173405353664,0.006818173405353664,45.375,45.375,6655.008211491266,3,2018
SL,0.002375584092187931,-0.002375584092187931,16.5,-16.5,6945.66025015068,3,2018
SL,0.003433668781198519,-0.003433668781198519,24.0,-24.0,6989.60835460164,3,2018
TP,0.007072329937895931,0.007072329937895931,51.0,51.0,7211.202029295153,3,2018
TP,0.009657897063775225,0.009657897063775225,67.875,67.875,7027.927462033644,3,2018
SL,0.001869781534681741,-0.001869781534681741,13.125,-13.125,7019.536644549242,3,2018
BE,0.005887027898893389,0.0,40.125,0.0,6815.833165584705,3,2018
BE,0.005884947797884115,0.0,40.125,0.0,6818.242298500356,3,2018
BE,0.008386713107172919,0.0,57.0,0.0,6796.46474984932,3,2018
SL,0.003586647302835719,-0.003586647302835719,24.375,-24.375,6796.0404081907745,3,2018
BE,0.015979110689300923,-0.0,105.75,-0.0,6618.015361193202,4,2018
TP,0.0026407973613692833,0.0026407973613692833,17.625,17.625,6674.120573515432,4,2018
cutoff,0.010593769139080509,0.001831530006636446,70.875,12.253399853833798,6690.253399853834,4,2018
TP,0.0018910669879772044,0.0018910669879772044,12.75,12.75,6742.225463751627,4,2018
BE,0.0025010066794714267,-0.0,16.875,-0.0,6747.283059462454,4,2018
SL,0.006515564542108699,-0.006515564542108699,44.25,-44.25,6791.429923534902,4,2018
TP,0.003164326468577508,0.003164326468577508,21.375,21.375,6754.992006121582,4,2018
BE,0.0031691151895895187,0.0,21.375,0.0,6744.784812561076,4,2018
SL,0.010883440704600835,-0.010883440704600835,72.0,-72.0,6615.554947578565,4,2018
SL,0.00810237850225327,-0.00810237850225327,53.625,-53.625,6618.426920574853,4,2018
TP,0.003379903327054315,0.003379903327054315,22.875,22.875,6767.945052421435,4,2018
SL,0.011990432350657016,-0.011990432350657016,80.25,-80.25,6692.836225843241,5,2018
TP,0.0018672662846198535,0.0018672662846198535,12.75,12.75,6828.16377343615,5,2018
BE,0.005833161145832845,-0.0,40.875,-0.0,7007.349699090812,5,2018
SL,0.004546410375746159,-0.004546410375746159,31.5,-31.5,6928.543047509258,5,2018
TP,0.004202243258751633,0.004202243258751633,29.25,29.25,6960.568010688974,5,2018
BE,0.002235348780427642,0.0,15.375,0.0,6878.121273342689,5,2018
BE,0.0022382757990236112,0.0,15.375,0.0,6869.126676304564,5,2018
SL,0.0026230847179398507,-0.0026230847179398507,18.0,-18.0,6862.149696078842,5,2018
TP,0.0035490356905918947,0.0035490356905918947,24.75,24.75,6973.725303921158,5,2018
BE,0.0035500333220311133,-0.0,24.75,-0.0,6971.765545524388,5,2018
BE,0.0025219990844063352,-0.0,17.625,-0.0,6988.503726657311,5,2018
