config_id,sigma_multiplier,ib_minutes,offset_family,offset_parameter,offset_value,line_life_sessions,status
VIX_ES_SIGMA_075_IB30_PCT_000,0.75,30,proportional,offset_pct,0.0,20,registered
VIX_ES_SIGMA_075_IB30_PCT_002,0.75,30,proportional,offset_pct,0.02,20,registered
VIX_ES_SIGMA_075_IB30_PCT_004,0.75,30,proportional,offset_pct,0.04,20,registered
VIX_ES_SIGMA_075_IB30_PCT_006,0.75,30,proportional,offset_pct,0.06,20,registered
VIX_ES_SIGMA_075_IB30_PCT_008,0.75,30,proportional,offset_pct,0.08,20,registered
VIX_ES_SIGMA_075_IB30_PCT_010,0.75,30,proportional,offset_pct,0.1,20,registered
VIX_ES_SIGMA_075_IB30_FIXED_025,0.75,30,fixed,fixed_offset_es_points,2.5,20,registered
VIX_ES_SIGMA_075_IB30_FIXED_050,0.75,30,fixed,fixed_offset_es_points,5.0,20,registered
VIX_ES_SIGMA_075_IB30_FIXED_075,0.75,30,fixed,fixed_offset_es_points,7.5,20,registered
VIX_ES_SIGMA_075_IB30_FIXED_100,0.75,30,fixed,fixed_offset_es_points,10.0,20,registered
VIX_ES_SIGMA_075_IB30_FIXED_150,0.75,30,fixed,fixed_offset_es_points,15.0,20,registered
VIX_ES_SIGMA_075_IB60_PCT_000,0.75,60,proportional,offset_pct,0.0,20,registered
VIX_ES_SIGMA_075_IB60_PCT_002,0.75,60,proportional,offset_pct,0.02,20,registered
VIX_ES_SIGMA_075_IB60_PCT_004,0.75,60,proportional,offset_pct,0.04,20,registered
VIX_ES_SIGMA_075_IB60_PCT_006,0.75,60,proportional,offset_pct,0.06,20,registered
VIX_ES_SIGMA_075_IB60_PCT_008,0.75,60,proportional,offset_pct,0.08,20,registered
VIX_ES_SIGMA_075_IB60_PCT_010,0.75,60,proportional,offset_pct,0.1,20,registered
VIX_ES_SIGMA_075_IB60_FIXED_025,0.75,60,fixed,fixed_offset_es_points,2.5,20,registered
VIX_ES_SIGMA_075_IB60_FIXED_050,0.75,60,fixed,fixed_offset_es_points,5.0,20,registered
VIX_ES_SIGMA_075_IB60_FIXED_075,0.75,60,fixed,fixed_offset_es_points,7.5,20,registered
VIX_ES_SIGMA_075_IB60_FIXED_100,0.75,60,fixed,fixed_offset_es_points,10.0,20,registered
VIX_ES_SIGMA_075_IB60_FIXED_150,0.75,60,fixed,fixed_offset_es_points,15.0,20,registered
VIX_ES_SIGMA_100_IB30_PCT_000,1.0,30,proportional,offset_pct,0.0,20,registered
VIX_ES_SIGMA_100_IB30_PCT_002,1.0,30,proportional,offset_pct,0.02,20,registered
VIX_ES_SIGMA_100_IB30_PCT_004,1.0,30,proportional,offset_pct,0.04,20,registered
VIX_ES_SIGMA_100_IB30_PCT_006,1.0,30,proportional,offset_pct,0.06,20,registered
VIX_ES_SIGMA_100_IB30_PCT_008,1.0,30,proportional,offset_pct,0.08,20,registered
VIX_ES_SIGMA_100_IB30_PCT_010,1.0,30,proportional,offset_pct,0.1,20,registered
VIX_ES_SIGMA_100_IB30_FIXED_025,1.0,30,fixed,fixed_offset_es_points,2.5,20,registered
VIX_ES_SIGMA_100_IB30_FIXED_050,1.0,30,fixed,fixed_offset_es_points,5.0,20,registered
VIX_ES_SIGMA_100_IB30_FIXED_075,1.0,30,fixed,fixed_offset_es_points,7.5,20,registered
VIX_ES_SIGMA_100_IB30_FIXED_100,1.0,30,fixed,fixed_offset_es_points,10.0,20,registered
VIX_ES_SIGMA_100_IB30_FIXED_150,1.0,30,fixed,fixed_offset_es_points,15.0,20,registered
