level_id,session_date,year,side,entry_time,exit_time,entry_price,exit_price,level,anchor,cap,vxn_prev_close,exit_reason,pnl,gap_through
55_lower,2018-03-22,2018,lower,2018-03-22 03:59:00-04:00,2018-03-22 05:13:00-04:00,6815.833165584705,6815.833165584705,6815.833165584705,26.75,40.125,26.6299991607666,BE,0.0,False
46_lower,2018-03-22,2018,lower,2018-03-22 06:50:00-04:00,2018-03-22 08:36:00-04:00,6796.46474984932,6796.46474984932,6796.46474984932,38.0,57.0,26.6299991607666,BE,0.0,False
58_upper,2018-03-27,2018,upper,2018-03-26 20:01:00-04:00,2018-03-26 21:20:00-04:00,6796.0404081907745,6820.4154081907745,6796.0404081907745,16.25,24.375,29.01000022888184,SL,-24.375,False
68_upper,2018-04-10,2018,upper,2018-04-09 22:42:00-04:00,2018-04-10 02:31:00-04:00,6618.015361193202,6618.015361193202,6618.015361193202,70.5,105.75,25.14999961853028,BE,-0.0,False
198_lower,2018-10-10,2018,lower,2018-10-10 09:50:00-04:00,2018-10-10 09:57:00-04:00,7286.224538054712,7250.974538054712,7286.224538054712,23.5,35.25,27.530000686645508,SL,-35.25,False
208_lower,2018-10-23,2018,lower,2018-10-23 05:17:00-04:00,2018-10-23 07:36:00-04:00,7032.3496815496055,7032.3496815496055,7032.3496815496055,17.5,26.25,25.26000022888184,BE,0.0,False
203_lower,2018-10-23,2018,lower,2018-10-23 09:30:00-04:00,2018-10-23 09:37:00-04:00,7000.761047057629,7046.886047057629,7000.761047057629,20.5,30.75,25.26000022888184,TP,46.125,False
211_lower,2018-10-26,2018,lower,2018-10-26 05:25:00-04:00,2018-10-26 09:36:00-04:00,6762.610909414232,6846.423409414232,6762.610909414232,37.25,55.875,29.8700008392334,TP,83.8125,False
214_upper,2018-10-31,2018,upper,2018-10-31 04:37:00-04:00,2018-10-31 06:44:00-04:00,6889.683844244571,6889.683844244571,6889.683844244571,21.25,31.875,29.1200008392334,BE,-0.0,False
215_upper,2018-11-02,2018,upper,2018-11-02 01:04:00-04:00,2018-11-02 12:37:00-04:00,7089.567462295751,6946.129962295751,7089.567462295751,63.75,95.625,26.64999961853028,TP,143.4375,False
217_lower,2018-11-05,2018,lower,2018-11-05 09:44:00-05:00,2018-11-05 10:11:00-05:00,6903.866612075746,6877.241612075746,6903.866612075746,17.75,26.625,27.26000022888184,SL,-26.625,False
220_lower,2018-11-12,2018,lower,2018-11-12 09:32:00-05:00,2018-11-12 10:03:00-05:00,6976.819470200613,6914.194470200613,6976.819470200613,41.75,62.625,28.11000061035156,SL,-62.625,False
215_lower,2018-11-13,2018,lower,2018-11-12 19:44:00-05:00,2018-11-12 22:32:00-05:00,6812.432537704249,6861.370037704249,6812.432537704249,21.75,32.625,27.68000030517578,TP,48.9375,False
214_lower,2018-11-20,2018,lower,2018-11-20 08:40:00-05:00,2018-11-20 10:14:00-05:00,6537.816155755429,6456.441155755429,6537.816155755429,54.25,81.375,28.770000457763672,SL,-81.375,False
229_upper,2018-11-21,2018,upper,2018-11-21 09:31:00-05:00,2018-11-21 09:51:00-05:00,6638.488855974993,6582.238855974993,6638.488855974993,25.0,37.5,26.959999084472656,TP,56.25,False
230_lower,2018-11-23,2018,lower,2018-11-23 08:43:00-05:00,2018-11-23 09:30:00-05:00,6499.389445867615,6538.764445867615,6499.389445867615,17.5,26.25,27.93000030517578,TP,39.375,False
231_upper,2018-11-26,2018,upper,2018-11-26 03:15:00-05:00,2018-11-26 10:00:00-05:00,6623.8814122187305,6660.2564122187305,6623.8814122187305,24.25,36.375,26.020000457763672,SL,-36.375,False
242_upper,2018-12-11,2018,upper,2018-12-11 05:53:00-05:00,2018-12-11 08:26:00-05:00,6741.269055832232,6785.519055832232,6741.269055832232,29.5,44.25,26.770000457763672,SL,-44.25,False
245_lower,2018-12-14,2018,lower,2018-12-13 21:06:00-05:00,2018-12-14 00:49:00-05:00,6708.7658878650445,6708.7658878650445,6708.7658878650445,46.25,69.375,27.6200008392334,BE,0.0,False
234_lower,2018-12-17,2018,lower,2018-12-17 09:53:00-05:00,2018-12-17 10:15:00-05:00,6528.160513975401,6592.285513975401,6528.160513975401,28.5,42.75,30.06999969482422,TP,64.125,False
254_upper,2018-12-28,2018,upper,2018-12-27 23:30:00-05:00,2018-12-28 01:04:00-05:00,6340.354224240451,6299.854224240451,6340.354224240451,18.0,27.0,34.20000076293945,TP,40.5,False
256_lower,2019-01-02,2019,lower,2019-01-02 03:03:00-05:00,2019-01-02 03:21:00-05:00,6238.169923802291,6195.044923802291,6238.169923802291,28.75,43.125,30.09000015258789,SL,-43.125,False
255_lower,2019-01-02,2019,lower,2019-01-02 03:22:00-05:00,2019-01-02 09:45:00-05:00,6185.839423975138,6250.526923975138,6185.839423975138,28.75,43.125,30.09000015258789,TP,64.6875,False
250_upper,2019-01-07,2019,upper,2019-01-06 19:03:00-05:00,2019-01-06 19:20:00-05:00,6469.258199892534,6492.133199892534,6469.258199892534,15.25,22.875,28.530000686645508,SL,-22.875,False
