level_id,session_date,year,side,entry_time,exit_time,entry_price,exit_price,level,anchor,cap,vxn_prev_close,exit_reason,pnl,gap_through
0_upper,2018-01-03,2018,upper,2018-01-03 04:06:00-05:00,2018-01-03 04:53:00-05:00,6529.134910517963,6529.134910517963,6529.134910517963,5.75,8.625,14.15999984741211,BE,-0.0,False
1_upper,2018-01-04,2018,upper,2018-01-03 19:09:00-05:00,2018-01-03 22:16:00-05:00,6591.363648739487,6591.363648739487,6591.363648739487,6.0,9.0,13.970000267028809,BE,-0.0,False
4_upper,2018-01-09,2018,upper,2018-01-09 08:26:00-05:00,2018-01-09 09:39:00-05:00,6700.852925468027,6687.915425468027,6700.852925468027,5.75,8.625,14.630000114440918,TP,12.9375,False
5_lower,2018-01-10,2018,lower,2018-01-10 05:59:00-05:00,2018-01-10 07:02:00-05:00,6644.365418961772,6644.365418961772,6644.365418961772,7.0,10.5,15.279999732971191,BE,0.0,False
5_upper,2018-01-12,2018,upper,2018-01-12 03:25:00-05:00,2018-01-12 04:13:00-05:00,6741.759581038228,6741.759581038228,6741.759581038228,6.25,9.375,14.56999969482422,BE,-0.0,False
9_upper,2018-01-16,2018,upper,2018-01-16 05:23:00-05:00,2018-01-16 09:35:00-05:00,6809.770647884909,6826.270647884909,6809.770647884909,11.0,16.5,16.34000015258789,SL,-16.5,False
19_lower,2018-01-30,2018,lower,2018-01-29 22:52:00-05:00,2018-01-29 23:13:00-05:00,6956.366742923148,6948.116742923148,6956.366742923148,5.5,8.25,20.350000381469727,SL,-8.25,False
17_lower,2018-02-02,2018,lower,2018-02-02 04:21:00-05:00,2018-02-02 10:01:00-05:00,6880.975997086674,6831.850997086674,6880.975997086674,32.75,49.125,20.65999984741211,SL,-49.125,False
28_upper,2018-02-12,2018,upper,2018-02-12 09:44:00-05:00,2018-02-12 10:25:00-05:00,6513.528021066135,6438.715521066135,6513.528021066135,33.25,49.875,24.940000534057617,TP,74.8125,False
30_upper,2018-02-14,2018,upper,2018-02-14 02:34:00-05:00,2018-02-14 08:30:00-05:00,6590.569710186437,6572.569710186437,6590.569710186437,8.0,12.0,20.8700008392334,TP,18.0,False
34_lower,2018-02-20,2018,lower,2018-02-20 05:04:00-05:00,2018-02-20 06:23:00-05:00,6727.800168995409,6727.800168995409,6727.800168995409,34.0,51.0,21.670000076293945,BE,0.0,False
35_lower,2018-03-02,2018,lower,2018-03-02 08:01:00-05:00,2018-03-02 09:12:00-05:00,6674.644394150568,6674.644394150568,6674.644394150568,44.5,66.75,21.530000686645508,BE,0.0,False
32_lower,2018-03-02,2018,lower,2018-03-02 09:44:00-05:00,2018-03-02 10:42:00-05:00,6655.008211491266,6723.070711491266,6655.008211491266,30.25,45.375,21.530000686645508,TP,68.0625,False
46_upper,2018-03-08,2018,upper,2018-03-08 02:11:00-05:00,2018-03-08 07:16:00-05:00,6945.66025015068,6962.16025015068,6945.66025015068,11.0,16.5,19.26000022888184,SL,-16.5,False
42_upper,2018-03-08,2018,upper,2018-03-08 09:08:00-05:00,2018-03-08 09:57:00-05:00,6967.241668711537,6967.241668711537,6967.241668711537,12.25,18.375,19.26000022888184,BE,-0.0,False
