year,n,net_pts,PF,max_drawdown,avg_trade
2023,83,-0.96,0.9945,-74.02,-0.012
2024,182,32.55,1.0636,-144.99,0.179
2025,185,-250.94,0.8077,-292.33,-1.356
2026,83,170.95,1.1845,-262.85,2.06
