config,pool_id,source,year,side,effective_exit_reason,pnl_class,n_trades,base_weight,gross_profit_pts,gross_loss_pts,net_pts,points_pf,avg_stop_pts,avg_target_pts,avg_abs_pnl_pts,scenario_id,scenario_family,target_points_pf,scenario_weight,achieved_points_pf
operational_100r,1rr,build_years,2023,upper,SL,loss,15,0.01107011070110701,0.0,754.125,-754.125,0.0,50.275,50.275,50.275,operational_100r__pf_1.35__stable,stable,1.35,0.012351916597531326,1.35
operational_100r,1rr,build_years,2023,upper,TP,profit,22,0.016236162361623615,1161.375,-0.0,1161.375,inf,52.78977272727273,52.78977272727273,52.78977272727273,operational_100r__pf_1.35__stable,stable,1.35,0.01399689602843592,1.35
operational_100r,1rr,build_years,2023,upper,cutoff,loss,4,0.002952029520295203,0.0,224.86663960434635,-224.86663960434635,0.0,149.1875,149.1875,56.21665990108659,operational_100r__pf_1.35__stable,stable,1.35,0.0030672398979360695,1.35
operational_100r,1rr,build_years,2023,upper,cutoff,profit,2,0.0014760147601476014,20.39917814051296,-0.0,20.39917814051296,inf,193.5625,193.5625,10.19958907025648,operational_100r__pf_1.35__stable,stable,1.35,0.0014837905717168928,1.35
operational_100r,1rr,build_years,2026,lower,BE,scratch_or_flat,6,0.004428044280442804,0.0,-0.0,0.0,inf,149.875,149.875,0.0,operational_100r__pf_1.35__stable,stable,1.35,0.004463617503160977,1.35
operational_100r,1rr,build_years,2026,lower,SL,loss,4,0.002952029520295203,0.0,486.375,-486.375,0.0,121.59375,121.59375,121.59375,operational_100r__pf_1.35__stable,stable,1.35,0.0031771877751820606,1.35
operational_100r,1rr,build_years,2026,lower,TP,profit,14,0.010332103321033211,1874.75,-0.0,1874.75,inf,133.91071428571428,133.91071428571428,133.91071428571428,operational_100r__pf_1.35__stable,stable,1.35,0.00845520445270782,1.35
operational_100r,1rr,build_years,2026,upper,BE,scratch_or_flat,6,0.004428044280442804,0.0,-0.0,0.0,inf,128.04166666666666,128.04166666666666,0.0,operational_100r__pf_1.35__stable,stable,1.35,0.004463617503160977,1.35
operational_100r,1rr,build_years,2026,upper,SL,loss,7,0.0051660516605166054,0.0,564.875,-564.875,0.0,80.69642857142857,80.69642857142857,80.69642857142857,operational_100r__pf_1.35__stable,stable,1.35,0.005619171027569761,1.35
operational_100r,1rr,build_years,2026,upper,TP,profit,17,0.012546125461254613,1668.625,-0.0,1668.625,inf,98.15441176470588,98.15441176470588,98.15441176470588,operational_100r__pf_1.35__stable,stable,1.35,0.010267033978288069,1.35
operational_100r,1rr,build_years,2026,upper,cutoff,loss,1,0.0007380073800738007,0.0,53.06689536332124,-53.06689536332124,0.0,63.0,63.0,53.06689536332124,operational_100r__pf_1.35__stable,stable,1.35,0.0007492720036973464,1.35
operational_100r,1rr,build_years,2026,upper,cutoff,profit,2,0.0014760147601476014,93.94449495927256,-0.0,93.94449495927256,inf,138.9375,138.9375,46.97224747963628,operational_100r__pf_1.35__stable,stable,1.35,0.001469166707228083,1.35
operational_100r,1rr,external_2013_2015,2013,lower,BE,scratch_or_flat,8,0.005904059040590406,0.0,-0.0,0.0,inf,7.171875,7.171875,0.0,operational_100r__pf_1.35__stable,stable,1.35,0.005951490004214636,1.35
operational_100r,1rr,external_2013_2015,2013,lower,SL,loss,12,0.008856088560885609,0.0,124.125,-124.125,0.0,10.34375,10.34375,10.34375,operational_100r__pf_1.35__stable,stable,1.35,0.009077720528273223,1.35
operational_100r,1rr,external_2013_2015,2013,lower,TP,profit,11,0.008118081180811807,110.625,-0.0,110.625,inf,10.056818181818182,10.056818181818182,10.056818181818182,operational_100r__pf_1.35__stable,stable,1.35,0.00806228517985399,1.35
