pool_id,config,config_label,target_r,level_id,session_date,year,source,side,entry_time,exit_time,entry_price,exit_price,level,anchor,raw_stop_pts,effective_stop_pts,target_pts,pnl_pts_baseline,pnl_pts_effective,mae_pts,mfe_pts,mae_mfe_status,exit_reason,effective_exit_reason,gap_through,is_flat,rolling_pf_window_trades,rolling_pf_threshold,rolling_pf_reentry,r_multiple_baseline,r_multiple_effective
1rr,operational_100r,OG_OPERATIONAL_100R,1.0,36_upper,2013-03-05,2013,external_2013_2015,upper,2013-03-05 04:02:00-05:00,2013-03-05 08:15:00-05:00,2767.888944764353,2773.138944764353,2767.888944764353,3.5,5.25,5.25,5.25,-5.25,-5.25,,,missing_source_not_imputed,SL,SL,False,False,100,1.1,symmetric,-1.0,-1.0
1rr,operational_100r,OG_OPERATIONAL_100R,1.0,33_upper,2013-03-05,2013,external_2013_2015,upper,2013-03-05 09:39:00-05:00,2013-03-05 10:32:00-05:00,2786.450375010939,2793.575375010939,2786.450375010939,4.75,7.125,7.125,7.125,-7.125,-7.125,,,missing_source_not_imputed,SL,SL,False,False,100,1.1,symmetric,-1.0,-1.0
1rr,operational_100r,OG_OPERATIONAL_100R,1.0,43_upper,2013-03-08,2013,external_2013_2015,upper,2013-03-08 08:30:00-05:00,2013-03-08 08:31:00-05:00,2816.640972819859,2811.015972819859,2816.640972819859,3.75,5.625,5.625,5.625,5.625,5.625,,,missing_source_not_imputed,TP,TP,False,False,100,1.1,symmetric,1.0,1.0
1rr,operational_100r,OG_OPERATIONAL_100R,1.0,47_upper,2013-03-14,2013,external_2013_2015,upper,2013-03-14 08:17:00-04:00,2013-03-14 09:35:00-04:00,2805.302074587284,2805.302074587284,2805.302074587284,5.0,7.5,7.5,7.5,-0.0,-0.0,,,missing_source_not_imputed,BE,BE,False,False,100,1.1,symmetric,-0.0,-0.0
1rr,operational_100r,OG_OPERATIONAL_100R,1.0,49_lower,2013-03-15,2013,external_2013_2015,lower,2013-03-15 09:54:00-04:00,2013-03-15 10:00:00-04:00,2794.5447248592145,2790.0447248592145,2794.5447248592145,3.0,4.5,4.5,4.5,-4.5,-4.5,,,missing_source_not_imputed,SL,SL,False,False,100,1.1,symmetric,-1.0,-1.0
1rr,operational_100r,OG_OPERATIONAL_100R,1.0,52_upper,2013-03-20,2013,external_2013_2015,upper,2013-03-20 08:15:00-04:00,2013-03-20 09:30:00-04:00,2802.8054244034897,2802.8054244034897,2802.8054244034897,4.25,6.375,6.375,6.375,-0.0,-0.0,,,missing_source_not_imputed,BE,BE,False,False,100,1.1,symmetric,-0.0,-0.0
1rr,operational_100r,OG_OPERATIONAL_100R,1.0,54_upper,2013-03-22,2013,external_2013_2015,upper,2013-03-22 09:33:00-04:00,2013-03-22 09:40:00-04:00,2782.6594268911317,2779.2844268911317,2782.6594268911317,2.25,3.375,3.375,3.375,3.375,3.375,,,missing_source_not_imputed,TP,TP,False,False,100,1.1,symmetric,1.0,1.0
1rr,operational_100r,OG_OPERATIONAL_100R,1.0,49_upper,2013-03-25,2013,external_2013_2015,upper,2013-03-24 19:48:00-04:00,2013-03-24 21:02:00-04:00,2808.955275140785,2808.955275140785,2808.955275140785,4.75,7.125,7.125,7.125,-0.0,-0.0,,,missing_source_not_imputed,BE,BE,False,False,100,1.1,symmetric,-0.0,-0.0
1rr,operational_100r,OG_OPERATIONAL_100R,1.0,53_upper,2013-03-25,2013,external_2013_2015,upper,2013-03-25 06:08:00-04:00,2013-03-25 09:01:00-04:00,2810.686739126299,2803.186739126299,2810.686739126299,5.0,7.5,7.5,7.5,7.5,7.5,,,missing_source_not_imputed,TP,TP,False,False,100,1.1,symmetric,1.0,1.0
1rr,operational_100r,OG_OPERATIONAL_100R,1.0,51_lower,2013-04-05,2013,external_2013_2015,lower,2013-04-05 08:30:00-04:00,2013-04-05 09:29:00-04:00,2753.020655766093,2743.645655766093,2753.020655766093,6.25,9.375,9.375,9.375,-9.375,-9.375,,,missing_source_not_imputed,SL,SL,False,False,100,1.1,symmetric,-1.0,-1.0
1rr,operational_100r,OG_OPERATIONAL_100R,1.0,68_lower,2013-04-12,2013,external_2013_2015,lower,2013-04-12 08:15:00-04:00,2013-04-12 09:05:00-04:00,2840.761497148273,2840.761497148273,2840.761497148273,4.25,6.375,6.375,6.375,0.0,0.0,,,missing_source_not_imputed,BE,BE,False,False,100,1.1,symmetric,0.0,0.0
1rr,operational_100r,OG_OPERATIONAL_100R,1.0,71_lower,2013-04-17,2013,external_2013_2015,lower,2013-04-17 09:38:00-04:00,2013-04-17 10:17:00-04:00,2798.888627947599,2786.138627947599,2798.888627947599,8.5,12.75,12.75,12.75,-12.75,-12.75,,,missing_source_not_imputed,SL,SL,False,False,100,1.1,symmetric,-1.0,-1.0
1rr,operational_100r,OG_OPERATIONAL_100R,1.0,72_upper,2013-04-23,2013,external_2013_2015,upper,2013-04-23 09:31:00-04:00,2013-04-23 10:01:00-04:00,2820.4809750525164,2830.9809750525164,2820.4809750525164,7.0,10.5,10.5,10.5,-10.5,-10.5,,,missing_source_not_imputed,SL,SL,False,False,100,1.1,symmetric,-1.0,-1.0
1rr,operational_100r,OG_OPERATIONAL_100R,1.0,77_upper,2013-04-25,2013,external_2013_2015,upper,2013-04-25 08:30:00-04:00,2013-04-25 09:16:00-04:00,2842.712738204752,2837.087738204752,2842.712738204752,3.75,5.625,5.625,5.625,5.625,5.625,,,missing_source_not_imputed,TP,TP,False,False,100,1.1,symmetric,1.0,1.0
1rr,operational_100r,OG_OPERATIONAL_100R,1.0,79_upper,2013-04-29,2013,external_2013_2015,upper,2013-04-29 09:47:00-04:00,2013-04-29 09:52:00-04:00,2848.610376887659,2853.485376887659,2848.610376887659,3.25,4.875,4.875,4.875,-4.875,-4.875,,,missing_source_not_imputed,SL,SL,False,False,100,1.1,symmetric,-1.0,-1.0
1rr,operational_100r,OG_OPERATIONAL_100R,1.0,84_upper,2013-05-06,2013,external_2013_2015,upper,2013-05-06 09:34:00-04:00,2013-05-06 10:22:00-04:00,2948.1523514282694,2948.1523514282694,2948.1523514282694,5.75,8.625,8.625,8.625,-0.0,-0.0,,,missing_source_not_imputed,BE,BE,False,False,100,1.1,symmetric,-0.0,-0.0
1rr,operational_100r,OG_OPERATIONAL_100R,1.0,86_upper,2013-05-09,2013,external_2013_2015,upper,2013-05-08 21:26:00-04:00,2013-05-08 22:26:00-04:00,2966.2287743827133,2966.2287743827133,2966.2287743827133,1.0,1.5,1.5,1.5,-0.0,-0.0,,,missing_source_not_imputed,BE,BE,False,False,100,1.1,symmetric,-0.0,-0.0
1rr,operational_100r,OG_OPERATIONAL_100R,1.0,92_lower,2013-05-23,2013,external_2013_2015,lower,2013-05-23 02:17:00-04:00,2013-05-23 02:30:00-04:00,2981.1038662222263,2969.1038662222263,2981.1038662222263,8.0,12.0,12.0,12.0,-12.0,-12.0,,,missing_source_not_imputed,SL,SL,False,False,100,1.1,symmetric,-1.0,-1.0
1rr,operational_100r,OG_OPERATIONAL_100R,1.0,90_lower,2013-05-23,2013,external_2013_2015,lower,2013-05-23 04:30:00-04:00,2013-05-23 10:10:00-04:00,2961.976196538426,2984.851196538426,2961.976196538426,15.25,22.875,22.875,22.875,22.875,22.875,,,missing_source_not_imputed,TP,TP,False,False,100,1.1,symmetric,1.0,1.0
1rr,operational_100r,OG_OPERATIONAL_100R,1.0,101_upper,2013-05-30,2013,external_2013_2015,upper,2013-05-30 09:47:00-04:00,2013-05-30 13:32:00-04:00,3008.565518888124,3022.065518888124,3008.565518888124,9.0,13.5,13.5,13.5,-13.5,-13.5,,,missing_source_not_imputed,SL,SL,False,False,100,1.1,symmetric,-1.0,-1.0
