config,year,base_n,base_net,base_pf,sw_n,sw_net,sw_pf
PRIMARY_150R,2013,86,115.21,1.484,86,115.21,1.484
PRIMARY_150R,2014,109,-104.86,0.793,47,-71.92,0.648
PRIMARY_150R,2015,120,-56.04,0.923,0,0.0,inf
PRIMARY_150R,2018,113,620.93,1.676,100,520.99,1.617
PRIMARY_150R,2019,124,-415.82,0.721,60,-122.6,0.824
PRIMARY_150R,2020,137,1401.01,1.545,109,888.47,1.396
PRIMARY_150R,2021,131,941.74,1.378,131,941.74,1.378
PRIMARY_150R,2022,125,1303.0,1.434,124,1331.88,1.448
PRIMARY_150R,2023,99,645.14,1.363,94,643.64,1.378
PRIMARY_150R,2024,117,-441.8,0.877,21,-99.96,0.753
PRIMARY_150R,2025,133,330.29,1.091,19,405.94,2.209
PRIMARY_150R,2026,55,1932.07,2.211,46,1451.51,2.155
OPERATIONAL_100R,2013,86,57.21,1.254,86,57.21,1.254
OPERATIONAL_100R,2014,109,-182.41,0.638,20,-32.43,0.593
OPERATIONAL_100R,2015,120,-136.41,0.81,0,0.0,inf
OPERATIONAL_100R,2018,113,319.92,1.357,94,176.3,1.216
OPERATIONAL_100R,2019,124,-500.01,0.646,43,-16.38,0.965
OPERATIONAL_100R,2020,137,1345.31,1.574,106,880.68,1.436
OPERATIONAL_100R,2021,133,559.9,1.232,107,486.87,1.244
OPERATIONAL_100R,2022,125,1499.88,1.546,121,1544.13,1.592
OPERATIONAL_100R,2023,100,494.53,1.287,100,494.53,1.287
OPERATIONAL_100R,2024,117,-433.72,0.87,26,-140.46,0.739
OPERATIONAL_100R,2025,134,687.24,1.198,20,754.75,3.655
OPERATIONAL_100R,2026,57,2533.0,3.294,57,2533.0,3.294
