n_trades,net_pts,total_R,PF_pts,PF_R,avg_R_per_trade,max_dd_pts,max_dd_R,n_flat_trades,mechanism,params,config,flat_n_flat_runs,flat_n_trades_flat,flat_flat_span_days
1349,5099.215824898358,33.411944009352005,1.2941144906035376,1.0864565659067758,0.024767934773426245,-1245.275874935909,-30.803011708784208,335,rolling_pf,"window=150,threshold=0.9,reentry=hysteretic",primary_150r,4,335,4141.4
1349,4551.118554475188,40.8656506821993,1.2842481343925753,1.1125385756322947,0.030293291832616236,-1769.7846951634383,-23.078657911615878,377,rolling_pf,"window=150,threshold=1.0,reentry=symmetric",primary_150r,16,377,4199.4
1349,4714.696710372407,47.16997248469969,1.328148666856196,1.1403725639317552,0.03496662156019251,-805.5546315178617,-22.480599212414667,445,rolling_pf,"window=150,threshold=1.0,reentry=hysteretic",primary_150r,4,445,4223.4
1349,5141.824496751347,50.728763300774055,1.3718189305178763,1.1570700323808758,0.03760471705024022,-713.25,-26.55787696547479,473,rolling_pf,"window=150,threshold=1.1,reentry=symmetric",primary_150r,10,473,4234.8
1349,4657.96375641048,50.02811291456162,1.353952828025288,1.1637333033323058,0.03708533203451565,-713.25,-21.05787696547479,518,rolling_pf,"window=150,threshold=1.1,reentry=hysteretic",primary_150r,3,518,4262.4
1349,5343.713769271993,18.572229126895003,1.2557657001182623,1.0397531333096075,0.01376740483832098,-1813.1478672234734,-32.10205388225724,145,rolling_pf,"window=200,threshold=0.9,reentry=symmetric",primary_150r,12,145,3821.0
1349,5179.874593960287,23.16063322828826,1.2856709835462932,1.0542585230647692,0.01716874220036194,-1046.2930849784061,-34.42265589451635,248,rolling_pf,"window=200,threshold=0.9,reentry=hysteretic",primary_150r,2,248,3986.9
1349,5326.848110752211,30.86925081224788,1.3011252444948624,1.0745891621901107,0.022883062129168186,-985.5695681864818,-29.922655894516353,268,rolling_pf,"window=200,threshold=1.0,reentry=symmetric",primary_150r,8,268,4045.8
1349,4537.290730956587,28.450289534970565,1.2710267727531177,1.0725430200224377,0.021089910700497084,-856.3820681864818,-29.277035354715714,337,rolling_pf,"window=200,threshold=1.0,reentry=hysteretic",primary_150r,3,337,4060.0
1349,3802.588589659308,27.260770813381715,1.2421162051222194,1.0722554240556756,0.020208132552543896,-1296.342799800117,-26.500572145229615,363,rolling_pf,"window=200,threshold=1.1,reentry=symmetric",primary_150r,19,363,4110.5
1349,3431.596017502796,30.54598815718237,1.253269430341102,1.089156367670498,0.022643430805917252,-713.25,-27.9025134460284,456,rolling_pf,"window=200,threshold=1.1,reentry=hysteretic",primary_150r,3,456,4130.0
1349,4503.930482585567,32.13882333062935,1.231922455420816,1.0705095007757979,0.02382418334368373,-1405.633308665816,-34.686917087328325,177,cusum,"k=0.4968,h=2.2355,cooldown=20",primary_150r,10,177,4255.5
1349,4606.138857063968,38.414755620256585,1.251958627147245,1.089624687393558,0.028476468213681678,-1295.758308665816,-29.68691708732833,242,cusum,"k=0.4968,h=2.2355,cooldown=30",primary_150r,9,242,4255.5
1349,4492.415230873595,34.119268745557335,1.2773888894745178,1.088600949875125,0.02529226741701804,-935.6552998001171,-28.835299409807657,353,cusum,"k=0.4968,h=2.2355,cooldown=50",primary_150r,9,353,4255.5
1349,2442.790494654987,-10.779673912423817,1.2395738240645475,0.961658008634508,-0.007990862796459464,-911.4696890833584,-34.948965707282866,649,nonwin_streak,"percentile=90(threshold_len=7.0),resume_wins=3",primary_150r,13,649,4668.7
1349,2029.0361206513926,-19.029449539427,1.1739856854141013,0.9372519414734937,-0.014106337686750925,-1018.0503184888767,-39.91962335515296,597,nonwin_streak,"percentile=95(threshold_len=8.849999999999994),resume_wins=3",primary_150r,12,597,4668.7
1349,4966.403118107872,14.950499387957073,1.3186801653039497,1.0376674699749342,0.011082653363941493,-1016.9008749359091,-30.54565354020735,326,nonwin_streak,"percentile=99(threshold_len=11.340000000000003),resume_wins=3",primary_150r,4,326,3798.7
1355,6244.433235539356,11.313789085870983,1.298998596872805,1.0231108277534768,0.008349659841971205,-1209.3561932505727,-45.91056857008689,0,baseline_always_on,none,operational_100r,0,0,0.0
1355,5263.795927595042,22.93881724551771,1.3299213278746511,1.0669973516477675,0.016929016417356245,-1909.8485656806188,-29.53630329265785,372,rolling_pf,"window=50,threshold=0.9,reentry=symmetric",operational_100r,36,372,4261.7
1355,5012.137120706336,31.529975273115824,1.3545119358421245,1.1063745200418387,0.02326935444510393,-1812.8574229146652,-24.7535586874617,484,rolling_pf,"window=50,threshold=0.9,reentry=hysteretic",operational_100r,17,484,4267.3
1355,4951.212185296954,34.279438161971626,1.3678281933488812,1.1232547038189125,0.025298478348318543,-1177.5122940002075,-18.39095610454124,523,rolling_pf,"window=50,threshold=1.0,reentry=symmetric",operational_100r,43,523,4401.0
1355,4646.600283436691,31.82931903600373,1.3978210812521914,1.1295108630789858,0.023490272351294268,-1070.7324229146652,-18.183534176398133,623,rolling_pf,"window=50,threshold=1.0,reentry=hysteretic",operational_100r,21,623,4401.0
1355,4613.108322501385,31.789299084454562,1.4204591651971648,1.1384700691170315,0.023460737331700784,-1015.2941545279846,-21.260563790661273,658,rolling_pf,"window=50,threshold=1.1,reentry=symmetric",operational_100r,46,658,4436.6
1355,4968.879563869042,44.019712342700686,1.5564194677029377,1.2384919710827824,0.03248687257763888,-676.6063325370906,-17.835005110521603,764,rolling_pf,"window=50,threshold=1.1,reentry=hysteretic",operational_100r,18,764,4439.2
1355,5375.478063718638,28.557026898906273,1.3358306806205376,1.0835567813508677,0.021075296604358872,-1847.8485656806188,-23.63739741707954,375,rolling_pf,"window=100,threshold=0.9,reentry=symmetric",operational_100r,14,375,4121.1
1355,5456.22363885443,28.286379774585228,1.3805026055471505,1.090650269740821,0.02087555702921419,-1439.3529905448268,-22.217695596134696,452,rolling_pf,"window=100,threshold=0.9,reentry=hysteretic",operational_100r,5,452,4135.8
1355,6435.3914620910155,45.82765064021034,1.4821643495777008,1.1551348102912922,0.03382114438391907,-721.5375269051292,-14.584469271910168,474,rolling_pf,"window=100,threshold=1.0,reentry=symmetric",operational_100r,8,474,4226.1
1355,6771.0164620910155,56.82765064021034,1.5368280212303411,1.207851286413429,0.04193922556473088,-721.5375269051292,-14.875948054292499,517,rolling_pf,"window=100,threshold=1.0,reentry=hysteretic",operational_100r,3,517,4234.4
1355,6738.191261951535,62.23893112230081,1.568369164695021,1.2491153590474053,0.04593279049616296,-721.5375269051292,-10.96913872102261,575,rolling_pf,"window=100,threshold=1.1,reentry=symmetric",operational_100r,20,575,4288.1
1355,5459.614872978861,49.99749761656872,1.49847176386097,1.2226001438344187,0.03689852222624998,-721.5375269051292,-11.318118127152632,661,rolling_pf,"window=100,threshold=1.1,reentry=hysteretic",operational_100r,6,661,4290.9
1355,5317.9191492992695,24.81998028429284,1.325957127227506,1.0713639021156476,0.018317328623094348,-1343.0,-27.95474221074813,363,rolling_pf,"window=150,threshold=0.9,reentry=symmetric",operational_100r,19,363,4126.0
1355,5360.5441492992695,27.81998028429284,1.359101532469745,1.085129863515332,0.020531350763315748,-763.25,-26.954742210748133,416,rolling_pf,"window=150,threshold=0.9,reentry=hysteretic",operational_100r,3,416,4163.8
1355,5354.820958641777,33.47989909273111,1.3800473291828563,1.107261065073325,0.024708412614561706,-813.0985656806188,-23.294823402309863,447,rolling_pf,"window=150,threshold=1.0,reentry=symmetric",operational_100r,10,447,4152.6
1355,4668.21596850997,22.230863607641318,1.3579890244998871,1.0747548095070052,0.016406541407853373,-721.5375269051292,-31.294823402309863,506,rolling_pf,"window=150,threshold=1.0,reentry=hysteretic",operational_100r,5,506,4168.0
1355,5503.34096850997,36.23086360764132,1.4441273054767785,1.1265116018227161,0.026738644728886582,-721.5375269051292,-26.294823402309863,518,rolling_pf,"window=150,threshold=1.1,reentry=symmetric",operational_100r,8,518,4168.0
1355,4833.624911082398,23.231119316084566,1.4226340609635963,1.0881075967352134,0.017144737502645436,-721.5375269051292,-33.29456769386661,601,rolling_pf,"window=150,threshold=1.1,reentry=hysteretic",operational_100r,5,601,4199.7
1355,5048.322721032589,2.411909408363954,1.279469765613434,1.005979708462458,0.0017800069434420324,-1592.4811932505727,-43.12272971050888,238,rolling_pf,"window=200,threshold=0.9,reentry=symmetric",operational_100r,14,238,3934.5
1355,4933.5188774915905,1.661161581405647,1.3020308723264864,1.0043934480407308,0.0012259495065724334,-922.1061932505727,-45.87347753746718,314,rolling_pf,"window=200,threshold=0.9,reentry=hysteretic",operational_100r,3,314,3982.1
1355,5382.468487437002,9.823967204513668,1.3447144626166176,1.0270041584392866,0.007250160298534072,-892.625,-44.9507552905273,341,rolling_pf,"window=200,threshold=1.0,reentry=symmetric",operational_100r,8,341,3956.1
1355,4115.48849288749,0.9504394273831664,1.296495020552519,1.002933887180354,0.000701431311721894,-763.25,-48.66661474009147,464,rolling_pf,"window=200,threshold=1.0,reentry=hysteretic",operational_100r,3,464,4052.9
1355,3981.073406866676,-4.231973436612229,1.2849602082873397,0.9870238475362104,-0.00312322762849611,-841.0466150452448,-54.00669593165319,471,rolling_pf,"window=200,threshold=1.1,reentry=symmetric",operational_100r,16,471,4051.8
1355,3263.6069300720073,5.207438969980153,1.2732773802826143,1.0194500839403338,0.0038431283911292643,-907.5392051423496,-41.94328398021625,617,rolling_pf,"window=200,threshold=1.1,reentry=hysteretic",operational_100r,4,617,4068.8
1355,4114.692469203931,0.29567512382140393,1.2691166135538663,1.0008083975158693,0.00021821042348443094,-868.9779905448268,-42.744793356533194,363,cusum,"k=0.4257,h=1.9158,cooldown=20",operational_100r,19,363,4315.4
1355,4414.223434306761,19.378127322128098,1.3306886050792215,1.0627646987524364,0.014301200975740294,-757.125,-24.7207321869453,488,cusum,"k=0.4257,h=1.9158,cooldown=30",operational_100r,16,488,4315.4
1355,3590.651160163441,25.366668138689118,1.3466429646574165,1.1039455421460418,0.01872078829423551,-1117.6417188644155,-20.643967933304555,644,cusum,"k=0.4257,h=1.9158,cooldown=50",operational_100r,13,644,4315.4
1355,3742.222009151298,8.38347003672119,1.283931997619645,1.0264966274988179,0.0061870627577278155,-1375.3485656806188,-39.71106996305542,483,nonwin_streak,"percentile=90(threshold_len=5.0),resume_wins=3",operational_100r,18,483,4205.4
1355,4308.4976477259825,-8.038238999719027,1.264028864071969,0.9804272922487083,-0.005932279704589688,-1327.3886865843197,-57.58278597941434,237,nonwin_streak,"percentile=95(threshold_len=7.0),resume_wins=3",operational_100r,9,237,4047.6
1355,5360.694139103248,2.2676057227295487,1.2942538218939,1.0050783470303628,0.0016735097584719917,-1396.8886865843197,-55.15656923754214,127,nonwin_streak,"percentile=99(threshold_len=8.059999999999988),resume_wins=3",operational_100r,4,127,3957.1
