n_trades,net_pts,total_R,PF_pts,PF_R,avg_R_per_trade,max_dd_pts,max_dd_R,n_flat_trades,mechanism,params,config,flat_n_flat_runs,flat_n_trades_flat,flat_flat_span_days
1349,6270.870005239877,39.64949012249151,1.2781647580792608,1.0764739550930977,0.029391764360631213,-1194.146093844105,-28.897271217728022,0,baseline_always_on,none,primary_150r,0,0,0.0
1349,4752.695776264232,47.56377488693823,1.2729065857870236,1.128774685535576,0.03525854328164436,-2186.159790255824,-26.155298853882044,341,rolling_pf,"window=50,threshold=0.9,reentry=symmetric",primary_150r,38,341,4173.6
1349,4576.205626301051,42.02727561457886,1.2879312917407268,1.1231427081769754,0.03115439259790872,-1729.5686945950765,-20.898905875578308,423,rolling_pf,"window=50,threshold=0.9,reentry=hysteretic",primary_150r,13,423,4179.2
1349,4852.95168900432,46.38802084616831,1.3210826789428538,1.141952500329024,0.03438696875179267,-1392.3186945950765,-19.398905875578308,453,rolling_pf,"window=50,threshold=1.0,reentry=symmetric",primary_150r,30,453,4261.7
1349,4957.129443141199,45.551300163933206,1.3616430141299043,1.1511988107532185,0.03376671620751164,-1255.2324229146652,-19.095890359895368,522,rolling_pf,"window=50,threshold=1.0,reentry=hysteretic",primary_150r,14,522,4267.3
1349,3828.2153798165423,37.67736998672622,1.2888204269503558,1.1310721101772259,0.027929851732191417,-1667.4805944763284,-22.59410404128249,559,rolling_pf,"window=50,threshold=1.1,reentry=symmetric",primary_150r,35,559,4518.4
1349,3935.7041935827597,35.885891204343885,1.3272212160137147,1.136212458351445,0.02660184670448027,-1266.0077502635595,-20.59410404128249,619,rolling_pf,"window=50,threshold=1.1,reentry=hysteretic",primary_150r,22,619,4518.4
1349,4283.33185430991,25.352205730000435,1.2361934124318348,1.0646232635224593,0.018793332638992168,-2085.7421315178617,-27.45666962902345,314,rolling_pf,"window=100,threshold=0.9,reentry=symmetric",primary_150r,20,314,4102.2
1349,5436.148902033978,43.84852622041747,1.3488113558943857,1.1275365656306118,0.03250446717599516,-1249.9296315178617,-20.05787696547479,420,rolling_pf,"window=100,threshold=0.9,reentry=hysteretic",primary_150r,5,420,4122.8
1349,5315.433197983728,49.75657076181804,1.3519651687529217,1.1486107389122415,0.03688404059437957,-1365.3997309314327,-23.048625087622874,437,rolling_pf,"window=100,threshold=1.0,reentry=symmetric",primary_150r,14,437,4233.4
1349,5235.000093347049,57.09890243425172,1.3779213169808402,1.1836160144299062,0.042326836496850796,-713.25,-17.557876965474787,489,rolling_pf,"window=100,threshold=1.0,reentry=hysteretic",primary_150r,4,489,4255.8
1349,6004.893375402722,69.62559491846545,1.44833308257292,1.234475099113488,0.051612746418432505,-713.25,-14.531184481261047,512,rolling_pf,"window=100,threshold=1.1,reentry=symmetric",primary_150r,8,512,4298.0
1349,4588.700319410307,51.76056713850338,1.3545190436474435,1.1798444550788334,0.038369582756488795,-770.6453355681115,-16.031184481261047,552,rolling_pf,"window=100,threshold=1.1,reentry=hysteretic",primary_150r,5,552,4299.6
1349,4944.48351886639,16.358495978690755,1.2441521208367283,1.0357441494768351,0.012126386937502412,-1665.7930849784061,-37.882461471680195,168,rolling_pf,"window=150,threshold=0.9,reentry=symmetric",primary_150r,19,168,4099.4
