filename,relative_path,sha256,row_count,first_timestamp_utc,last_timestamp_utc,schema,symbol,contract_identifier,contract_month_code,contract_year_digit,timezone_of_timestamp_column,used_in_final_canonical_file
nq_continuous_2018_2026_1m.csv,data/nq_1m/nq_continuous_2018_2026_1m.csv,3d0228fcc17a40933d4fdc3983a8153e5bb6445ed9e743919b3eb5c516e53880,89153,2021-12-10 00:00:00+00:00,2022-03-11 21:59:00+00:00,UNKNOWN (raw Databento schema not documented -- see docs/DATA_PIPELINE.md),NQ,NQH2,H,2,UTC (Z suffix),True
nq_continuous_2018_2026_1m.csv,data/nq_1m/nq_continuous_2018_2026_1m.csv,3d0228fcc17a40933d4fdc3983a8153e5bb6445ed9e743919b3eb5c516e53880,88197,2022-03-13 22:00:00+00:00,2022-06-12 23:59:00+00:00,UNKNOWN (raw Databento schema not documented -- see docs/DATA_PIPELINE.md),NQ,NQM2,M,2,UTC (Z suffix),True
nq_continuous_2018_2026_1m.csv,data/nq_1m/nq_continuous_2018_2026_1m.csv,3d0228fcc17a40933d4fdc3983a8153e5bb6445ed9e743919b3eb5c516e53880,88977,2022-06-13 00:00:00+00:00,2022-09-11 23:59:00+00:00,UNKNOWN (raw Databento schema not documented -- see docs/DATA_PIPELINE.md),NQ,NQU2,U,2,UTC (Z suffix),True
nq_continuous_2018_2026_1m.csv,data/nq_1m/nq_continuous_2018_2026_1m.csv,3d0228fcc17a40933d4fdc3983a8153e5bb6445ed9e743919b3eb5c516e53880,89169,2022-09-12 00:00:00+00:00,2022-12-11 23:59:00+00:00,UNKNOWN (raw Databento schema not documented -- see docs/DATA_PIPELINE.md),NQ,NQZ2,Z,2,UTC (Z suffix),True
nq_continuous_2018_2026_1m.csv,data/nq_1m/nq_continuous_2018_2026_1m.csv,3d0228fcc17a40933d4fdc3983a8153e5bb6445ed9e743919b3eb5c516e53880,86504,2022-12-12 00:00:00+00:00,2023-03-12 23:59:00+00:00,UNKNOWN (raw Databento schema not documented -- see docs/DATA_PIPELINE.md),NQ,NQH3,H,3,UTC (Z suffix),True
nq_continuous_2018_2026_1m.csv,data/nq_1m/nq_continuous_2018_2026_1m.csv,3d0228fcc17a40933d4fdc3983a8153e5bb6445ed9e743919b3eb5c516e53880,88983,2023-03-13 00:00:00+00:00,2023-06-11 23:59:00+00:00,UNKNOWN (raw Databento schema not documented -- see docs/DATA_PIPELINE.md),NQ,NQM3,M,3,UTC (Z suffix),True
nq_continuous_2018_2026_1m.csv,data/nq_1m/nq_continuous_2018_2026_1m.csv,3d0228fcc17a40933d4fdc3983a8153e5bb6445ed9e743919b3eb5c516e53880,88735,2023-06-12 00:00:00+00:00,2023-09-10 23:59:00+00:00,UNKNOWN (raw Databento schema not documented -- see docs/DATA_PIPELINE.md),NQ,NQU3,U,3,UTC (Z suffix),True
nq_continuous_2018_2026_1m.csv,data/nq_1m/nq_continuous_2018_2026_1m.csv,3d0228fcc17a40933d4fdc3983a8153e5bb6445ed9e743919b3eb5c516e53880,89170,2023-09-11 00:00:00+00:00,2023-12-10 23:59:00+00:00,UNKNOWN (raw Databento schema not documented -- see docs/DATA_PIPELINE.md),NQ,NQZ3,Z,3,UTC (Z suffix),True
nq_continuous_2018_2026_1m.csv,data/nq_1m/nq_continuous_2018_2026_1m.csv,3d0228fcc17a40933d4fdc3983a8153e5bb6445ed9e743919b3eb5c516e53880,86508,2023-12-11 00:00:00+00:00,2024-03-10 23:59:00+00:00,UNKNOWN (raw Databento schema not documented -- see docs/DATA_PIPELINE.md),NQ,NQH4,H,4,UTC (Z suffix),True
nq_continuous_2018_2026_1m.csv,data/nq_1m/nq_continuous_2018_2026_1m.csv,3d0228fcc17a40933d4fdc3983a8153e5bb6445ed9e743919b3eb5c516e53880,94967,2024-03-11 00:00:00+00:00,2024-06-16 23:59:00+00:00,UNKNOWN (raw Databento schema not documented -- see docs/DATA_PIPELINE.md),NQ,NQM4,M,4,UTC (Z suffix),True
nq_continuous_2018_2026_1m.csv,data/nq_1m/nq_continuous_2018_2026_1m.csv,3d0228fcc17a40933d4fdc3983a8153e5bb6445ed9e743919b3eb5c516e53880,88743,2024-06-17 00:00:00+00:00,2024-09-15 23:59:00+00:00,UNKNOWN (raw Databento schema not documented -- see docs/DATA_PIPELINE.md),NQ,NQU4,U,4,UTC (Z suffix),True
nq_continuous_2018_2026_1m.csv,data/nq_1m/nq_continuous_2018_2026_1m.csv,3d0228fcc17a40933d4fdc3983a8153e5bb6445ed9e743919b3eb5c516e53880,90542,2024-09-16 00:00:00+00:00,2024-12-16 23:59:00+00:00,UNKNOWN (raw Databento schema not documented -- see docs/DATA_PIPELINE.md),NQ,NQZ4,Z,4,UTC (Z suffix),True
nq_continuous_2018_2026_1m.csv,data/nq_1m/nq_continuous_2018_2026_1m.csv,3d0228fcc17a40933d4fdc3983a8153e5bb6445ed9e743919b3eb5c516e53880,84519,2024-12-17 00:00:00+00:00,2025-03-17 23:59:00+00:00,UNKNOWN (raw Databento schema not documented -- see docs/DATA_PIPELINE.md),NQ,NQH5,H,5,UTC (Z suffix),True
nq_continuous_2018_2026_1m.csv,data/nq_1m/nq_continuous_2018_2026_1m.csv,3d0228fcc17a40933d4fdc3983a8153e5bb6445ed9e743919b3eb5c516e53880,86697,2025-03-18 00:00:00+00:00,2025-06-15 23:59:00+00:00,UNKNOWN (raw Databento schema not documented -- see docs/DATA_PIPELINE.md),NQ,NQM5,M,5,UTC (Z suffix),True
nq_continuous_2018_2026_1m.csv,data/nq_1m/nq_continuous_2018_2026_1m.csv,3d0228fcc17a40933d4fdc3983a8153e5bb6445ed9e743919b3eb5c516e53880,88746,2025-06-16 00:00:00+00:00,2025-09-14 23:59:00+00:00,UNKNOWN (raw Databento schema not documented -- see docs/DATA_PIPELINE.md),NQ,NQU5,U,5,UTC (Z suffix),True
nq_continuous_2018_2026_1m.csv,data/nq_1m/nq_continuous_2018_2026_1m.csv,3d0228fcc17a40933d4fdc3983a8153e5bb6445ed9e743919b3eb5c516e53880,88523,2025-09-15 00:00:00+00:00,2025-12-14 23:59:00+00:00,UNKNOWN (raw Databento schema not documented -- see docs/DATA_PIPELINE.md),NQ,NQZ5,Z,5,UTC (Z suffix),True
nq_continuous_2018_2026_1m.csv,data/nq_1m/nq_continuous_2018_2026_1m.csv,3d0228fcc17a40933d4fdc3983a8153e5bb6445ed9e743919b3eb5c516e53880,86286,2025-12-15 00:00:00+00:00,2026-03-15 23:59:00+00:00,UNKNOWN (raw Databento schema not documented -- see docs/DATA_PIPELINE.md),NQ,NQH6,H,6,UTC (Z suffix),True
nq_continuous_2018_2026_1m.csv,data/nq_1m/nq_continuous_2018_2026_1m.csv,3d0228fcc17a40933d4fdc3983a8153e5bb6445ed9e743919b3eb5c516e53880,82088,2026-03-16 00:00:00+00:00,2026-06-07 23:59:00+00:00,UNKNOWN (raw Databento schema not documented -- see docs/DATA_PIPELINE.md),NQ,NQM6,M,6,UTC (Z suffix),True
