year,n,net_pts,PF,max_drawdown,avg_trade
2023,73,-16.48,0.8914,-59.72,-0.226
2024,148,-120.89,0.7705,-172.28,-0.817
2025,181,-118.43,0.8896,-279.1,-0.654
2026,75,306.8,1.3883,-190.18,4.091
