fold,target,model,train_end,test_end,n_train,n_test,n,mean_abs_error,rmse,median_abs_error,bias_mean_residual,coefficients
1,mae_R,linear_regression,2023-11-07,2024-04-12,52,55,55,0.4997029262453552,0.7029946481393481,0.306154160706904,0.41639848875940394,"{""sigma_day"": -0.222719, ""vol_close_prior"": 0.279394, ""ib_range_pts"": 0.003809, ""level_distance_from_open_pts"": 0.013438, ""side_direction"": 0.112868, ""entry_hour_et"": -0.015199, ""day_of_week"": 0.04312, ""dist_prior_bar_close_pts"": -0.007396, ""trailing_5session_avg_ib_range_pts"": -0.056375, ""stop_distance_R_cap"": -0.034925}"
1,mae_R,unconditional_median_baseline,2023-11-07,2024-04-12,52,55,55,0.39771962499557423,0.49605285633411467,0.3331504772582922,0.131209146837133,"{""median"": 0.46316511046857606}"
1,mfe_R,linear_regression,2023-11-07,2024-04-12,52,55,55,0.52385406458043,0.7497834049364482,0.31987972641754997,0.005727409555454857,"{""sigma_day"": -0.000703, ""vol_close_prior"": -0.000846, ""ib_range_pts"": 0.062552, ""level_distance_from_open_pts"": -0.015669, ""side_direction"": 0.138373, ""entry_hour_et"": 0.00165, ""day_of_week"": 0.18818, ""dist_prior_bar_close_pts"": 0.005448, ""trailing_5session_avg_ib_range_pts"": 0.042048, ""stop_distance_R_cap"": -0.054654}"
1,mfe_R,unconditional_median_baseline,2023-11-07,2024-04-12,52,55,55,0.4476148619018699,0.6948578766641803,0.3481340238908548,0.0020221008960975765,"{""median"": 0.7215355826660916}"
2,mae_R,linear_regression,2024-04-12,2024-09-15,107,58,58,0.4420136768314896,0.5296558942532722,0.44317721732079796,-0.03079272726064425,"{""sigma_day"": 0.056978, ""vol_close_prior"": -0.080047, ""ib_range_pts"": 0.003275, ""level_distance_from_open_pts"": 0.019791, ""side_direction"": 0.026609, ""entry_hour_et"": -0.014785, ""day_of_week"": 0.074179, ""dist_prior_bar_close_pts"": -0.014557, ""trailing_5session_avg_ib_range_pts"": -0.050369, ""stop_distance_R_cap"": -0.031673}"
2,mae_R,unconditional_median_baseline,2024-04-12,2024-09-15,107,58,58,0.4759778468716734,0.5493157167395558,0.39791081001482975,0.1842519167884489,"{""median"": 0.4719745631461997}"
2,mfe_R,linear_regression,2024-04-12,2024-09-15,107,58,58,0.43108326324341706,0.557830846477129,0.3635075247647053,-0.07072440409203912,"{""sigma_day"": -0.020965, ""vol_close_prior"": -0.010801, ""ib_range_pts"": 0.009067, ""level_distance_from_open_pts"": 0.006416, ""side_direction"": 0.089539, ""entry_hour_et"": -0.008189, ""day_of_week"": 0.058349, ""dist_prior_bar_close_pts"": 0.046177, ""trailing_5session_avg_ib_range_pts"": 0.051689, ""stop_distance_R_cap"": -0.030935}"
2,mfe_R,unconditional_median_baseline,2024-04-12,2024-09-15,107,58,58,0.37114772038947996,0.4913288394361199,0.37207658207826233,0.11875694903252029,"{""median"": 0.6241522714100628}"
3,mae_R,linear_regression,2024-09-15,2025-02-17,165,71,71,0.458525458421979,0.5499358721571422,0.4099105807040949,-0.3595240223620801,"{""sigma_day"": 0.046156, ""vol_close_prior"": -0.051335, ""ib_range_pts"": 0.000357, ""level_distance_from_open_pts"": 0.001738, ""side_direction"": 0.037291, ""entry_hour_et"": -0.012921, ""day_of_week"": 0.064095, ""dist_prior_bar_close_pts"": -0.006878, ""trailing_5session_avg_ib_range_pts"": -0.018534, ""stop_distance_R_cap"": -0.025195}"
3,mae_R,unconditional_median_baseline,2024-09-15,2025-02-17,165,71,71,0.36933042584261383,0.4090084520507323,0.4385964912280492,-0.06374844682211728,"{""median"": 0.5614035087719508}"
3,mfe_R,linear_regression,2024-09-15,2025-02-17,165,71,71,0.38228559413619867,0.46565363210129423,0.34345598271143873,0.043831461235364785,"{""sigma_day"": 0.005497, ""vol_close_prior"": 0.008215, ""ib_range_pts"": 0.032528, ""level_distance_from_open_pts"": -0.016261, ""side_direction"": 0.041685, ""entry_hour_et"": -0.005673, ""day_of_week"": 0.025501, ""dist_prior_bar_close_pts"": 0.030156, ""trailing_5session_avg_ib_range_pts"": 0.016156, ""stop_distance_R_cap"": -0.024437}"
3,mfe_R,unconditional_median_baseline,2024-09-15,2025-02-17,165,71,71,0.379684917478313,0.43482989086768925,0.3717584916916401,0.004721343330448652,"{""median"": 0.6730097807137936}"
4,mae_R,linear_regression,2025-02-17,2025-07-24,236,61,61,0.379498685774404,0.42776775976369363,0.3820386850646773,0.01696698852906977,"{""sigma_day"": 0.002116, ""vol_close_prior"": 0.007759, ""ib_range_pts"": 0.002603, ""level_distance_from_open_pts"": 0.000553, ""side_direction"": 0.026372, ""entry_hour_et"": -0.009988, ""day_of_week"": 0.026125, ""dist_prior_bar_close_pts"": -0.00271, ""trailing_5session_avg_ib_range_pts"": 0.008618, ""stop_distance_R_cap"": -0.020175}"
4,mae_R,unconditional_median_baseline,2025-02-17,2025-07-24,236,61,61,0.37901645437630643,0.41029983190670416,0.3642505466295032,0.08927671346712518,"{""median"": 0.4611969282741967}"
4,mfe_R,linear_regression,2025-02-17,2025-07-24,236,61,61,0.323640432731044,0.3802466603919676,0.328756536007233,-0.09762901250061658,"{""sigma_day"": 0.002429, ""vol_close_prior"": 0.014805, ""ib_range_pts"": 0.019986, ""level_distance_from_open_pts"": -0.008338, ""side_direction"": 0.037146, ""entry_hour_et"": -0.001842, ""day_of_week"": 0.02702, ""dist_prior_bar_close_pts"": 0.026222, ""trailing_5session_avg_ib_range_pts"": 0.00805, ""stop_distance_R_cap"": -0.018343}"
4,mfe_R,unconditional_median_baseline,2025-02-17,2025-07-24,236,61,61,0.31928506567455794,0.36124629584898277,0.33720301340644354,-0.09224056935958497,"{""median"": 0.6562252975877979}"
5,mae_R,linear_regression,2025-07-24,2025-12-26,297,66,66,0.4085879208899478,0.4595280324782364,0.4146583335814196,-0.012387910196558273,"{""sigma_day"": -0.003172, ""vol_close_prior"": 0.025585, ""ib_range_pts"": 0.00898, ""level_distance_from_open_pts"": -0.003635, ""side_direction"": 0.02127, ""entry_hour_et"": -0.006789, ""day_of_week"": 0.014941, ""dist_prior_bar_close_pts"": -0.000411, ""trailing_5session_avg_ib_range_pts"": 0.01572, ""stop_distance_R_cap"": -0.014616}"
5,mae_R,unconditional_median_baseline,2025-07-24,2025-12-26,297,66,66,0.3857488793653064,0.42202998972912986,0.3976117067541513,0.026712401546695443,"{""median"": 0.46197930212104793}"
5,mfe_R,linear_regression,2025-07-24,2025-12-26,297,66,66,0.3719665598644539,0.47165548581230093,0.33375903309322996,0.12309040428057008,"{""sigma_day"": -0.006273, ""vol_close_prior"": 0.006648, ""ib_range_pts"": 0.006053, ""level_distance_from_open_pts"": 0.004258, ""side_direction"": 0.04099, ""entry_hour_et"": -0.002521, ""day_of_week"": 0.028644, ""dist_prior_bar_close_pts"": 0.025325, ""trailing_5session_avg_ib_range_pts"": -0.009494, ""stop_distance_R_cap"": -0.015358}"
