fold,target,model,train_end,test_end,n_train,n_test,n,mean_abs_error,rmse,median_abs_error,bias_mean_residual,coefficients
1,mae_R,linear_regression,2023-11-07,2024-04-12,125,149,149,1.6260856332849376,2.8326878809570584,0.979178460296076,0.8811582089520245,"{""sigma_day"": -0.195767, ""vol_close_prior"": 0.242335, ""ib_range_pts"": 0.000109, ""level_distance_from_open_pts"": -0.065707, ""side_direction"": -0.00435, ""entry_hour_et"": 0.011458, ""day_of_week"": 0.047576, ""dist_prior_bar_close_pts"": 0.018735, ""trailing_5session_avg_ib_range_pts"": -0.050708, ""stop_distance_R_cap"": -0.119046}"
1,mae_R,unconditional_median_baseline,2023-11-07,2024-04-12,125,149,149,1.5229557366171669,3.0948149739526256,0.5623280047118103,1.0728769620769385,"{""median"": 0.7730013319828987}"
1,mfe_R,linear_regression,2023-11-07,2024-04-12,125,149,149,1.155398163317384,1.5030550560262768,0.9324373185855518,-0.010808096685897285,"{""sigma_day"": -0.399275, ""vol_close_prior"": 0.160258, ""ib_range_pts"": -0.17234, ""level_distance_from_open_pts"": 0.261502, ""side_direction"": 0.119137, ""entry_hour_et"": 0.016008, ""day_of_week"": 0.186994, ""dist_prior_bar_close_pts"": 0.024981, ""trailing_5session_avg_ib_range_pts"": 0.284567, ""stop_distance_R_cap"": -0.134126}"
1,mfe_R,unconditional_median_baseline,2023-11-07,2024-04-12,125,149,149,0.8454218435638434,1.3677888740914381,0.6076637521919489,0.265258186105171,"{""median"": 0.9593425835514222}"
2,mae_R,linear_regression,2024-04-12,2024-09-15,274,157,157,1.6276667853606406,2.225610534541615,1.374133962019708,-0.7433374040323748,"{""sigma_day"": 0.132439, ""vol_close_prior"": -0.273411, ""ib_range_pts"": -0.118831, ""level_distance_from_open_pts"": 0.090993, ""side_direction"": -0.292977, ""entry_hour_et"": 0.039487, ""day_of_week"": -0.269181, ""dist_prior_bar_close_pts"": 0.224184, ""trailing_5session_avg_ib_range_pts"": -0.006736, ""stop_distance_R_cap"": -0.095721}"
2,mae_R,unconditional_median_baseline,2024-04-12,2024-09-15,274,157,157,1.095626295713868,1.7466054290304367,0.5876755097966839,0.6481483068237498,"{""median"": 0.7430632710052814}"
2,mfe_R,linear_regression,2024-04-12,2024-09-15,274,157,157,1.531691334246575,2.328563426747632,1.0765171271894656,0.6899934157338294,"{""sigma_day"": -0.150816, ""vol_close_prior"": 0.061809, ""ib_range_pts"": -0.017185, ""level_distance_from_open_pts"": 0.073211, ""side_direction"": 0.173758, ""entry_hour_et"": -0.022249, ""day_of_week"": 0.126716, ""dist_prior_bar_close_pts"": 0.018119, ""trailing_5session_avg_ib_range_pts"": 0.118107, ""stop_distance_R_cap"": -0.09427}"
2,mfe_R,unconditional_median_baseline,2024-04-12,2024-09-15,274,157,157,1.2638184753720814,2.429958275535622,0.5788486883404756,0.6654138975640022,"{""median"": 0.8718986748596813}"
3,mae_R,linear_regression,2024-09-15,2025-02-17,432,153,153,1.3176735628312282,1.5931480822085462,1.2207385914596793,-0.4862412975307651,"{""sigma_day"": 0.034381, ""vol_close_prior"": -0.067245, ""ib_range_pts"": -0.028719, ""level_distance_from_open_pts"": 0.01992, ""side_direction"": -0.17444, ""entry_hour_et"": 0.051099, ""day_of_week"": -0.201936, ""dist_prior_bar_close_pts"": 0.097351, ""trailing_5session_avg_ib_range_pts"": -0.026136, ""stop_distance_R_cap"": -0.064258}"
3,mae_R,unconditional_median_baseline,2024-09-15,2025-02-17,432,153,153,1.034537059070401,1.589988873651613,0.5696665968632324,0.48161232614866223,"{""median"": 0.7585702643425167}"
