candidate,session_date,year,net_pnl,classification
A,2020-01-30,2020,0.0,breakeven
A,2020-02-04,2020,-28.5,losing
A,2020-02-11,2020,31.695695436550523,profitable
A,2020-02-14,2020,0.0,breakeven
A,2020-02-17,2020,-6.375,losing
A,2020-02-19,2020,-13.125,losing
A,2020-02-21,2020,32.25,profitable
A,2020-02-24,2020,-29.25,losing
A,2020-02-27,2020,75.375,profitable
A,2020-03-02,2020,-109.875,losing
A,2020-03-06,2020,-84.375,losing
A,2020-03-12,2020,-6.375,losing
A,2020-03-20,2020,200.0,profitable
A,2020-03-24,2020,0.0,breakeven
A,2020-03-25,2020,153.75,profitable
A,2020-03-31,2020,56.25,profitable
A,2020-04-01,2020,57.0,profitable
A,2020-04-02,2020,200.0,profitable
A,2020-04-06,2020,0.0,breakeven
A,2020-04-07,2020,-108.75,losing
A,2020-04-09,2020,143.17188991283365,profitable
A,2020-04-14,2020,-131.25,losing
A,2020-04-21,2020,25.875,profitable
A,2020-04-27,2020,-30.75,losing
A,2020-04-28,2020,-32.625,losing
A,2020-05-05,2020,0.0,breakeven
A,2020-05-07,2020,0.0,breakeven
A,2020-05-08,2020,-43.125,losing
A,2020-05-11,2020,68.25,profitable
A,2020-05-13,2020,70.5,profitable
A,2020-05-15,2020,0.0,breakeven
A,2020-05-18,2020,0.0,breakeven
A,2020-05-20,2020,-30.375,losing
A,2020-05-22,2020,-66.0,losing
A,2020-05-25,2020,0.0,breakeven
A,2020-05-26,2020,-22.875,losing
A,2020-06-02,2020,50.25,profitable
A,2020-06-03,2020,0.0,breakeven
A,2020-06-04,2020,61.125,profitable
A,2020-06-10,2020,25.5,profitable
A,2020-06-11,2020,0.0,breakeven
A,2020-06-15,2020,122.25,profitable
A,2020-06-16,2020,55.125,profitable
A,2020-06-19,2020,33.0,profitable
A,2020-06-23,2020,-85.125,losing
A,2020-06-29,2020,64.875,profitable
A,2020-06-30,2020,8.25,profitable
A,2020-07-01,2020,-73.58083248526236,losing
A,2020-07-02,2020,-41.25,losing
A,2020-07-06,2020,0.0,breakeven
A,2020-07-07,2020,45.75,profitable
A,2020-07-13,2020,-32.25,losing
A,2020-07-14,2020,200.0,profitable
A,2020-07-16,2020,0.0,breakeven
A,2020-07-24,2020,-102.75,losing
A,2020-08-03,2020,-29.625,losing
A,2020-08-05,2020,-25.5,losing
A,2020-08-13,2020,0.0,breakeven
A,2020-08-18,2020,62.625,profitable
A,2020-08-21,2020,-19.5,losing
A,2020-08-24,2020,-56.625,losing
A,2020-08-26,2020,26.625,profitable
A,2020-09-01,2020,-28.125,losing
A,2020-09-02,2020,44.25,profitable
A,2020-09-04,2020,178.875,profitable
A,2020-09-08,2020,152.25,profitable
A,2020-09-16,2020,40.5,profitable
A,2020-09-17,2020,122.25,profitable
A,2020-09-21,2020,0.0,breakeven
A,2020-09-28,2020,11.625,profitable
A,2020-09-30,2020,139.875,profitable
A,2020-10-01,2020,-52.9125269051292,losing
A,2020-10-02,2020,0.0,breakeven
A,2020-10-08,2020,19.5,profitable
A,2020-10-09,2020,-28.875,losing
A,2020-10-12,2020,-24.375,losing
A,2020-10-15,2020,-114.375,losing
A,2020-10-28,2020,-102.375,losing
A,2020-10-30,2020,-41.625,losing
A,2020-11-04,2020,-171.75,losing
A,2020-11-05,2020,-204.75,losing
A,2020-11-09,2020,200.0,profitable
A,2020-11-10,2020,76.875,profitable
A,2020-11-12,2020,0.0,breakeven
A,2020-11-19,2020,25.5,profitable
A,2020-11-25,2020,51.75,profitable
A,2020-11-26,2020,-25.5,losing
A,2020-12-07,2020,-23.25,losing
A,2020-12-10,2020,33.375,profitable
A,2020-12-14,2020,-1.494744049046858,losing
A,2020-12-15,2020,0.0,breakeven
A,2020-12-17,2020,-11.25,losing
A,2020-12-18,2020,46.125,profitable
A,2020-12-21,2020,126.75,profitable
A,2020-12-28,2020,0.0,breakeven
A,2020-12-29,2020,-2.625,losing
A,2023-01-06,2023,36.375,profitable
A,2023-01-09,2023,-76.125,losing
A,2023-01-12,2023,51.75,profitable
A,2023-01-16,2023,37.875,profitable
A,2023-01-18,2023,46.5,profitable
A,2023-01-19,2023,-62.25,losing
A,2023-01-23,2023,-58.125,losing
A,2023-01-25,2023,91.5,profitable
A,2023-01-26,2023,120.0,profitable
A,2023-01-31,2023,37.125,profitable
A,2023-02-06,2023,68.625,profitable
A,2023-02-10,2023,-69.0,losing
A,2023-02-14,2023,39.0,profitable
A,2023-02-17,2023,60.0,profitable
A,2023-02-21,2023,0.0,breakeven
A,2023-02-24,2023,31.125,profitable
A,2023-03-02,2023,0.0,breakeven
A,2023-03-06,2023,-50.25,losing
A,2023-03-13,2023,0.0,breakeven
A,2023-03-14,2023,-26.994444007585116,losing
A,2023-03-15,2023,34.125,profitable
A,2023-03-16,2023,0.0,breakeven
A,2023-03-21,2023,52.875,profitable
A,2023-03-28,2023,-58.125,losing
A,2023-03-30,2023,-49.125,losing
A,2023-04-06,2023,84.0,profitable
A,2023-04-11,2023,40.5,profitable
A,2023-04-20,2023,109.125,profitable
A,2023-04-21,2023,0.0,breakeven
A,2023-05-01,2023,33.375,profitable
A,2023-05-04,2023,58.875,profitable
A,2023-05-10,2023,20.06491327007825,profitable
A,2023-05-11,2023,0.0,breakeven
A,2023-05-24,2023,-31.125,losing
A,2023-05-25,2023,70.5,profitable
A,2023-05-26,2023,0.0,breakeven
A,2023-05-30,2023,0.0,breakeven
A,2023-06-02,2023,0.0,breakeven
A,2023-06-12,2023,-36.375,losing
A,2023-06-20,2023,0.0,breakeven
A,2023-06-22,2023,0.0,breakeven
A,2023-06-30,2023,-46.578041068776656,losing
A,2023-07-03,2023,27.375,profitable
A,2023-07-06,2023,-33.75,losing
A,2023-07-12,2023,-46.91573512956529,losing
A,2023-07-13,2023,27.75,profitable
A,2023-07-27,2023,17.25,profitable
A,2023-08-02,2023,96.375,profitable
A,2023-08-03,2023,0.0,breakeven
A,2023-08-11,2023,-42.0,losing
A,2023-08-17,2023,0.0,breakeven
A,2023-08-21,2023,-120.75,losing
A,2023-08-22,2023,-56.25,losing
A,2023-08-31,2023,-9.436731613319353,losing
A,2023-09-01,2023,34.875,profitable
A,2023-09-05,2023,0.0,breakeven
A,2023-09-07,2023,-56.625,losing
A,2023-09-08,2023,0.0,breakeven
A,2023-09-11,2023,72.0,profitable
A,2023-09-13,2023,75.0,profitable
A,2023-09-19,2023,-68.625,losing
A,2023-09-21,2023,-86.625,losing
A,2023-09-25,2023,48.0,profitable
A,2023-09-29,2023,130.5,profitable
A,2023-10-04,2023,75.0,profitable
A,2023-10-12,2023,0.0,breakeven
A,2023-10-19,2023,44.25,profitable
A,2023-10-20,2023,0.0,breakeven
A,2023-10-23,2023,27.375,profitable
A,2023-10-26,2023,0.0,breakeven
A,2023-11-02,2023,0.0,breakeven
A,2023-11-03,2023,-141.85742291466522,losing
A,2023-11-07,2023,-50.625,losing
A,2023-11-14,2023,-29.625,losing
A,2023-11-15,2023,-36.0,losing
A,2023-11-20,2023,48.75,profitable
A,2023-11-22,2023,40.125,profitable
A,2023-11-27,2023,28.875,profitable
A,2023-11-29,2023,-66.0,losing
A,2023-11-30,2023,-74.25,losing
A,2023-12-04,2023,-97.5,losing
A,2023-12-06,2023,127.125,profitable
A,2023-12-11,2023,8.25,profitable
A,2023-12-12,2023,0.0,breakeven
A,2023-12-19,2023,0.0,breakeven
A,2023-12-28,2023,23.25,profitable
A,2026-01-13,2026,45.75,profitable
A,2026-01-14,2026,109.5,profitable
A,2026-01-19,2026,144.0,profitable
A,2026-01-20,2026,-95.625,losing
A,2026-01-27,2026,56.625,profitable
A,2026-01-28,2026,-97.875,losing
A,2026-01-29,2026,-79.5,losing
A,2026-02-02,2026,-138.75,losing
A,2026-02-09,2026,200.0,profitable
A,2026-02-13,2026,108.0,profitable
A,2026-02-25,2026,-120.56689536332124,losing
A,2026-02-27,2026,0.0,breakeven
A,2026-03-02,2026,146.25,profitable
A,2026-03-03,2026,200.0,profitable
A,2026-03-05,2026,76.125,profitable
A,2026-03-09,2026,200.0,profitable
A,2026-03-10,2026,0.0,breakeven
A,2026-03-12,2026,92.25,profitable
A,2026-03-17,2026,93.1980530150613,profitable
A,2026-03-18,2026,-27.0,losing
A,2026-03-19,2026,97.875,profitable
A,2026-03-26,2026,0.0,breakeven
A,2026-03-31,2026,118.125,profitable
A,2026-04-01,2026,0.0,breakeven
A,2026-04-02,2026,98.625,profitable
A,2026-04-06,2026,84.375,profitable
A,2026-04-08,2026,-200.0,losing
A,2026-04-10,2026,128.25,profitable
A,2026-04-14,2026,49.875,profitable
A,2026-04-15,2026,0.0,breakeven
A,2026-04-17,2026,0.0,breakeven
A,2026-04-24,2026,127.125,profitable
A,2026-04-27,2026,126.0,profitable
A,2026-04-28,2026,200.0,profitable
A,2026-04-30,2026,200.0,profitable
A,2026-05-01,2026,-118.125,losing
A,2026-05-11,2026,141.0,profitable
A,2026-05-14,2026,87.375,profitable
A,2026-05-18,2026,200.0,profitable
A,2026-05-19,2026,160.125,profitable
A,2026-05-21,2026,84.375,profitable
A,2026-05-22,2026,88.125,profitable
A,2026-05-25,2026,0.7464419442112558,profitable
A,2026-05-27,2026,38.25,profitable
A,2026-05-29,2026,81.0,profitable
A,2026-06-04,2026,0.0,breakeven
A,2026-06-05,2026,-172.5,losing
B,2018-01-03,2018,0.0,breakeven
B,2018-01-04,2018,0.0,breakeven
B,2018-01-09,2018,12.9375,profitable
B,2018-01-10,2018,0.0,breakeven
B,2018-01-12,2018,0.0,breakeven
B,2018-01-16,2018,-16.5,losing
B,2018-01-30,2018,-8.25,losing
B,2018-02-02,2018,-49.125,losing
B,2018-02-12,2018,74.8125,profitable
B,2018-02-14,2018,18.0,profitable
B,2018-02-20,2018,0.0,breakeven
B,2018-03-02,2018,68.0625,profitable
B,2018-03-08,2018,-16.5,losing
B,2018-03-09,2018,14.625,profitable
B,2018-03-13,2018,76.5,profitable
B,2018-03-15,2018,26.32253796635632,profitable
B,2018-03-19,2018,0.9375,profitable
B,2018-03-22,2018,0.0,breakeven
B,2018-03-27,2018,-24.375,losing
B,2018-04-10,2018,0.0,breakeven
B,2018-04-12,2018,26.4375,profitable
B,2018-04-17,2018,0.0,breakeven
B,2018-04-20,2018,32.0625,profitable
B,2018-04-27,2018,34.3125,profitable
B,2018-05-07,2018,19.125,profitable
B,2018-05-15,2018,-31.5,losing
B,2018-05-23,2018,22.5,profitable
B,2018-05-24,2018,0.0,breakeven
B,2018-05-25,2018,0.0,breakeven
B,2018-05-29,2018,65.8125,profitable
B,2018-06-01,2018,-32.625,losing
B,2018-06-04,2018,-23.25,losing
B,2018-06-05,2018,-24.0,losing
B,2018-06-07,2018,0.0,breakeven
B,2018-06-08,2018,0.0,breakeven
B,2018-06-11,2018,0.0,breakeven
B,2018-06-13,2018,0.0,breakeven
B,2018-06-18,2018,33.75,profitable
B,2018-06-19,2018,-19.875,losing
B,2018-06-20,2018,16.6875,profitable
B,2018-06-21,2018,-14.625,losing
B,2018-06-25,2018,-30.375,losing
B,2018-06-29,2018,-27.75,losing
B,2018-07-02,2018,54.5625,profitable
B,2018-07-03,2018,31.5,profitable
B,2018-07-06,2018,0.0,breakeven
B,2018-07-09,2018,-12.375,losing
B,2018-07-10,2018,15.75,profitable
B,2018-07-13,2018,12.9375,profitable
B,2018-07-23,2018,-27.75,losing
B,2018-07-24,2018,59.0625,profitable
B,2018-07-30,2018,0.0,breakeven
B,2018-08-07,2018,11.25,profitable
B,2018-08-10,2018,0.0,breakeven
B,2018-08-17,2018,0.0,breakeven
B,2018-08-22,2018,41.625,profitable
B,2018-08-23,2018,5.4375,profitable
B,2018-08-27,2018,-12.375,losing
B,2018-08-29,2018,0.0,breakeven
B,2018-09-04,2018,-14.25,losing
B,2018-09-07,2018,90.5625,profitable
B,2018-09-12,2018,-10.5,losing
B,2018-09-13,2018,-30.75,losing
B,2018-09-14,2018,23.625,profitable
B,2018-09-17,2018,-13.125,losing
B,2018-09-20,2018,-22.454907435795576,losing
B,2018-09-21,2018,19.6875,profitable
B,2018-09-24,2018,-13.875,losing
B,2018-10-01,2018,-12.0,losing
B,2018-10-02,2018,34.3125,profitable
B,2018-10-04,2018,-52.875,losing
B,2018-10-10,2018,-35.25,losing
B,2018-10-23,2018,46.125,profitable
B,2018-10-26,2018,83.8125,profitable
B,2018-10-31,2018,0.0,breakeven
B,2018-11-02,2018,143.4375,profitable
B,2018-11-05,2018,-26.625,losing
B,2018-11-07,2018,-33.0,losing
B,2018-11-09,2018,0.0,breakeven
B,2018-11-12,2018,-62.625,losing
B,2018-11-13,2018,48.9375,profitable
B,2018-11-20,2018,-81.375,losing
B,2018-11-21,2018,56.25,profitable
B,2018-11-23,2018,39.375,profitable
B,2018-11-26,2018,-36.375,losing
B,2018-11-28,2018,15.75,profitable
B,2018-12-11,2018,-44.25,losing
B,2018-12-14,2018,0.0,breakeven
B,2018-12-17,2018,64.125,profitable
B,2018-12-28,2018,40.5,profitable
B,2020-01-03,2020,75.375,profitable
B,2020-01-07,2020,0.0,breakeven
B,2020-01-08,2020,255.13340595394948,profitable
B,2020-01-17,2020,4.025526241002808,profitable
B,2020-01-21,2020,0.0,breakeven
B,2020-01-22,2020,-0.375,losing
B,2020-01-23,2020,39.9375,profitable
B,2020-01-24,2020,-10.5,losing
B,2020-01-27,2020,-17.94615645900194,losing
B,2020-01-30,2020,0.0,breakeven
B,2020-02-04,2020,-28.5,losing
B,2020-02-11,2020,31.695695436550523,profitable
B,2020-02-14,2020,0.0,breakeven
B,2020-02-17,2020,-6.375,losing
B,2020-02-19,2020,-13.125,losing
B,2020-02-21,2020,0.0,breakeven
B,2020-02-24,2020,-29.25,losing
B,2020-02-27,2020,113.0625,profitable
B,2020-03-02,2020,-109.875,losing
B,2020-03-06,2020,-84.375,losing
B,2020-03-12,2020,-6.375,losing
B,2020-03-20,2020,300.0,profitable
B,2020-03-24,2020,0.0,breakeven
B,2020-03-25,2020,230.625,profitable
B,2020-03-31,2020,84.375,profitable
B,2020-04-01,2020,85.5,profitable
B,2020-04-02,2020,158.89417664632947,profitable
B,2020-04-06,2020,-48.75,losing
B,2020-04-07,2020,-108.75,losing
B,2020-04-09,2020,143.17188991283365,profitable
B,2020-04-14,2020,-131.25,losing
B,2020-04-21,2020,-48.75,losing
B,2020-04-27,2020,-30.75,losing
B,2020-04-28,2020,-32.625,losing
B,2020-05-05,2020,0.0,breakeven
B,2020-05-07,2020,0.0,breakeven
B,2020-05-08,2020,-43.125,losing
B,2020-05-11,2020,102.375,profitable
B,2020-05-13,2020,105.75,profitable
B,2020-05-15,2020,0.0,breakeven
B,2020-05-18,2020,0.0,breakeven
B,2020-05-20,2020,-30.375,losing
B,2020-05-22,2020,-66.0,losing
B,2020-05-25,2020,0.0,breakeven
B,2020-05-26,2020,-22.875,losing
B,2020-06-02,2020,75.375,profitable
B,2020-06-03,2020,0.0,breakeven
B,2020-06-04,2020,91.6875,profitable
B,2020-06-10,2020,38.25,profitable
B,2020-06-11,2020,0.0,breakeven
B,2020-06-15,2020,215.625,profitable
B,2020-06-16,2020,0.0,breakeven
B,2020-06-19,2020,49.5,profitable
B,2020-06-23,2020,-85.125,losing
B,2020-06-29,2020,97.3125,profitable
B,2020-06-30,2020,12.375,profitable
B,2020-07-01,2020,-73.58083248526236,losing
B,2020-07-02,2020,-41.25,losing
B,2020-07-06,2020,0.0,breakeven
B,2020-07-07,2020,68.625,profitable
B,2020-07-13,2020,-32.25,losing
B,2020-07-14,2020,194.54795684166675,profitable
B,2020-07-16,2020,0.0,breakeven
B,2020-07-24,2020,-102.75,losing
B,2020-08-03,2020,-29.625,losing
B,2020-08-05,2020,-25.5,losing
B,2020-08-13,2020,0.0,breakeven
B,2020-08-18,2020,0.0,breakeven
B,2020-08-21,2020,-19.5,losing
B,2020-08-24,2020,-56.625,losing
B,2020-08-26,2020,-26.625,losing
B,2020-09-01,2020,-28.125,losing
B,2020-09-02,2020,66.375,profitable
B,2020-09-04,2020,-178.875,losing
B,2020-09-08,2020,228.375,profitable
B,2020-09-16,2020,60.75,profitable
B,2020-09-17,2020,-16.689272151754267,losing
B,2020-09-21,2020,0.0,breakeven
B,2020-09-28,2020,43.3125,profitable
B,2020-09-30,2020,209.8125,profitable
B,2020-10-01,2020,-52.9125269051292,losing
B,2020-10-02,2020,0.0,breakeven
B,2020-10-08,2020,29.25,profitable
B,2020-10-09,2020,-16.3125,losing
B,2020-10-12,2020,-24.375,losing
B,2020-10-15,2020,-114.375,losing
B,2020-10-28,2020,-102.375,losing
B,2020-10-30,2020,-41.625,losing
B,2020-11-04,2020,-171.75,losing
B,2020-11-05,2020,-204.75,losing
B,2020-11-09,2020,300.0,profitable
B,2020-11-10,2020,0.0,breakeven
B,2020-11-12,2020,0.0,breakeven
B,2020-11-19,2020,38.25,profitable
B,2020-11-25,2020,-4.68693038661695,losing
B,2020-11-26,2020,-25.5,losing
B,2020-12-07,2020,-23.25,losing
B,2020-12-10,2020,50.0625,profitable
B,2020-12-14,2020,-1.494744049046858,losing
B,2020-12-15,2020,0.0,breakeven
B,2020-12-17,2020,-11.25,losing
B,2020-12-18,2020,69.1875,profitable
B,2020-12-21,2020,109.03776165243471,profitable
B,2020-12-28,2020,0.0,breakeven
B,2020-12-29,2020,4.5,profitable
B,2023-01-06,2023,0.0,breakeven
B,2023-01-09,2023,-76.125,losing
B,2023-01-12,2023,77.625,profitable
B,2023-01-16,2023,56.8125,profitable
B,2023-01-18,2023,69.75,profitable
B,2023-01-19,2023,-62.25,losing
B,2023-01-23,2023,-58.125,losing
B,2023-01-25,2023,137.25,profitable
B,2023-01-26,2023,0.0,breakeven
B,2023-01-31,2023,55.6875,profitable
B,2023-02-06,2023,102.9375,profitable
B,2023-02-10,2023,-69.0,losing
B,2023-02-14,2023,58.5,profitable
B,2023-02-17,2023,0.0,breakeven
B,2023-02-21,2023,0.0,breakeven
B,2023-02-24,2023,46.6875,profitable
B,2023-03-02,2023,0.0,breakeven
B,2023-03-06,2023,-50.25,losing
B,2023-03-13,2023,0.0,breakeven
B,2023-03-14,2023,-26.994444007585116,losing
B,2023-03-15,2023,51.1875,profitable
B,2023-03-16,2023,0.0,breakeven
B,2023-03-21,2023,79.3125,profitable
B,2023-03-28,2023,-58.125,losing
B,2023-03-30,2023,-49.125,losing
B,2023-04-06,2023,126.0,profitable
B,2023-04-11,2023,60.75,profitable
B,2023-04-20,2023,43.431621385770995,profitable
B,2023-04-21,2023,0.0,breakeven
B,2023-05-01,2023,50.0625,profitable
B,2023-05-04,2023,88.3125,profitable
B,2023-05-10,2023,20.06491327007825,profitable
B,2023-05-11,2023,0.0,breakeven
B,2023-05-24,2023,-31.125,losing
B,2023-05-25,2023,105.75,profitable
B,2023-05-26,2023,0.0,breakeven
B,2023-05-30,2023,0.0,breakeven
B,2023-06-02,2023,0.0,breakeven
B,2023-06-12,2023,-36.375,losing
B,2023-06-20,2023,0.0,breakeven
B,2023-06-22,2023,0.0,breakeven
B,2023-06-30,2023,-46.578041068776656,losing
B,2023-07-03,2023,41.0625,profitable
B,2023-07-06,2023,-33.75,losing
B,2023-07-12,2023,-46.91573512956529,losing
B,2023-07-13,2023,0.0,breakeven
B,2023-07-27,2023,44.625,profitable
B,2023-08-02,2023,-96.375,losing
B,2023-08-03,2023,0.0,breakeven
B,2023-08-11,2023,-42.0,losing
B,2023-08-17,2023,0.0,breakeven
B,2023-08-21,2023,-120.75,losing
B,2023-08-22,2023,-56.25,losing
B,2023-08-31,2023,-9.436731613319353,losing
B,2023-09-01,2023,52.3125,profitable
B,2023-09-05,2023,0.0,breakeven
B,2023-09-07,2023,-56.625,losing
B,2023-09-08,2023,0.0,breakeven
B,2023-09-11,2023,73.6875,profitable
B,2023-09-13,2023,112.5,profitable
B,2023-09-19,2023,-68.625,losing
B,2023-09-21,2023,-86.625,losing
B,2023-09-25,2023,72.0,profitable
B,2023-09-29,2023,195.75,profitable
B,2023-10-04,2023,112.5,profitable
B,2023-10-12,2023,0.0,breakeven
B,2023-10-19,2023,66.375,profitable
B,2023-10-20,2023,0.0,breakeven
B,2023-10-23,2023,31.5,profitable
B,2023-10-26,2023,0.0,breakeven
B,2023-11-02,2023,0.0,breakeven
B,2023-11-03,2023,-141.85742291466522,losing
B,2023-11-07,2023,-50.625,losing
B,2023-11-14,2023,-29.625,losing
B,2023-11-15,2023,-36.0,losing
B,2023-11-20,2023,0.0,breakeven
B,2023-11-22,2023,60.1875,profitable
B,2023-11-27,2023,43.3125,profitable
B,2023-11-29,2023,-66.0,losing
B,2023-11-30,2023,-74.25,losing
B,2023-12-04,2023,-97.5,losing
B,2023-12-06,2023,151.61085902696504,profitable
B,2023-12-11,2023,0.0,breakeven
B,2023-12-12,2023,0.0,breakeven
B,2023-12-19,2023,0.0,breakeven
B,2023-12-28,2023,34.875,profitable
B,2026-01-13,2026,68.625,profitable
B,2026-01-14,2026,-109.5,losing
B,2026-01-19,2026,-49.875,losing
B,2026-01-20,2026,-95.625,losing
B,2026-01-27,2026,0.0,breakeven
B,2026-01-28,2026,-97.875,losing
B,2026-01-29,2026,-79.5,losing
B,2026-02-02,2026,-138.75,losing
B,2026-02-09,2026,300.0,profitable
B,2026-02-13,2026,0.0,breakeven
B,2026-02-25,2026,-120.56689536332124,losing
B,2026-02-27,2026,0.0,breakeven
B,2026-03-02,2026,219.375,profitable
B,2026-03-03,2026,300.0,profitable
B,2026-03-05,2026,114.1875,profitable
B,2026-03-09,2026,300.0,profitable
B,2026-03-10,2026,0.0,breakeven
B,2026-03-12,2026,-38.99668235829449,losing
B,2026-03-17,2026,93.1980530150613,profitable
B,2026-03-18,2026,-27.0,losing
B,2026-03-19,2026,-97.875,losing
B,2026-03-26,2026,0.0,breakeven
B,2026-03-31,2026,177.1875,profitable
B,2026-04-01,2026,0.0,breakeven
B,2026-04-02,2026,147.9375,profitable
B,2026-04-06,2026,126.5625,profitable
B,2026-04-08,2026,-200.0,losing
B,2026-04-10,2026,-67.5,losing
B,2026-04-14,2026,0.0,breakeven
B,2026-04-15,2026,0.0,breakeven
B,2026-04-17,2026,0.0,breakeven
B,2026-04-24,2026,-127.125,losing
B,2026-04-27,2026,189.0,profitable
B,2026-04-28,2026,0.0,breakeven
B,2026-04-30,2026,300.0,profitable
B,2026-05-01,2026,-118.125,losing
B,2026-05-11,2026,0.0,breakeven
B,2026-05-14,2026,131.0625,profitable
B,2026-05-18,2026,300.0,profitable
B,2026-05-19,2026,240.1875,profitable
B,2026-05-21,2026,126.5625,profitable
B,2026-05-22,2026,132.1875,profitable
B,2026-05-25,2026,0.7464419442112558,profitable
B,2026-05-27,2026,84.5625,profitable
B,2026-05-29,2026,121.5,profitable
B,2026-06-04,2026,0.0,breakeven
B,2026-06-05,2026,-172.5,losing
C,2018-01-03,2018,0.0,breakeven
C,2018-01-04,2018,9.0,profitable
C,2018-01-09,2018,8.625,profitable
C,2018-01-10,2018,10.5,profitable
C,2018-01-12,2018,0.0,breakeven
C,2018-01-16,2018,-16.5,losing
C,2018-01-30,2018,8.25,profitable
C,2018-02-02,2018,-49.125,losing
C,2018-02-14,2018,12.0,profitable
C,2018-02-20,2018,0.0,breakeven
C,2018-03-02,2018,0.0,breakeven
C,2018-03-08,2018,-16.5,losing
C,2018-03-09,2018,31.125,profitable
C,2018-03-15,2018,67.875,profitable
C,2018-03-19,2018,-3.75,losing
C,2018-03-22,2018,0.0,breakeven
C,2018-03-27,2018,-24.375,losing
C,2018-04-10,2018,0.0,breakeven
C,2018-04-17,2018,12.75,profitable
C,2018-04-20,2018,21.375,profitable
C,2018-04-27,2018,22.875,profitable
C,2018-05-07,2018,12.75,profitable
