candidate,session_date,year,net_pnl,classification
A,2018-01-03,2018,0.0,breakeven
A,2018-01-04,2018,9.0,profitable
A,2018-01-09,2018,8.625,profitable
A,2018-01-10,2018,10.5,profitable
A,2018-01-12,2018,0.0,breakeven
A,2018-01-16,2018,-16.5,losing
A,2018-01-30,2018,8.25,profitable
A,2018-02-02,2018,-49.125,losing
A,2018-02-12,2018,49.875,profitable
A,2018-02-14,2018,12.0,profitable
A,2018-02-20,2018,0.0,breakeven
A,2018-03-02,2018,45.375,profitable
A,2018-03-08,2018,-16.5,losing
A,2018-03-09,2018,31.125,profitable
A,2018-03-13,2018,51.0,profitable
A,2018-03-15,2018,67.875,profitable
A,2018-03-19,2018,-3.75,losing
A,2018-03-22,2018,0.0,breakeven
A,2018-03-27,2018,-24.375,losing
A,2018-04-10,2018,0.0,breakeven
A,2018-04-12,2018,17.625,profitable
A,2018-04-17,2018,12.75,profitable
A,2018-04-20,2018,21.375,profitable
A,2018-04-27,2018,22.875,profitable
A,2018-05-07,2018,12.75,profitable
A,2018-05-15,2018,-31.5,losing
A,2018-05-23,2018,9.0,profitable
A,2018-05-24,2018,0.0,breakeven
A,2018-05-25,2018,0.0,breakeven
A,2018-05-29,2018,63.0,profitable
A,2018-06-01,2018,-32.625,losing
A,2018-06-04,2018,-23.25,losing
A,2018-06-05,2018,-24.0,losing
A,2018-06-07,2018,4.875,profitable
A,2018-06-08,2018,0.0,breakeven
A,2018-06-11,2018,16.5,profitable
A,2018-06-13,2018,0.0,breakeven
A,2018-06-18,2018,22.5,profitable
A,2018-06-19,2018,-19.875,losing
A,2018-06-20,2018,6.0,profitable
A,2018-06-21,2018,-14.625,losing
A,2018-06-25,2018,-30.375,losing
A,2018-06-29,2018,-27.75,losing
A,2018-07-02,2018,36.375,profitable
A,2018-07-03,2018,21.0,profitable
A,2018-07-06,2018,0.0,breakeven
A,2018-07-09,2018,-12.375,losing
A,2018-07-10,2018,10.5,profitable
A,2018-07-13,2018,8.625,profitable
A,2018-07-23,2018,-27.75,losing
A,2018-07-24,2018,39.375,profitable
A,2018-07-30,2018,0.0,breakeven
A,2018-08-07,2018,7.5,profitable
A,2018-08-10,2018,0.0,breakeven
A,2018-08-17,2018,0.0,breakeven
A,2018-08-22,2018,27.75,profitable
A,2018-08-23,2018,0.0,breakeven
A,2018-08-27,2018,12.375,profitable
A,2018-08-29,2018,0.0,breakeven
A,2018-09-04,2018,-14.25,losing
A,2018-09-07,2018,60.375,profitable
A,2018-09-12,2018,-10.5,losing
A,2018-09-13,2018,-30.75,losing
A,2018-09-14,2018,15.75,profitable
A,2018-09-17,2018,-13.125,losing
A,2018-09-20,2018,-22.454907435795576,losing
A,2018-09-21,2018,13.125,profitable
A,2018-09-24,2018,-13.875,losing
A,2018-10-01,2018,-12.0,losing
A,2018-10-02,2018,22.875,profitable
A,2018-10-04,2018,-52.875,losing
A,2018-10-10,2018,-35.25,losing
A,2018-10-23,2018,57.0,profitable
A,2018-10-26,2018,55.875,profitable
A,2018-10-31,2018,0.0,breakeven
A,2018-11-02,2018,95.625,profitable
A,2018-11-05,2018,-26.625,losing
A,2018-11-07,2018,-33.0,losing
A,2018-11-09,2018,0.0,breakeven
A,2018-11-12,2018,-62.625,losing
A,2018-11-13,2018,32.625,profitable
A,2018-11-20,2018,-81.375,losing
A,2018-11-21,2018,37.5,profitable
A,2018-11-23,2018,26.25,profitable
A,2018-11-26,2018,-36.375,losing
A,2018-11-28,2018,10.5,profitable
A,2018-12-11,2018,-44.25,losing
A,2018-12-14,2018,0.0,breakeven
A,2018-12-17,2018,42.75,profitable
A,2018-12-28,2018,27.0,profitable
A,2020-01-03,2020,50.25,profitable
A,2020-01-07,2020,0.0,breakeven
A,2020-01-08,2020,180.375,profitable
A,2020-01-17,2020,26.625,profitable
A,2020-01-21,2020,0.0,breakeven
A,2020-01-22,2020,-6.0,losing
A,2020-01-23,2020,26.625,profitable
A,2020-01-24,2020,-10.5,losing
A,2020-01-27,2020,-17.94615645900194,losing
