candidate,year,n,net_pts,PF_pts,avg_pts_per_trade,total_cap_norm_R,avg_cap_norm_R,max_dd_pts,max_dd_R,win_rate,avg_winner_pts,avg_loser_pts,payoff_ratio,hold_min_median,hold_min_mean,hold_min_p25,hold_min_p75,exit_TP,exit_SL,exit_cutoff,trades_per_year_overall,exit_BE
BE45,2026,73,2740.36,2.9494,37.539,20.6904,0.2834,-355.12,-4.0,0.5068,112.056,-82.689,1.355,64.0,162.7,46.0,263.0,33,12,9,126.75,19.0
BE45,ALL,507,4039.77,1.4533,7.968,39.3803,0.0777,-721.54,-10.4387,0.3886,65.748,-52.737,1.247,80.0,151.8,47.0,243.0,180,135,51,126.75,141.0
BE45,ALL_ex2026,434,1299.41,1.1731,2.994,18.6899,0.0431,-721.54,-10.4387,0.3687,55.039,-49.387,1.114,82.0,150.0,47.0,241.0,147,123,42,126.75,122.0
BE45,ALL_ex_best_year(2020),351,3068.77,1.5303,8.743,41.8869,0.1193,-702.32,-6.7493,0.4188,60.241,-51.667,1.166,82.0,148.5,46.0,247.0,132,87,40,126.75,92.0
BE60,2018,140,103.61,1.0709,0.74,9.2009,0.0657,-317.36,-6.7493,0.3857,28.985,-30.449,0.952,87.5,154.9,58.2,238.0,52,40,10,125.0,38.0
BE60,2020,150,1301.84,1.3819,8.679,0.4335,0.0029,-563.16,-10.4987,0.38,82.64,-56.81,1.455,109.0,184.0,62.0,251.8,53,51,13,125.0,33.0
BE60,2023,137,99.04,1.0321,0.723,8.9167,0.0651,-793.77,-7.0448,0.4015,57.921,-60.521,0.957,83.0,141.5,56.0,247.0,48,38,20,125.0,31.0
BE60,2026,73,2867.86,2.7313,39.286,21.143,0.2896,-423.81,-5.1053,0.5342,116.009,-82.824,1.401,113.0,176.0,57.0,264.0,35,14,10,125.0,14.0
BE60,ALL,500,4372.34,1.4548,8.745,39.6941,0.0794,-793.77,-10.4987,0.41,68.222,-53.705,1.27,91.0,163.0,60.0,249.0,188,143,53,125.0,116.0
BE60,ALL_ex2026,427,1504.48,1.1891,3.523,18.5511,0.0434,-793.77,-10.4987,0.3888,56.996,-50.043,1.139,90.0,160.8,61.0,247.0,153,129,43,125.0,102.0
BE60,ALL_ex_best_year(2020),350,3070.5,1.4949,8.773,39.2606,0.1122,-793.77,-7.0448,0.4229,62.67,-52.14,1.202,87.5,154.0,56.2,247.0,135,92,40,125.0,83.0
BE75,2018,137,-113.87,0.9359,-0.831,9.8392,0.0718,-512.44,-8.4044,0.4453,27.27,-33.534,0.813,119.0,170.5,60.0,259.0,57,44,13,123.5,23.0
BE75,2020,149,237.81,1.0619,1.596,-8.6832,-0.0583,-871.27,-16.6623,0.349,78.498,-59.14,1.327,120.0,186.9,67.0,255.0,49,55,13,123.5,32.0
BE75,2023,136,30.31,1.0095,0.223,11.3777,0.0837,-932.6,-6.5702,0.4338,54.851,-61.651,0.89,101.0,151.7,55.2,250.8,51,38,22,123.5,25.0
BE75,2026,72,2222.73,2.2164,30.871,16.1436,0.2242,-423.81,-5.1053,0.4722,119.118,-87.013,1.369,91.0,168.1,56.0,264.0,31,15,9,123.5,17.0
