candidate,year,n_trades,net_pts,PF_pts,PF_R,avg_pts_per_trade,cap_norm_R_total,cap_norm_R_avg,max_dd_pts,max_dd_R,win_rate,avg_winner_pts,avg_loser_pts,payoff_ratio,n_TP,n_SL,n_BE,n_cutoff,trades_per_year,hold_median_min,hold_mean_min,hold_p25_min,hold_p75_min,pct_pooled_profit
laneA_none_rr075,2018,107.0,19.05,1.0161,1.1333,0.178,5.5689,0.052,-310.59,-8.6963,0.5981,18.779,-27.507,0.683,63.0,41.0,0.0,3.0,107.0,100.0,181.8,22.5,265.5,
laneA_none_rr075,2020,127.0,830.49,1.272,0.9953,6.539,-0.2479,-0.002,-624.75,-11.6347,0.5591,54.705,-54.527,1.003,69.0,50.0,0.0,8.0,127.0,127.0,210.6,55.0,327.5,
laneA_none_rr075,2023,97.0,810.71,1.4689,1.6792,8.358,19.4564,0.2006,-318.95,-3.6505,0.6804,38.482,-55.778,0.69,64.0,27.0,0.0,6.0,97.0,77.0,145.8,22.0,196.0,
laneA_none_rr075,2026,55.0,2052.64,2.3917,2.1163,37.321,15.8243,0.2877,-416.91,-5.25,0.7273,88.188,-98.326,0.897,40.0,14.0,0.0,1.0,55.0,101.0,161.9,38.0,262.5,
laneA_none_rr075,ALL,386.0,3712.89,1.499,1.2963,9.619,40.6017,0.1052,-624.75,-12.3016,0.6244,46.279,-51.313,0.902,236.0,132.0,0.0,18.0,96.5,96.0,179.4,30.2,266.0,
laneA_none_rr075,ALL_ex2026,331.0,1660.25,1.2783,1.2017,5.016,24.7774,0.0749,-624.75,-12.3016,0.6073,37.939,-45.888,0.827,196.0,118.0,0.0,17.0,110.33,95.0,182.3,28.0,265.5,
laneA_none_rr075,ALL_ex_best_year(2026),331.0,1660.25,1.2783,1.2017,5.016,24.7774,0.0749,-624.75,-12.3016,0.6073,37.939,-45.888,0.827,196.0,118.0,0.0,17.0,110.33,95.0,182.3,28.0,265.5,
laneA_none_rr075,pct_pooled_profit_2018,,19.05,,,,,,,,,,,,,,,,,,,,,0.51
laneA_none_rr075,pct_pooled_profit_2020,,830.49,,,,,,,,,,,,,,,,,,,,,22.37
laneA_none_rr075,pct_pooled_profit_2023,,810.71,,,,,,,,,,,,,,,,,,,,,21.84
laneA_none_rr075,pct_pooled_profit_2026,,2052.64,,,,,,,,,,,,,,,,,,,,,55.28
laneB_be60_rr075,2018,112.0,144.98,1.1783,1.1469,1.294,4.8037,0.0429,-152.02,-6.6963,0.4464,19.159,-24.635,0.778,50.0,32.0,29.0,1.0,112.0,67.5,127.3,21.8,159.2,
laneB_be60_rr075,2020,132.0,799.42,1.3095,0.9426,6.056,-2.6754,-0.0203,-618.04,-13.6552,0.447,57.33,-52.715,1.088,58.0,45.0,24.0,5.0,132.0,80.0,157.2,54.8,200.8,
laneB_be60_rr075,2023,100.0,485.03,1.3101,1.5747,4.85,14.5084,0.1451,-334.7,-3.9982,0.54,37.944,-57.923,0.655,53.0,24.0,19.0,4.0,100.0,64.0,106.9,23.5,117.5,
laneB_be60_rr075,2026,57.0,2078.51,2.8329,2.2175,36.465,14.8243,0.2601,-416.91,-5.25,0.6316,89.237,-87.232,1.023,36.0,12.0,8.0,1.0,57.0,71.0,136.3,36.0,215.0,
laneB_be60_rr075,ALL,401.0,3507.95,1.5756,1.2695,8.748,31.461,0.0785,-618.04,-13.6552,0.4963,48.251,-49.95,0.966,197.0,113.0,80.0,11.0,100.25,71.0,133.3,28.0,178.0,
laneB_be60_rr075,ALL_ex2026,344.0,1429.44,1.2882,1.1591,4.155,16.6367,0.0484,-618.04,-13.6552,0.4738,39.199,-45.504,0.861,161.0,101.0,72.0,10.0,114.67,71.0,132.8,28.0,168.5,
laneB_be60_rr075,ALL_ex_best_year(2026),344.0,1429.44,1.2882,1.1591,4.155,16.6367,0.0484,-618.04,-13.6552,0.4738,39.199,-45.504,0.861,161.0,101.0,72.0,10.0,114.67,71.0,132.8,28.0,168.5,
laneB_be60_rr075,pct_pooled_profit_2018,,144.98,,,,,,,,,,,,,,,,,,,,,4.13
laneB_be60_rr075,pct_pooled_profit_2020,,799.42,,,,,,,,,,,,,,,,,,,,,22.79
laneB_be60_rr075,pct_pooled_profit_2023,,485.03,,,,,,,,,,,,,,,,,,,,,13.83
laneB_be60_rr075,pct_pooled_profit_2026,,2078.51,,,,,,,,,,,,,,,,,,,,,59.25
laneA_none_rr100,2018,107.0,95.92,1.0714,1.1951,0.896,9.3189,0.0871,-358.45,-9.6963,0.5421,24.821,-27.422,0.905,57.0,47.0,0.0,3.0,107.0,131.0,212.4,46.0,303.5,
laneA_none_rr100,2020,125.0,1146.75,1.3463,1.1153,9.174,6.3765,0.051,-621.14,-7.8228,0.52,68.586,-55.189,1.243,59.0,52.0,0.0,14.0,125.0,162.0,262.2,68.0,374.0,
