candidate,year,n,net_pts,PF,avg_pts_per_trade,median_pts_per_trade,avg_winner_pts,avg_loser_pts,payoff_ratio,max_drawdown,avg_cap_norm_pnl,pct_of_pooled_net_pts
exr_100,2018,133,-174.93,0.9157,-1.315,7.5,27.537,-32.422,0.849,-702.77,0.0579,-4.09
exr_100,2020,143,980.49,1.2336,6.857,1.72,71.915,-59.118,1.216,-538.52,0.0291,22.92
exr_100,2023,131,610.74,1.1776,4.662,22.875,57.024,-57.3,0.995,-552.88,0.1273,14.28
exr_100,2026,70,2861.54,2.2537,40.879,71.812,116.908,-87.785,1.332,-423.81,0.2841,66.89
exr_100,ALL,477,4277.83,1.3567,8.968,9.375,63.557,-54.266,1.171,-702.77,0.1015,
exr_100,ALL_ex2026,407,1416.29,1.1459,3.48,7.875,52.484,-49.797,1.054,-702.77,0.0701,
exr_125,2018,133,-174.93,0.9157,-1.315,7.5,27.537,-32.422,0.849,-702.77,0.0579,-4.09
exr_125,2020,143,980.49,1.2336,6.857,1.72,71.915,-59.118,1.216,-538.52,0.0291,22.92
exr_125,2023,131,610.74,1.1776,4.662,22.875,57.024,-57.3,0.995,-552.88,0.1273,14.28
exr_125,2026,70,2861.54,2.2537,40.879,71.812,116.908,-87.785,1.332,-423.81,0.2841,66.89
exr_125,ALL,477,4277.83,1.3567,8.968,9.375,63.557,-54.266,1.171,-702.77,0.1015,
exr_125,ALL_ex2026,407,1416.29,1.1459,3.48,7.875,52.484,-49.797,1.054,-702.77,0.0701,
lock_075_010,2018,134,-130.52,0.9337,-0.974,2.231,24.514,-33.374,0.735,-661.62,0.0595,-3.9
lock_075_010,2020,145,390.52,1.0994,2.693,2.663,54.677,-59.53,0.918,-872.36,-0.0516,11.67
lock_075_010,2023,134,639.94,1.2014,4.776,5.381,47.125,-59.946,0.786,-651.82,0.1467,19.13
lock_075_010,2026,71,2445.89,2.2352,34.449,45.75,92.211,-86.097,1.071,-372.38,0.2636,73.1
lock_075_010,ALL,484,3345.83,1.3026,6.913,4.894,50.888,-55.002,0.925,-872.36,0.0803,
lock_075_010,ALL_ex2026,413,899.94,1.0992,2.179,3.225,42.447,-50.984,0.833,-872.36,0.0488,
lock_100_010,2018,133,-174.93,0.9157,-1.315,7.5,27.537,-32.422,0.849,-702.77,0.0579,-4.09
lock_100_010,2020,143,980.49,1.2336,6.857,1.72,71.915,-59.118,1.216,-538.52,0.0291,22.92
lock_100_010,2023,131,610.74,1.1776,4.662,22.875,57.024,-57.3,0.995,-552.88,0.1273,14.28
lock_100_010,2026,70,2861.54,2.2537,40.879,71.812,116.908,-87.785,1.332,-423.81,0.2841,66.89
lock_100_010,ALL,477,4277.83,1.3567,8.968,9.375,63.557,-54.266,1.171,-702.77,0.1015,
lock_100_010,ALL_ex2026,407,1416.29,1.1459,3.48,7.875,52.484,-49.797,1.054,-702.77,0.0701,
lock_125_010,2018,133,-174.93,0.9157,-1.315,7.5,27.537,-32.422,0.849,-702.77,0.0579,-4.09
lock_125_010,2020,143,980.49,1.2336,6.857,1.72,71.915,-59.118,1.216,-538.52,0.0291,22.92
lock_125_010,2023,131,610.74,1.1776,4.662,22.875,57.024,-57.3,0.995,-552.88,0.1273,14.28
lock_125_010,2026,70,2861.54,2.2537,40.879,71.812,116.908,-87.785,1.332,-423.81,0.2841,66.89
lock_125_010,ALL,477,4277.83,1.3567,8.968,9.375,63.557,-54.266,1.171,-702.77,0.1015,
lock_125_010,ALL_ex2026,407,1416.29,1.1459,3.48,7.875,52.484,-49.797,1.054,-702.77,0.0701,
time_30,2018,138,-202.84,0.8854,-1.47,0.0,28.505,-34.051,0.837,-530.51,0.043,-4.51
time_30,2020,149,949.2,1.2518,6.37,0.0,76.101,-60.791,1.252,-661.54,0.0198,21.12
time_30,2023,137,975.5,1.3457,7.12,0.0,62.252,-62.709,0.993,-459.49,0.1324,21.7
time_30,2026,73,2772.92,2.5776,37.985,45.75,119.227,-87.886,1.357,-372.38,0.2782,61.69
time_30,ALL,497,4494.77,1.4442,9.044,0.0,67.658,-56.532,1.197,-661.54,0.0952,
time_30,ALL_ex2026,424,1721.85,1.2059,4.061,0.0,56.649,-52.589,1.077,-661.54,0.0637,
time_45,2018,138,-21.88,0.9871,-0.159,0.0,29.407,-33.295,0.883,-523.18,0.063,-0.5
time_45,2020,152,939.51,1.2663,6.181,0.0,75.722,-57.837,1.309,-738.04,0.0086,21.32
time_45,2023,136,500.54,1.166,3.68,0.0,60.631,-59.138,1.025,-532.74,0.0826,11.36
time_45,2026,73,2988.42,2.85,40.937,49.875,115.096,-80.77,1.425,-285.06,0.2957,67.82
time_45,ALL,499,4406.59,1.447,8.831,0.0,66.655,-53.866,1.237,-738.04,0.0858,
time_45,ALL_ex2026,426,1418.17,1.1721,3.329,0.0,55.519,-50.565,1.098,-738.04,0.0498,
time_60,2018,138,-86.52,0.9504,-0.627,0.0,28.589,-33.552,0.852,-536.44,0.0667,-2.07
time_60,2020,148,1270.35,1.3413,8.583,0.0,78.004,-59.078,1.32,-538.04,0.0219,30.45
time_60,2023,136,203.57,1.0647,1.497,0.0,58.744,-59.336,0.99,-758.61,0.0748,4.88
time_60,2026,73,2784.61,2.5492,38.145,49.875,114.552,-85.594,1.338,-423.81,0.2896,66.74
time_60,ALL,495,4172.01,1.4008,8.428,0.0,66.58,-55.074,1.209,-758.61,0.0884,
time_60,ALL_ex2026,422,1387.4,1.1611,3.288,0.0,55.859,-51.259,1.09,-758.61,0.0536,
time_75,2018,136,-137.5,0.9243,-1.011,0.0,27.096,-33.656,0.805,-553.69,0.0723,-4.56
time_75,2020,148,601.01,1.1523,4.061,0.0,77.088,-59.806,1.289,-683.77,-0.0313,19.94
time_75,2023,135,29.85,1.0089,0.221,0.0,55.462,-62.099,0.893,-986.69,0.0936,0.99
time_75,2026,72,2521.35,2.3798,35.019,0.373,120.795,-87.013,1.388,-423.81,0.252,83.63
time_75,ALL,491,3014.72,1.2754,6.14,0.0,64.037,-56.13,1.141,-986.69,0.0733,
time_75,ALL_ex2026,419,493.36,1.0541,1.177,0.0,52.81,-52.402,1.008,-986.69,0.0426,
scratch_050,2018,137,172.58,1.1229,1.26,0.0,29.191,-32.645,0.894,-603.39,0.0854,6.12
scratch_050,2020,147,561.15,1.1682,3.817,0.0,72.174,-64.158,1.125,-506.01,0.0223,19.89
scratch_050,2023,133,238.19,1.0837,1.791,0.0,57.113,-63.243,0.903,-543.27,0.0832,8.44
scratch_050,2026,70,1849.2,2.1364,26.417,0.0,108.639,-116.233,0.935,-372.38,0.2417,65.55
scratch_050,ALL,487,2821.11,1.3062,5.793,0.0,62.032,-59.826,1.037,-603.39,0.0882,
scratch_050,ALL_ex2026,417,971.92,1.1281,2.331,0.0,52.826,-54.185,0.975,-603.39,0.0625,
scratch_075,2018,135,-43.72,0.9761,-0.324,0.0,28.741,-32.601,0.882,-612.44,0.0599,-1.1
scratch_075,2020,143,998.38,1.2654,6.982,0.0,74.374,-61.665,1.206,-532.27,0.047,25.01
scratch_075,2023,131,421.7,1.1336,3.219,0.0,58.674,-58.471,1.003,-473.9,0.0877,10.56
scratch_075,2026,70,2615.79,2.3341,37.368,53.25,114.411,-89.121,1.284,-372.38,0.2841,65.52
scratch_075,ALL,479,3992.15,1.3729,8.334,0.0,64.746,-55.468,1.167,-612.44,0.0964,
scratch_075,ALL_ex2026,409,1376.36,1.1574,3.365,0.0,54.123,-51.138,1.058,-612.44,0.0643,
