candidate,year,n_trades,net_pts,PF_pts,PF_R,cap_norm_R_total,avg_R_per_trade,win_rate,avg_winner_pts,avg_loser_pts,payoff_ratio,max_dd_pts,max_dd_R,n_TP,n_SL,n_BE,n_cutoff,hold_mean_min,hold_median_min,trades_per_year,profitable_days,losing_days,breakeven_days,avg_daily_pnl,median_daily_pnl,longest_run_no_profitable_day
A,2018,113,319.92,1.3565,1.4245,14.3037,0.1266,0.4248,25.359,-26.392,0.961,-177.38,-5.6963,48,33,31,1,141.8,79.0,113.0,42,30,18,3.555,0.0,4
A,2020,137,1345.31,1.5744,1.0166,0.7581,0.0055,0.3431,78.452,-48.79,1.608,-721.54,-8.0,45,44,42,6,161.0,71.0,137.0,43,41,21,12.812,0.0,7
A,2023,100,494.53,1.2872,1.3316,9.7365,0.0974,0.41,54.059,-53.808,1.005,-378.11,-3.7536,39,28,27,6,126.7,61.5,100.0,38,27,21,5.75,0.0,7
A,2026,57,2533.0,3.2937,2.6596,19.6536,0.3448,0.5789,110.222,-92.026,1.198,-355.12,-4.0,31,11,12,3,163.0,61.0,57.0,31,9,7,53.894,84.375,3
A,completed_2018_2020_2023,350,2159.76,1.4353,1.2282,24.7984,0.0709,0.3886,52.359,-43.519,1.203,-721.54,-8.0,132,105,100,13,145.0,71.5,116.67,123,98,60,7.686,0.0,7
A,ALL_build_years_incl_2026,407,4692.76,1.7737,1.3689,44.452,0.1092,0.4152,63.658,-48.138,1.322,-721.54,-8.0,163,116,112,16,147.5,71.0,116.29,154,107,67,14.307,0.0,7
B,2018,113,620.93,1.6764,1.5656,20.1915,0.1787,0.3363,40.497,-25.499,1.588,-154.69,-5.0,37,35,39,2,167.0,88.0,113.0,37,31,22,6.899,0.0,7
B,2020,137,1401.01,1.5454,1.0569,2.7241,0.0199,0.2701,107.292,-49.4,2.172,-713.25,-8.5015,30,46,48,13,193.2,81.0,137.0,35,46,24,13.343,0.0,10
B,2023,99,645.14,1.3628,1.4879,14.3272,0.1447,0.3232,75.727,-55.566,1.363,-407.06,-5.6204,28,28,35,8,165.9,75.0,99.0,31,28,27,7.502,0.0,7
B,2026,55,1932.07,2.2112,1.5926,10.2309,0.186,0.3636,176.363,-88.622,1.99,-571.12,-7.3423,18,16,17,4,207.7,103.0,55.0,20,15,12,41.108,0.0,7
B,completed_2018_2020_2023,349,2667.08,1.5066,1.3299,37.2428,0.1067,0.3066,74.13,-43.874,1.69,-713.25,-8.5015,95,109,122,23,176.9,82.0,116.33,103,105,73,9.491,0.0,10
B,ALL_build_years_incl_2026,404,4599.14,1.6704,1.3647,47.4737,0.1175,0.3144,90.23,-49.711,1.815,-713.25,-8.5015,113,125,139,27,181.1,86.5,115.43,123,120,85,14.022,0.0,10
C,2018,87,238.12,1.3927,1.5217,12.0,0.1379,0.4023,24.129,-26.364,0.915,-129.0,-5.0,35,23,29,0,171.1,99.0,87.0,32,21,20,3.262,0.0,4
C,2020,115,1029.59,1.5417,1.0496,1.7793,0.0155,0.3304,77.107,-51.364,1.501,-619.16,-7.0,37,35,40,3,176.8,82.0,115.0,35,33,23,11.314,0.0,8
C,2023,78,316.88,1.2759,1.3101,6.865,0.088,0.3718,50.534,-49.94,1.012,-289.12,-4.0,29,22,26,1,130.2,63.0,78.0,28,20,23,4.463,0.0,7
C,2026,47,2439.25,4.5812,3.3761,19.0086,0.4044,0.5957,111.442,-85.141,1.309,-275.62,-3.0,27,8,11,1,179.9,71.0,47.0,26,6,8,60.981,80.25,2
C,completed_2018_2020_2023,280,1584.59,1.4335,1.2549,20.6444,0.0737,0.3643,51.373,-44.042,1.166,-619.16,-7.0,101,80,95,4,162.1,83.5,93.33,95,74,66,6.743,0.0,8
C,ALL_build_years_incl_2026,327,4023.84,1.9279,1.4455,39.653,0.1213,0.3976,64.311,-47.655,1.35,-619.16,-7.0,128,88,106,5,164.6,81.0,93.43,121,80,74,14.632,0.0,8
D,2018,87,408.45,1.6645,1.6412,15.3878,0.1769,0.3103,37.892,-25.609,1.48,-123.19,-5.5,26,24,36,1,200.1,120.0,87.0,27,21,25,5.595,0.0,6
D,2020,115,1026.05,1.4823,1.0859,3.2726,0.0285,0.2609,105.114,-51.887,2.026,-697.16,-7.7581,25,37,44,9,212.6,106.0,115.0,28,38,25,11.275,0.0,10
D,2023,78,315.24,1.2532,1.3655,8.4556,0.1084,0.2821,70.92,-51.875,1.367,-438.19,-7.0,20,23,32,3,169.7,74.0,78.0,22,21,28,4.44,0.0,11
D,2026,45,2289.06,3.2365,2.1257,13.5086,0.3002,0.4,184.031,-85.292,2.158,-394.62,-5.0,17,12,15,1,226.5,110.0,45.0,18,10,12,57.226,0.0,6
D,completed_2018_2020_2023,280,1749.73,1.4389,1.3181,27.1161,0.0968,0.2821,72.617,-44.798,1.621,-697.16,-7.7581,71,84,112,13,196.8,103.5,93.33,77,80,78,7.446,0.0,11
D,ALL_build_years_incl_2026,325,4038.79,1.8061,1.4178,40.6247,0.125,0.2985,93.291,-49.609,1.881,-697.16,-7.7581,88,96,127,14,200.9,104.0,92.86,95,90,90,14.687,0.0,11
