candidate,n_states,window,seed,n,net_pts,PF,win_rate,avg_trade,max_drawdown,PF_ex2026,net_pts_ex2026,n_ex2026
hmm2_LOW_only_p55,2,120,42,236,1015.62,1.3105,0.4025,4.303,-701.85,1.1318,353.88,207
hmm2_LOW_only_p65,2,120,42,235,962.0,1.2941,0.4,4.094,-701.85,1.1118,300.25,206
hmm2_HIGH_only_p55,2,120,42,290,3477.69,1.525,0.4276,11.992,-732.94,1.22,1221.71,245
hmm2_HIGH_only_p65,2,120,42,288,3390.32,1.5118,0.4271,11.772,-732.94,1.22,1221.71,244
hmm2_no_gate,2,120,42,500,4372.34,1.4548,0.41,8.745,-793.77,1.1891,1504.48,427
hmm3_LOW_only_p55,3,120,42,121,848.36,1.6001,0.4545,7.011,-430.61,1.5016,602.24,112
hmm3_LOW_only_p65,3,120,42,75,329.99,1.3908,0.4933,4.4,-420.49,1.1741,126.99,69
hmm3_exclude_LOW_p55,3,120,42,376,3446.02,1.4224,0.3963,9.165,-818.11,1.1679,1121.04,314
hmm3_exclude_LOW_p65,3,120,42,353,3618.89,1.4769,0.4051,10.252,-747.19,1.1986,1247.41,296
hmm3_MID_only_p55,3,120,42,119,685.87,1.37,0.3529,5.764,-401.33,1.0599,80.87,97
hmm3_MID_only_p65,3,120,42,92,705.68,1.5362,0.3696,7.67,-310.5,1.1936,190.68,75
hmm3_exclude_MID_p55,3,120,42,386,4430.61,1.5806,0.443,11.478,-593.29,1.3029,1951.0,334
hmm3_exclude_MID_p65,3,120,42,339,4019.11,1.5682,0.4513,11.856,-655.0,1.298,1782.63,291
hmm3_HIGH_only_p55,3,120,42,269,3433.69,1.5527,0.4424,12.765,-676.31,1.2674,1400.2,227
hmm3_HIGH_only_p65,3,120,42,267,3346.31,1.5386,0.4419,12.533,-676.31,1.2674,1400.2,226
hmm3_exclude_HIGH_p55,3,120,42,257,1663.38,1.4592,0.4047,6.472,-585.98,1.1752,515.51,223
hmm3_exclude_HIGH_p65,3,120,42,254,1402.76,1.3872,0.3976,5.523,-656.48,1.133,391.38,221
hmm3_no_gate,3,120,42,500,4372.34,1.4548,0.41,8.745,-793.77,1.1891,1504.48,427
