touched_at,session_date,side,entry_price,sign,sigma_day,vol_close_prior,ib_range_pts,level_distance_from_open_pts,side_direction,entry_hour_et,day_of_week,dist_prior_bar_close_pts,trailing_5session_avg_ib_range_pts,stop_distance_R_cap,anchor_pts_raw,contract_id,year,cutoff_ts,mae_pts,mfe_pts,mae_R,mfe_R,_vol_tercile,_tod_bucket
2023-06-05 03:52:00-04:00,2023-06-02,lower,1954.5703721732884,1.0,25.684378072512477,20.459999084472656,14.700000000000045,38.22962782671152,1.0,3.8666666666666667,0,1.1296278267116122,10.900000000000091,5.25,3.5,GCQ3,2023,2023-06-05 15:00:00-04:00,0.7703721732884787,24.829627826711658,0.1467375568168531,4.729452919373649,mid,pre-11:00
2023-06-05 08:40:00-04:00,2023-06-01,lower,1953.9967884276596,1.0,27.666534317761073,22.1200008392334,10.900000000000091,31.503211572340433,1.0,8.666666666666666,0,0.30321157234038765,10.900000000000091,9.149999999999864,6.099999999999909,GCQ3,2023,2023-06-05 15:00:00-04:00,0.19678842765961235,25.403211572340524,0.021506931984657408,2.7763072756656726,mid,pre-11:00
2023-06-14 20:51:00-04:00,2023-06-09,lower,1949.2581947685348,1.0,23.251962208114463,18.65999984741211,7.7999999999999545,28.84180523146506,1.0,20.85,2,2.1418052314652414,11.400000000000045,3.75,2.5,GCQ3,2023,2023-06-15 15:00:00-04:00,13.15819476853494,23.541805231465105,3.508851938275984,6.277814728390695,low,15:00-24:00
2023-06-14 21:14:00-04:00,2023-06-08,lower,1947.5688685465477,1.0,23.892534188534746,19.209999084472656,9.400000000000091,26.83113145345237,1.0,21.233333333333334,2,0.5311314534521898,11.700000000000045,14.400000000000205,9.600000000000136,GCQ3,2023,2023-06-15 15:00:00-04:00,11.46886854654781,25.231131453452235,0.7964492046213644,1.7521619064897136,low,15:00-24:00
2023-06-14 21:17:00-04:00,2023-06-06,lower,1947.3211745796373,1.0,24.21611458735056,19.420000076293945,10.600000000000136,32.17882542036273,1.0,21.283333333333335,2,0.47882542036268205,11.900000000000015,14.400000000000205,9.600000000000136,GCQ3,2023,2023-06-15 15:00:00-04:00,11.221174579637363,25.478825420362682,0.7792482346970281,1.76936287641405,mid,15:00-24:00
2023-06-14 21:32:00-04:00,2023-06-07,lower,1947.2312191805538,1.0,23.063892195049906,18.540000915527344,12.200000000000045,27.568780819446147,1.0,21.533333333333335,2,0.6687808194462832,11.575000000000045,14.400000000000205,9.600000000000136,GCQ3,2023,2023-06-15 15:00:00-04:00,11.131219180553899,25.568780819446147,0.7730013319828987,1.7756097791281793,low,15:00-24:00
2023-06-14 22:00:00-04:00,2023-06-14,lower,1944.200892337462,1.0,24.890334415802105,20.059999465942383,3.8999999999998636,25.49910766253811,1.0,22.0,2,0.9991076625381083,10.280000000000063,10.349999999999795,6.899999999999864,GCQ3,2023,2023-06-15 15:00:00-04:00,8.100892337462028,28.599107662538017,0.7826949118320955,2.7631988079747423,mid,15:00-24:00
2023-06-15 03:03:00-04:00,2023-06-12,lower,1940.9656830175184,1.0,23.461214111392874,18.88999938964844,9.600000000000136,30.63431698248155,1.0,3.05,3,0.3343169824815959,10.020000000000028,8.550000000000068,5.7000000000000455,GCQ3,2023,2023-06-15 15:00:00-04:00,4.86568301751845,31.834316982481596,0.569085733043089,3.7233119277755957,low,pre-11:00
2023-06-15 03:07:00-04:00,2023-06-13,lower,1940.3909216903385,1.0,25.44465033658879,20.459999084472656,12.400000000000091,33.80907830966157,1.0,3.1166666666666667,3,1.0090783096616178,9.920000000000073,8.550000000000068,5.7000000000000455,GCQ3,2023,2023-06-15 15:00:00-04:00,4.290921690338564,32.40907830966148,0.5018621860045064,3.790535474814178,mid,pre-11:00
2023-06-20 10:00:00-04:00,2023-06-16,lower,1942.085650342959,1.0,25.17864093156628,20.280000686645508,8.799999999999955,28.81434965704102,1.0,10.0,1,1.0143496570408388,9.480000000000018,21.899999999999864,14.599999999999909,GCQ3,2023,2023-06-20 15:00:00-04:00,1.2856503429591157,7.814349657041021,0.05870549511228876,0.3568196190429712,mid,pre-11:00
