sess_date,year,side,touched_at,level,anchor,cap,pnl,exit
2018-01-03,2018,upper,2018-01-03 03:21:00-05:00,6527.385270858703,4.25,6.375,6.375,TP
2018-01-09,2018,upper,2018-01-09 08:28:00-05:00,6701.613486663663,5.75,8.625,8.625,TP
2018-01-10,2018,lower,2018-01-10 10:02:00-05:00,6629.011513336337,35.5,53.25,32.988486663663025,cutoff
2018-01-12,2018,upper,2018-01-12 03:25:00-05:00,6741.522162842553,6.25,9.375,-0.0,BE
2018-01-10,2018,lower,2018-01-10 05:59:00-05:00,6644.602837157447,7.0,10.5,0.0,BE
2018-01-16,2018,upper,2018-01-16 04:51:00-05:00,6807.90194903661,9.0,13.5,-13.5,SL
2018-01-22,2018,upper,2018-01-22 10:11:00-05:00,6867.310312213671,23.75,35.625,-35.625,SL
2018-01-22,2018,upper,2018-01-22 10:09:00-05:00,6861.2634332827965,23.75,35.625,-35.625,SL
2018-01-24,2018,upper,2018-01-24 10:13:00-05:00,6996.916751578545,28.25,42.375,42.375,TP
2018-01-30,2018,lower,2018-01-30 09:30:00-05:00,6914.410110186849,23.25,34.875,34.875,TP
2018-01-30,2018,lower,2018-01-29 22:52:00-05:00,6959.073113519298,5.5,8.25,-8.25,SL
2018-02-02,2018,lower,2018-02-02 05:12:00-05:00,6860.856992597841,31.0,46.5,0.0,BE
2018-02-02,2018,lower,2018-02-02 06:35:00-05:00,6854.004469975516,17.25,25.875,25.875,TP
2018-02-26,2018,upper,2018-02-26 10:06:00-05:00,6965.4800541578115,35.25,52.875,-0.0,BE
2018-02-07,2018,upper,2018-02-07 10:15:00-05:00,6688.653843610658,44.75,67.125,-0.0,BE
2018-02-15,2018,upper,2018-02-15 09:52:00-05:00,6747.689415846846,24.25,36.375,36.375,TP
2018-02-08,2018,lower,2018-02-08 10:52:00-05:00,6495.912817376062,69.0,103.5,-103.5,SL
2018-02-12,2018,upper,2018-02-12 04:55:00-05:00,6498.455276795369,47.5,71.25,-0.0,BE
2018-02-14,2018,upper,2018-02-14 02:36:00-05:00,6596.997771835586,8.0,12.0,12.0,TP
2018-02-14,2018,upper,2018-02-14 02:33:00-05:00,6582.116241051749,8.0,12.0,-12.0,SL
2018-03-02,2018,lower,2018-03-02 09:44:00-05:00,6660.128381303939,30.25,45.375,45.375,TP
2018-02-20,2018,lower,2018-02-20 05:04:00-05:00,6728.025144092531,34.0,51.0,0.0,BE
2018-02-20,2018,lower,2018-02-20 04:54:00-05:00,6734.499193113248,20.5,30.75,30.75,TP
2018-02-21,2018,upper,2018-02-21 10:45:00-05:00,6844.588916165161,26.5,39.75,-39.75,SL
2018-03-02,2018,lower,2018-03-02 07:47:00-05:00,6681.286083834839,28.75,43.125,43.125,TP
2018-03-09,2018,upper,2018-03-09 08:35:00-05:00,7054.752649835211,6.5,9.75,9.75,TP
2018-03-09,2018,upper,2018-03-08 20:06:00-05:00,7011.102750111191,14.25,21.375,21.375,TP
2018-03-08,2018,upper,2018-03-08 09:08:00-05:00,6966.809197993163,12.25,18.375,-0.0,BE
2018-03-09,2018,upper,2018-03-08 19:00:00-05:00,6987.347677181222,16.0,24.0,-24.0,SL
2018-03-08,2018,upper,2018-03-08 02:03:00-05:00,6942.228767742183,11.0,16.5,-16.5,SL
2018-03-22,2018,lower,2018-03-22 05:53:00-04:00,6799.896232257817,26.5,39.75,0.0,BE
2018-03-09,2018,upper,2018-03-08 20:21:00-05:00,7014.149124215458,14.25,21.375,21.375,TP
2018-03-19,2018,lower,2018-03-19 01:09:00-04:00,6985.735261406753,6.25,9.375,9.375,TP
2018-03-13,2018,upper,2018-03-13 09:41:00-04:00,7209.175126088089,34.0,51.0,51.0,TP
2018-03-15,2018,lower,2018-03-14 20:52:00-04:00,7035.004957374382,14.0,21.0,21.0,TP
2018-03-19,2018,lower,2018-03-19 01:01:00-04:00,6999.458236754317,6.25,9.375,-9.375,SL
2018-03-19,2018,lower,2018-03-18 20:59:00-04:00,7020.538370639544,8.75,13.125,-13.125,SL
2018-03-22,2018,lower,2018-03-22 03:57:00-04:00,6822.12133545186,26.75,40.125,0.0,BE
2018-03-22,2018,lower,2018-03-22 03:51:00-04:00,6827.380387581346,26.75,40.125,0.0,BE
2018-04-05,2018,upper,2018-04-05 03:20:00-04:00,6646.391509124816,26.0,39.0,39.0,TP
2018-04-13,2018,upper,2018-04-13 09:02:00-04:00,6706.922112311857,26.0,39.0,39.0,TP
2018-04-12,2018,upper,2018-04-12 10:00:00-04:00,6675.72381656032,47.25,70.875,-2.2761834396796985,cutoff
2018-04-17,2018,upper,2018-04-16 20:32:00-04:00,6729.351261084411,10.0,15.0,15.0,TP
2018-04-17,2018,upper,2018-04-17 10:13:00-04:00,6778.631447073141,29.5,44.25,-44.25,SL
2018-04-17,2018,upper,2018-04-17 00:58:00-04:00,6735.760630831166,8.75,13.125,-0.0,BE
2018-04-24,2018,lower,2018-04-24 10:32:00-04:00,6611.614369168834,48.0,72.0,-72.0,SL
2018-04-20,2018,lower,2018-04-20 03:30:00-04:00,6753.901510256249,14.25,21.375,21.375,TP
2018-05-07,2018,upper,2018-05-06 23:29:00-04:00,6820.683852984341,18.5,27.75,-27.75,SL
2018-04-27,2018,upper,2018-04-27 08:00:00-04:00,6756.652413219133,15.25,22.875,22.875,TP
2018-04-27,2018,upper,2018-04-27 08:03:00-04:00,6759.0608596953425,15.25,22.875,22.875,TP
2018-04-26,2018,upper,2018-04-25 20:17:00-04:00,6604.400839902133,12.5,18.75,18.75,TP
2018-05-07,2018,upper,2018-05-07 09:43:00-04:00,6838.843736760741,12.25,18.375,18.375,TP
2018-05-04,2018,upper,2018-05-04 10:12:00-04:00,6684.007604114171,53.5,80.25,-80.25,SL
