level_id,level_idx,session_date,created_at,expiry_at,side,level,touched_at
0_upper,0,2018-01-02,2018-01-02 10:30:00-05:00,2018-01-30 10:30:00-05:00,upper,6527.385270858703,2018-01-03 03:21:00-05:00
0_lower,0,2018-01-02,2018-01-02 10:30:00-05:00,2018-01-30 10:30:00-05:00,lower,6375.239729141297,
1_upper,1,2018-01-03,2018-01-03 10:30:00-05:00,2018-01-31 10:30:00-05:00,upper,6588.896862822222,2018-01-03 12:51:00-05:00
1_lower,1,2018-01-03,2018-01-03 10:30:00-05:00,2018-01-31 10:30:00-05:00,lower,6484.853137177778,
2_upper,2,2018-01-04,2018-01-04 10:30:00-05:00,2018-02-01 10:30:00-05:00,upper,6645.746019873031,2018-01-05 11:16:00-05:00
2_lower,2,2018-01-04,2018-01-04 10:30:00-05:00,2018-02-01 10:30:00-05:00,lower,6563.128980126969,
3_upper,3,2018-01-05,2018-01-05 10:30:00-05:00,2018-02-02 10:30:00-05:00,upper,6660.193031638255,2018-01-05 15:48:00-05:00
3_lower,3,2018-01-05,2018-01-05 10:30:00-05:00,2018-02-02 10:30:00-05:00,lower,6590.056968361745,
4_upper,4,2018-01-08,2018-01-08 10:30:00-05:00,2018-02-05 10:30:00-05:00,upper,6701.613486663663,2018-01-09 08:28:00-05:00
4_lower,4,2018-01-08,2018-01-08 10:30:00-05:00,2018-02-05 10:30:00-05:00,lower,6629.011513336337,2018-01-10 10:02:00-05:00
5_upper,5,2018-01-09,2018-01-09 10:30:00-05:00,2018-02-06 10:30:00-05:00,upper,6741.522162842553,2018-01-12 03:25:00-05:00
5_lower,5,2018-01-09,2018-01-09 10:30:00-05:00,2018-02-06 10:30:00-05:00,lower,6644.602837157447,2018-01-10 05:59:00-05:00
6_upper,6,2018-01-10,2018-01-10 10:30:00-05:00,2018-02-07 10:30:00-05:00,upper,6704.029959282149,2018-01-11 12:37:00-05:00
6_lower,6,2018-01-10,2018-01-10 10:30:00-05:00,2018-02-07 10:30:00-05:00,lower,6601.595040717851,2018-02-05 15:04:00-05:00
7_upper,7,2018-01-11,2018-01-11 10:30:00-05:00,2018-02-08 10:30:00-05:00,upper,6719.314413168084,2018-01-11 16:00:00-05:00
7_lower,7,2018-01-11,2018-01-11 10:30:00-05:00,2018-02-08 10:30:00-05:00,lower,6650.435586831916,2018-02-05 14:51:00-05:00
8_upper,8,2018-01-12,2018-01-12 10:30:00-05:00,2018-02-09 10:30:00-05:00,upper,6765.158567599786,2018-01-12 12:53:00-05:00
8_lower,8,2018-01-12,2018-01-12 10:30:00-05:00,2018-02-09 10:30:00-05:00,lower,6666.591432400214,2018-02-05 14:47:00-05:00
9_upper,9,2018-01-15,2018-01-15 10:30:00-05:00,2018-02-12 10:30:00-05:00,upper,6807.90194903661,2018-01-16 04:51:00-05:00
9_lower,9,2018-01-15,2018-01-15 10:30:00-05:00,2018-02-12 10:30:00-05:00,lower,6752.22305096339,2018-01-16 14:18:00-05:00
10_upper,10,2018-01-16,2018-01-16 10:30:00-05:00,2018-02-13 10:30:00-05:00,upper,6867.310312213671,2018-01-22 10:11:00-05:00
10_lower,10,2018-01-16,2018-01-16 10:30:00-05:00,2018-02-13 10:30:00-05:00,lower,6769.689687786329,2018-01-16 13:52:00-05:00
11_upper,11,2018-01-17,2018-01-17 10:30:00-05:00,2018-02-14 10:30:00-05:00,upper,6821.909229209861,2018-01-17 14:47:00-05:00
11_lower,11,2018-01-17,2018-01-17 10:30:00-05:00,2018-02-14 10:30:00-05:00,lower,6726.965770790139,2018-02-04 18:00:00-05:00
12_upper,12,2018-01-18,2018-01-18 10:30:00-05:00,2018-02-15 10:30:00-05:00,upper,6861.2634332827965,2018-01-22 10:09:00-05:00
12_lower,12,2018-01-18,2018-01-18 10:30:00-05:00,2018-02-15 10:30:00-05:00,lower,6762.7365667172035,2018-02-02 15:59:00-05:00
13_upper,13,2018-01-19,2018-01-19 10:30:00-05:00,2018-02-16 10:30:00-05:00,upper,6898.429931059034,2018-01-22 12:05:00-05:00
13_lower,13,2018-01-19,2018-01-19 10:30:00-05:00,2018-02-16 10:30:00-05:00,lower,6782.945068940966,2018-02-02 15:04:00-05:00
14_upper,14,2018-01-22,2018-01-22 10:30:00-05:00,2018-02-19 10:30:00-05:00,upper,6910.20736997051,2018-01-22 15:49:00-05:00
14_lower,14,2018-01-22,2018-01-22 10:30:00-05:00,2018-02-19 10:30:00-05:00,lower,6788.41763002949,2018-02-02 14:58:00-05:00
15_upper,15,2018-01-23,2018-01-23 10:30:00-05:00,2018-02-20 10:30:00-05:00,upper,6996.916751578545,2018-01-24 10:13:00-05:00
15_lower,15,2018-01-23,2018-01-23 10:30:00-05:00,2018-02-20 10:30:00-05:00,lower,6894.083248421455,2018-01-24 13:16:00-05:00
16_upper,16,2018-01-24,2018-01-24 10:30:00-05:00,2018-02-21 10:30:00-05:00,upper,7038.0518345063465,2018-01-28 18:16:00-05:00
16_lower,16,2018-01-24,2018-01-24 10:30:00-05:00,2018-02-21 10:30:00-05:00,lower,6931.9481654936535,2018-01-24 11:33:00-05:00
17_upper,17,2018-01-25,2018-01-25 10:30:00-05:00,2018-02-22 10:30:00-05:00,upper,7035.822999711589,2018-01-28 18:04:00-05:00
17_lower,17,2018-01-25,2018-01-25 10:30:00-05:00,2018-02-22 10:30:00-05:00,lower,6885.177000288411,2018-02-01 15:40:00-05:00
18_upper,18,2018-01-26,2018-01-26 10:30:00-05:00,2018-02-23 10:30:00-05:00,upper,7009.214889813151,2018-01-26 15:12:00-05:00
18_lower,18,2018-01-26,2018-01-26 10:30:00-05:00,2018-02-23 10:30:00-05:00,lower,6914.410110186849,2018-01-30 09:30:00-05:00
19_upper,19,2018-01-29,2018-01-29 10:30:00-05:00,2018-02-26 10:30:00-05:00,upper,7062.051886480702,
19_lower,19,2018-01-29,2018-01-29 10:30:00-05:00,2018-02-26 10:30:00-05:00,lower,6959.073113519298,2018-01-29 22:52:00-05:00
20_upper,20,2018-01-30,2018-01-30 10:30:00-05:00,2018-02-27 10:30:00-05:00,upper,6999.393007402159,2018-02-26 16:14:00-05:00
20_lower,20,2018-01-30,2018-01-30 10:30:00-05:00,2018-02-27 10:30:00-05:00,lower,6860.856992597841,2018-02-02 05:12:00-05:00
21_upper,21,2018-01-31,2018-01-31 10:30:00-05:00,2018-02-28 10:30:00-05:00,upper,7029.040395829547,
21_lower,21,2018-01-31,2018-01-31 10:30:00-05:00,2018-02-28 10:30:00-05:00,lower,6928.834604170453,2018-01-31 15:05:00-05:00
22_upper,22,2018-02-01,2018-02-01 10:30:00-05:00,2018-03-01 10:30:00-05:00,upper,6996.495530024484,2018-02-26 16:07:00-05:00
22_lower,22,2018-02-01,2018-02-01 10:30:00-05:00,2018-03-01 10:30:00-05:00,lower,6854.004469975516,2018-02-02 06:35:00-05:00
23_upper,23,2018-02-02,2018-02-02 10:30:00-05:00,2018-03-02 10:30:00-05:00,upper,6965.4800541578115,2018-02-26 10:06:00-05:00
23_lower,23,2018-02-02,2018-02-02 10:30:00-05:00,2018-03-02 10:30:00-05:00,lower,6765.1449458421885,2018-02-02 15:58:00-05:00
24_upper,24,2018-02-05,2018-02-05 10:30:00-05:00,2018-03-05 10:30:00-05:00,upper,6863.3042726639915,2018-02-21 14:00:00-05:00
24_lower,24,2018-02-05,2018-02-05 10:30:00-05:00,2018-03-05 10:30:00-05:00,lower,6592.1957273360085,2018-02-05 15:07:00-05:00
25_upper,25,2018-02-06,2018-02-06 10:30:00-05:00,2018-03-06 10:30:00-05:00,upper,6688.653843610658,2018-02-07 10:15:00-05:00
25_lower,25,2018-02-06,2018-02-06 10:30:00-05:00,2018-03-06 10:30:00-05:00,lower,6207.096156389342,2018-02-09 12:41:00-05:00
26_upper,26,2018-02-07,2018-02-07 10:30:00-05:00,2018-03-07 10:30:00-05:00,upper,6747.689415846846,2018-02-15 09:52:00-05:00
26_lower,26,2018-02-07,2018-02-07 10:30:00-05:00,2018-03-07 10:30:00-05:00,lower,6554.435584153154,2018-02-07 16:14:00-05:00
27_upper,27,2018-02-08,2018-02-08 10:30:00-05:00,2018-03-08 10:30:00-05:00,upper,6675.087182623938,2018-02-14 15:00:00-05:00
27_lower,27,2018-02-08,2018-02-08 10:30:00-05:00,2018-03-08 10:30:00-05:00,lower,6495.912817376062,2018-02-08 10:52:00-05:00
28_upper,28,2018-02-09,2018-02-09 10:30:00-05:00,2018-03-09 10:30:00-05:00,upper,6498.455276795369,2018-02-12 04:55:00-05:00
28_lower,28,2018-02-09,2018-02-09 10:30:00-05:00,2018-03-09 10:30:00-05:00,lower,6280.419723204631,2018-02-09 11:59:00-05:00
29_upper,29,2018-02-12,2018-02-12 10:30:00-05:00,2018-03-12 10:30:00-04:00,upper,6596.997771835586,2018-02-14 02:36:00-05:00
29_lower,29,2018-02-12,2018-02-12 10:30:00-05:00,2018-03-12 10:30:00-04:00,lower,6348.877228164414,
30_upper,30,2018-02-13,2018-02-13 10:30:00-05:00,2018-03-13 10:30:00-04:00,upper,6582.116241051749,2018-02-14 02:33:00-05:00
30_lower,30,2018-02-13,2018-02-13 10:30:00-05:00,2018-03-13 10:30:00-04:00,lower,6411.258758948251,
31_upper,31,2018-02-14,2018-02-14 10:30:00-05:00,2018-03-14 10:30:00-04:00,upper,6653.25424608005,2018-02-14 13:03:00-05:00
31_lower,31,2018-02-14,2018-02-14 10:30:00-05:00,2018-03-14 10:30:00-04:00,lower,6432.49575391995,
32_upper,32,2018-02-15,2018-02-15 10:30:00-05:00,2018-03-15 10:30:00-04:00,upper,6806.746618696061,2018-02-15 16:00:00-05:00
32_lower,32,2018-02-15,2018-02-15 10:30:00-05:00,2018-03-15 10:30:00-04:00,lower,6660.128381303939,2018-03-02 09:44:00-05:00
33_upper,33,2018-02-16,2018-02-16 10:30:00-05:00,2018-03-16 10:30:00-04:00,upper,6860.599855907469,2018-02-21 11:33:00-05:00
33_lower,33,2018-02-16,2018-02-16 10:30:00-05:00,2018-03-16 10:30:00-04:00,lower,6728.025144092531,2018-02-20 05:04:00-05:00
34_upper,34,2018-02-19,2018-02-19 10:30:00-05:00,2018-03-19 10:30:00-04:00,upper,6858.875806886752,2018-02-21 11:32:00-05:00
34_lower,34,2018-02-19,2018-02-19 10:30:00-05:00,2018-03-19 10:30:00-04:00,lower,6734.499193113248,2018-02-20 04:54:00-05:00
35_upper,35,2018-02-20,2018-02-20 10:30:00-05:00,2018-03-20 10:30:00-04:00,upper,6844.588916165161,2018-02-21 10:45:00-05:00
35_lower,35,2018-02-20,2018-02-20 10:30:00-05:00,2018-03-20 10:30:00-04:00,lower,6681.286083834839,2018-03-02 07:47:00-05:00
36_upper,36,2018-02-21,2018-02-21 10:30:00-05:00,2018-03-21 10:30:00-04:00,upper,6882.356004644611,2018-02-21 14:24:00-05:00
36_lower,36,2018-02-21,2018-02-21 10:30:00-05:00,2018-03-21 10:30:00-04:00,lower,6757.643995355389,2018-02-21 16:00:00-05:00
37_upper,37,2018-02-22,2018-02-22 10:30:00-05:00,2018-03-22 10:30:00-04:00,upper,6866.508947557082,2018-02-23 14:46:00-05:00
37_lower,37,2018-02-22,2018-02-22 10:30:00-05:00,2018-03-22 10:30:00-04:00,lower,6728.491052442918,2018-03-01 13:57:00-05:00
38_upper,38,2018-02-23,2018-02-23 10:30:00-05:00,2018-03-23 10:30:00-04:00,upper,6874.033566072443,2018-02-23 14:49:00-05:00
38_lower,38,2018-02-23,2018-02-23 10:30:00-05:00,2018-03-23 10:30:00-04:00,lower,6752.216433927557,2018-03-01 13:45:00-05:00
39_upper,39,2018-02-26,2018-02-26 10:30:00-05:00,2018-03-26 10:30:00-04:00,upper,7001.631147293789,2018-02-26 16:14:00-05:00
39_lower,39,2018-02-26,2018-02-26 10:30:00-05:00,2018-03-26 10:30:00-04:00,lower,6880.118852706211,2018-02-28 15:45:00-05:00
40_upper,40,2018-02-27,2018-02-27 10:30:00-05:00,2018-03-27 10:30:00-04:00,upper,7054.752649835211,2018-03-09 08:35:00-05:00
