year,n,net_pts,PF,max_drawdown,avg_trade
2018,135,3.91,1.0028,-236.43,0.029
2019,125,-107.05,0.9167,-313.63,-0.856
2020,132,1221.69,1.5056,-866.38,9.255
2021,106,-525.09,0.7667,-890.2,-4.954
2022,140,1417.43,1.4831,-411.88,10.125
2023,134,-163.45,0.9405,-819.75,-1.22
2024,115,-389.92,0.8644,-833.96,-3.391
2025,136,1083.76,1.2922,-423.55,7.969
2026,61,1265.48,1.7031,-394.5,20.746
