year,n,net_pts,PF,max_drawdown,avg_trade
2018,108,136.77,1.116,-218.54,1.266
2019,111,-206.95,0.8335,-517.8,-1.864
2020,104,-296.14,0.8944,-821.51,-2.847
2021,115,503.29,1.2384,-324.78,4.376
2022,110,-547.0,0.8436,-850.8,-4.973
2023,115,-33.01,0.9873,-556.65,-0.287
2024,102,-661.14,0.7867,-797.07,-6.482
2025,112,64.71,1.0177,-1042.43,0.578
2026,45,304.41,1.2184,-496.12,6.765
