sess_date,year,side,touched_at,level,anchor,cap,pnl,exit
2018-05-25,2018,upper,2018-05-24 21:33:00-04:00,6998.574664230831,11.75,17.625,17.625,TP
2018-05-25,2018,upper,2018-05-24 21:33:00-04:00,6985.28924887995,11.75,17.625,-17.625,SL
2018-05-25,2018,upper,2018-05-24 21:33:00-04:00,6998.272718970623,11.75,17.625,17.625,TP
2018-05-23,2018,lower,2018-05-23 04:22:00-04:00,6837.602281029377,30.5,45.75,45.75,TP
2018-05-21,2018,upper,2018-05-21 09:44:00-04:00,6956.943498939923,15.5,23.25,23.25,TP
2018-05-23,2018,lower,2018-05-23 03:26:00-04:00,6855.323935043047,12.0,18.0,-18.0,SL
2018-06-01,2018,upper,2018-06-01 09:35:00-04:00,7027.868159735644,21.75,32.625,-32.625,SL
2018-05-23,2018,lower,2018-05-23 04:15:00-04:00,6844.881840264356,30.5,45.75,45.75,TP
2018-06-01,2018,upper,2018-06-01 10:21:00-04:00,7047.582845215169,29.75,44.625,-30.167154784830927,cutoff
2018-06-01,2018,upper,2018-06-01 10:20:00-04:00,7046.857493561925,29.75,44.625,-30.892506438074633,cutoff
2018-06-01,2018,upper,2018-06-01 10:21:00-04:00,7049.4694100871575,29.75,44.625,-28.280589912842515,cutoff
2018-05-29,2018,lower,2018-05-29 04:31:00-04:00,6903.7805899128425,29.25,43.875,43.875,TP
2018-06-01,2018,upper,2018-06-01 10:05:00-04:00,7039.118978025671,29.75,44.625,-44.625,SL
2018-06-01,2018,upper,2018-06-01 10:20:00-04:00,7044.576640147363,29.75,44.625,-44.625,SL
2018-06-01,2018,upper,2018-06-01 10:50:00-04:00,7064.677947924127,29.75,44.625,-13.072052075873216,cutoff
2018-06-04,2018,upper,2018-06-04 09:36:00-04:00,7122.326614259887,11.75,17.625,17.625,TP
2018-06-06,2018,upper,2018-06-05 23:56:00-04:00,7194.504427953376,4.0,6.0,-6.0,SL
2018-06-13,2018,upper,2018-06-12 21:35:00-04:00,7255.0504082071875,7.5,11.25,11.25,TP
2018-06-25,2018,lower,2018-06-25 10:58:00-04:00,7078.1995917928125,58.0,87.0,-68.1995917928125,cutoff
2018-06-13,2018,upper,2018-06-13 10:28:00-04:00,7270.809673444015,15.0,22.5,22.5,TP
2018-06-14,2018,upper,2018-06-14 10:27:00-04:00,7308.389754728676,33.0,49.5,-0.0,BE
2018-06-25,2018,lower,2018-06-25 10:11:00-04:00,7094.485245271324,58.0,87.0,-87.0,SL
2018-06-13,2018,upper,2018-06-13 10:04:00-04:00,7258.278431780933,15.0,22.5,-22.5,SL
2018-06-25,2018,lower,2018-06-25 10:11:00-04:00,7096.096568219067,58.0,87.0,-87.0,SL
2018-06-25,2018,lower,2018-06-25 09:39:00-04:00,7132.1600309954,15.0,22.5,-22.5,SL
2018-06-19,2018,lower,2018-06-19 03:08:00-04:00,7168.046397303674,18.0,27.0,27.0,TP
2018-06-19,2018,lower,2018-06-19 03:06:00-04:00,7177.045067359004,18.0,27.0,0.0,BE
2018-06-19,2018,lower,2018-06-19 02:36:00-04:00,7183.716153984056,20.25,30.375,30.375,TP
2018-06-25,2018,lower,2018-06-25 09:38:00-04:00,7137.552454034168,15.0,22.5,-22.5,SL
2018-06-20,2018,upper,2018-06-20 09:18:00-04:00,7293.320776597582,23.25,34.875,-34.875,SL
2018-06-25,2018,lower,2018-06-25 10:58:00-04:00,7077.054223402418,58.0,87.0,-67.05422340241785,cutoff
2018-06-22,2018,lower,2018-06-22 10:25:00-04:00,7207.031227803411,54.5,81.75,33.46877219658927,cutoff
2018-06-25,2018,lower,2018-06-25 04:29:00-04:00,7166.351285403045,15.25,22.875,-22.875,SL
