level_id,level_idx,session_date,created_at,expiry_at,side,level,touched_at
0_upper,0,2018-01-02,2018-01-02 10:30:00-05:00,2018-01-30 10:30:00-05:00,upper,6543.43630585107,2018-01-03 09:38:00-05:00
0_lower,0,2018-01-02,2018-01-02 10:30:00-05:00,2018-01-30 10:30:00-05:00,lower,6359.18869414893,
1_upper,1,2018-01-03,2018-01-03 10:30:00-05:00,2018-01-31 10:30:00-05:00,upper,6611.406277161712,2018-01-04 08:24:00-05:00
1_lower,1,2018-01-03,2018-01-03 10:30:00-05:00,2018-01-31 10:30:00-05:00,lower,6462.343722838288,
2_upper,2,2018-01-04,2018-01-04 10:30:00-05:00,2018-02-01 10:30:00-05:00,upper,6669.810422378629,2018-01-05 16:14:00-05:00
2_lower,2,2018-01-04,2018-01-04 10:30:00-05:00,2018-02-01 10:30:00-05:00,lower,6539.064577621371,
3_upper,3,2018-01-05,2018-01-05 10:30:00-05:00,2018-02-02 10:30:00-05:00,upper,6682.08037944925,2018-01-08 10:32:00-05:00
3_lower,3,2018-01-05,2018-01-05 10:30:00-05:00,2018-02-02 10:30:00-05:00,lower,6568.16962055075,
4_upper,4,2018-01-08,2018-01-08 10:30:00-05:00,2018-02-05 10:30:00-05:00,upper,6723.984441002156,2018-01-11 16:06:00-05:00
4_lower,4,2018-01-08,2018-01-08 10:30:00-05:00,2018-02-05 10:30:00-05:00,lower,6606.640558997844,
5_upper,5,2018-01-09,2018-01-09 10:30:00-05:00,2018-02-06 10:30:00-05:00,upper,6763.02166300014,2018-01-12 12:51:00-05:00
5_lower,5,2018-01-09,2018-01-09 10:30:00-05:00,2018-02-06 10:30:00-05:00,lower,6623.10333699986,2018-02-05 14:58:00-05:00
6_upper,6,2018-01-10,2018-01-10 10:30:00-05:00,2018-02-07 10:30:00-05:00,upper,6727.801952132337,2018-01-11 16:32:00-05:00
6_lower,6,2018-01-10,2018-01-10 10:30:00-05:00,2018-02-07 10:30:00-05:00,lower,6577.823047867663,2018-02-05 15:07:00-05:00
7_upper,7,2018-01-11,2018-01-11 10:30:00-05:00,2018-02-08 10:30:00-05:00,upper,6744.892391138648,2018-01-12 10:39:00-05:00
7_lower,7,2018-01-11,2018-01-11 10:30:00-05:00,2018-02-08 10:30:00-05:00,lower,6624.857608861352,2018-02-05 14:58:00-05:00
8_upper,8,2018-01-12,2018-01-12 10:30:00-05:00,2018-02-09 10:30:00-05:00,upper,6790.755839475558,2018-01-14 19:00:00-05:00
8_lower,8,2018-01-12,2018-01-12 10:30:00-05:00,2018-02-09 10:30:00-05:00,lower,6640.994160524442,2018-02-05 14:56:00-05:00
9_upper,9,2018-01-15,2018-01-15 10:30:00-05:00,2018-02-12 10:30:00-05:00,upper,6833.663308676358,2018-01-16 09:40:00-05:00
9_lower,9,2018-01-15,2018-01-15 10:30:00-05:00,2018-02-12 10:30:00-05:00,lower,6726.461691323642,2018-02-04 18:00:00-05:00
10_upper,10,2018-01-16,2018-01-16 10:30:00-05:00,2018-02-13 10:30:00-05:00,upper,6893.181852434431,2018-01-22 11:59:00-05:00
10_lower,10,2018-01-16,2018-01-16 10:30:00-05:00,2018-02-13 10:30:00-05:00,lower,6743.818147565569,2018-01-16 14:40:00-05:00
