touched_at,year,side,z_gate,gate_pass,cap_5min,cap_30min,cap_1h,cap_4h,entry,sign
2023-06-05 08:40:00-04:00,2023,lower,-1.5784661645990787,False,0.900000000000091,2.7999999999999545,6.099999999999909,7.900000000000091,1953.9967884276596,1.0
2023-06-05 03:52:00-04:00,2023,lower,-2.5558374031959565,False,0.5,2.300000000000182,3.5,5.900000000000091,1954.5703721732884,1.0
2023-06-21 09:37:00-04:00,2023,lower,-0.4104284456544944,False,2.7999999999999545,4.7999999999999545,9.700000000000045,4.099999999999909,1934.4603613377337,1.0
2023-06-14 21:17:00-04:00,2023,lower,-2.044247172903652,False,2.5,6.7000000000000455,9.600000000000136,6.5,1947.3211745796373,1.0
2023-06-14 21:32:00-04:00,2023,lower,-1.0276433280055037,False,0.900000000000091,4.0,9.600000000000136,6.5,1947.2312191805538,1.0
2023-06-14 21:14:00-04:00,2023,lower,-0.8924395849823084,False,2.400000000000091,6.7000000000000455,9.600000000000136,6.5,1947.5688685465477,1.0
2023-06-14 20:51:00-04:00,2023,lower,-1.537347059085341,False,1.900000000000091,3.2999999999999545,2.5,6.5,1949.2581947685348,1.0
2023-06-15 03:03:00-04:00,2023,lower,-0.7298742386566031,False,0.7999999999999545,3.099999999999909,5.7000000000000455,13.5,1940.9656830175184,1.0
2023-06-15 03:07:00-04:00,2023,lower,-2.734915278847351,False,3.900000000000091,3.099999999999909,5.7000000000000455,13.5,1940.3909216903385,1.0
2023-06-14 22:00:00-04:00,2023,lower,-1.5699436201319492,False,2.099999999999909,4.599999999999909,6.899999999999864,6.5,1944.200892337462,1.0
2023-06-22 11:27:00-04:00,2023,lower,-1.570387805961703,False,1.599999999999909,5.900000000000091,8.400000000000091,6.600000000000136,1923.5764426435492,1.0
2023-06-20 10:00:00-04:00,2023,lower,-2.5952269945235624,False,2.3999999999998636,8.5,14.599999999999909,5.900000000000091,1942.085650342959,1.0
2023-06-21 08:22:00-04:00,2023,lower,-1.9312624716210665,False,1.7000000000000455,2.2000000000000455,2.2000000000000455,4.099999999999909,1940.2965219591533,1.0
2023-06-28 02:43:00-04:00,2023,lower,-1.827432694730204,False,0.8999999999998636,3.7999999999999545,1.7999999999999545,3.7999999999999545,1919.3562765746904,1.0
2023-07-18 07:16:00-04:00,2023,upper,1.497460683333407,False,1.2999999999999545,1.6000000000001364,2.7000000000000455,6.5,1969.9824637094644,-1.0
2023-06-29 08:50:00-04:00,2023,lower,-2.7111257428803897,False,2.7000000000000455,3.1000000000001364,1.900000000000091,7.0,1905.9175362905355,1.0
2023-07-12 09:40:00-04:00,2023,upper,2.7497884868800635,False,1.800000000000182,11.199999999999818,17.0,3.099999999999909,1960.0830147268134,-1.0
2023-06-29 08:54:00-04:00,2023,lower,-2.7111257428803897,False,2.7000000000000455,3.1000000000001364,1.900000000000091,7.0,1903.8669852731866,1.0
2023-07-18 07:16:00-04:00,2023,upper,1.497460683333407,False,1.2999999999999545,1.6000000000001364,2.7000000000000455,6.5,1972.308752131048,-1.0
