timeframe,RR,n_touches,n_decided,net_pts,avg_pts_per_trade,PF,win_rate
5min,0.3,858,856,969.17,1.132,2.745,0.8598
5min,0.5,858,849,980.0,1.154,1.8408,0.7468
5min,0.75,858,847,1246.62,1.472,1.7705,0.6505
5min,1.0,858,841,1454.3,1.729,1.7408,0.5696
30min,0.3,858,831,1311.28,1.578,1.9573,0.8387
30min,0.5,858,801,1371.5,1.712,1.5922,0.7253
30min,0.75,858,761,1358.15,1.785,1.4452,0.6097
30min,1.0,858,723,585.0,0.809,1.1594,0.5048
1h,0.3,858,797,1136.33,1.426,1.5596,0.813
1h,0.5,858,730,742.9,1.018,1.232,0.6932
1h,0.75,858,663,305.6,0.461,1.0771,0.5762
1h,1.0,858,622,182.8,0.294,1.0428,0.4904
4h,0.3,519,461,1051.38,2.281,2.0045,0.8698
4h,0.5,519,421,915.05,2.174,1.5213,0.7411
4h,0.75,519,372,355.12,0.955,1.1525,0.621
4h,1.0,519,342,246.3,0.72,1.0984,0.5292
