year,n,net_pts,PF,win_%,avg_pts,median_pts,TP,SL,mtm_cutoff
2023,40,51.91,2.2705,80.0,1.298,1.85,29,4,7
2024,104,67.73,1.2647,71.2,0.651,2.475,69,21,14
2025,70,88.89,1.3252,72.9,1.27,4.0,51,13,6
2026,32,356.63,2.8336,75.0,11.145,12.657,22,8,2
ALL,246,565.17,1.7391,73.6,2.297,2.8,171,46,29
