config,year,n_trades,net_pts,PF_pts,total_R,PF_R,avg_R_per_trade,win_rate,max_drawdown_pts,max_drawdown_R,profitable_days,losing_days,breakeven_days
OG_PRIMARY_150R,2013,86,115.21,1.4842,20.1281,1.7723,0.234,0.3721,-49.5,-5.0,30,22,22
OG_PRIMARY_150R,2014,109,-104.86,0.7934,-15.6199,0.7155,-0.1433,0.2752,-167.79,-19.9783,28,47,18
OG_PRIMARY_150R,2015,120,-56.04,0.9232,-1.4827,0.97,-0.0124,0.2833,-233.25,-12.419,33,45,21
OG_PRIMARY_150R,pooled_2013_2015,315,-45.69,0.969,3.0254,1.0232,0.0096,0.3048,-318.36,-28.8973,91,114,61
OG_OPERATIONAL_100R,2013,86,57.21,1.2536,12.9373,1.5377,0.1504,0.4302,-53.79,-4.0,34,19,21
OG_OPERATIONAL_100R,2014,109,-182.41,0.6379,-23.3153,0.5674,-0.2139,0.3028,-216.91,-27.4149,30,46,17
OG_OPERATIONAL_100R,2015,120,-136.41,0.8101,-7.0635,0.8537,-0.0589,0.35,-194.51,-11.1077,37,44,18
OG_OPERATIONAL_100R,pooled_2013_2015,315,-261.61,0.8193,-17.4414,0.8618,-0.0554,0.3556,-385.17,-37.5226,101,109,56
