sess_date,year,side,touched_at,level,anchor,cap,pnl,exit
2018-01-05,2018,upper,2018-01-05 10:56:00-05:00,6640.6989992394265,17.5,26.25,-9.551000760573515,cutoff
2018-01-09,2018,upper,2018-01-09 04:01:00-05:00,6695.030708775079,4.75,7.125,-0.0,BE
2018-01-10,2018,lower,2018-01-10 09:54:00-05:00,6635.594291224921,12.25,18.375,18.375,TP
2018-01-12,2018,upper,2018-01-12 01:43:00-05:00,6734.76894561514,4.25,6.375,6.375,TP
2018-01-10,2018,lower,2018-01-10 05:49:00-05:00,6651.35605438486,7.0,10.5,0.0,BE
2018-01-11,2018,upper,2018-01-11 07:28:00-05:00,6695.905022365327,5.5,8.25,8.25,TP
2018-01-12,2018,upper,2018-01-12 10:52:00-05:00,6757.577125878066,24.25,36.375,-0.0,BE
2018-01-16,2018,upper,2018-01-16 03:20:00-05:00,6801.895414405581,4.75,7.125,-0.0,BE
2018-01-22,2018,upper,2018-01-22 10:09:00-05:00,6861.278087809867,23.75,35.625,-35.625,SL
2018-01-19,2018,upper,2018-01-19 05:19:00-05:00,6850.695296609709,21.75,32.625,-0.0,BE
2018-01-24,2018,upper,2018-01-24 05:37:00-05:00,6985.605969835811,6.5,9.75,9.75,TP
2018-01-30,2018,lower,2018-01-30 09:30:00-05:00,6924.0044036781455,23.25,34.875,34.875,TP
2018-01-30,2018,lower,2018-01-29 22:45:00-05:00,6968.9044143579495,5.5,8.25,-8.25,SL
2018-01-31,2018,upper,2018-01-31 09:30:00-05:00,6985.797578062457,10.5,15.75,15.75,TP
2018-02-02,2018,lower,2018-02-02 04:21:00-05:00,6874.452421937543,32.75,49.125,-49.125,SL
2018-02-02,2018,lower,2018-02-02 05:01:00-05:00,6867.070229351854,31.0,46.5,0.0,BE
2018-02-26,2018,upper,2018-02-26 09:35:00-05:00,6952.502806383649,8.5,12.75,-12.75,SL
2018-02-16,2018,upper,2018-02-16 00:18:00-05:00,6844.871279971376,3.25,4.875,4.875,TP
2018-02-15,2018,upper,2018-02-14 22:30:00-05:00,6721.1065917648775,6.75,10.125,-10.125,SL
