year,n,net_pts,PF,max_drawdown,avg_trade
2018,139,-225.27,0.8441,-412.55,-1.621
2019,136,92.1,1.0638,-258.19,0.677
2020,135,525.41,1.1936,-469.38,3.892
2021,129,-291.05,0.9007,-641.09,-2.256
2022,137,-449.58,0.8964,-860.88,-3.282
2023,139,464.48,1.1685,-637.32,3.342
2024,128,-154.81,0.9499,-702.2,-1.209
2025,136,1054.58,1.2451,-510.5,7.754
2026,56,52.14,1.0232,-822.84,0.931
