level_id,level_idx,session_date,created_at,expiry_at,side,level,touched_at
18_lower,18,2018-01-26,2018-01-26 10:30:00-05:00,2018-02-23 10:30:00-05:00,lower,6924.0044036781455,2018-01-30 09:30:00-05:00
19_upper,19,2018-01-29,2018-01-29 10:30:00-05:00,2018-02-26 10:30:00-05:00,upper,7052.2205856420505,
19_lower,19,2018-01-29,2018-01-29 10:30:00-05:00,2018-02-26 10:30:00-05:00,lower,6968.9044143579495,2018-01-29 22:45:00-05:00
20_upper,20,2018-01-30,2018-01-30 10:30:00-05:00,2018-02-27 10:30:00-05:00,upper,6985.797578062457,2018-01-31 09:30:00-05:00
20_lower,20,2018-01-30,2018-01-30 10:30:00-05:00,2018-02-27 10:30:00-05:00,lower,6874.452421937543,2018-02-02 04:21:00-05:00
21_upper,21,2018-01-31,2018-01-31 10:30:00-05:00,2018-02-28 10:30:00-05:00,upper,7017.200255156717,
21_lower,21,2018-01-31,2018-01-31 10:30:00-05:00,2018-02-28 10:30:00-05:00,lower,6940.674744843283,2018-01-31 14:47:00-05:00
22_upper,22,2018-02-01,2018-02-01 10:30:00-05:00,2018-03-01 10:30:00-05:00,upper,6983.429770648146,2018-02-26 14:15:00-05:00
22_lower,22,2018-02-01,2018-02-01 10:30:00-05:00,2018-03-01 10:30:00-05:00,lower,6867.070229351854,2018-02-02 05:01:00-05:00
23_upper,23,2018-02-02,2018-02-02 10:30:00-05:00,2018-03-02 10:30:00-05:00,upper,6952.502806383649,2018-02-26 09:35:00-05:00
23_lower,23,2018-02-02,2018-02-02 10:30:00-05:00,2018-03-02 10:30:00-05:00,lower,6778.122193616351,2018-02-02 15:05:00-05:00
24_upper,24,2018-02-05,2018-02-05 10:30:00-05:00,2018-03-05 10:30:00-05:00,upper,6844.871279971376,2018-02-16 00:18:00-05:00
24_lower,24,2018-02-05,2018-02-05 10:30:00-05:00,2018-03-05 10:30:00-05:00,lower,6610.628720028624,2018-02-05 15:04:00-05:00
25_upper,25,2018-02-06,2018-02-06 10:30:00-05:00,2018-03-06 10:30:00-05:00,upper,6637.834449284226,2018-02-06 15:06:00-05:00
25_lower,25,2018-02-06,2018-02-06 10:30:00-05:00,2018-03-06 10:30:00-05:00,lower,6257.915550715774,2018-02-09 12:07:00-05:00
26_upper,26,2018-02-07,2018-02-07 10:30:00-05:00,2018-03-07 10:30:00-05:00,upper,6721.1065917648775,2018-02-14 22:30:00-05:00
26_lower,26,2018-02-07,2018-02-07 10:30:00-05:00,2018-03-07 10:30:00-05:00,lower,6581.0184082351225,2018-02-07 15:59:00-05:00
27_upper,27,2018-02-08,2018-02-08 10:30:00-05:00,2018-03-08 10:30:00-05:00,upper,6652.38226419222,2018-02-14 13:03:00-05:00
27_lower,27,2018-02-08,2018-02-08 10:30:00-05:00,2018-03-08 10:30:00-05:00,lower,6518.61773580778,2018-02-08 10:48:00-05:00
28_upper,28,2018-02-09,2018-02-09 10:30:00-05:00,2018-03-09 10:30:00-05:00,upper,6465.617324745923,2018-02-12 03:43:00-05:00
28_lower,28,2018-02-09,2018-02-09 10:30:00-05:00,2018-03-09 10:30:00-05:00,lower,6313.257675254077,2018-02-09 10:46:00-05:00
29_upper,29,2018-02-12,2018-02-12 10:30:00-05:00,2018-03-12 10:30:00-04:00,upper,6564.060924003781,2018-02-12 15:21:00-05:00
29_lower,29,2018-02-12,2018-02-12 10:30:00-05:00,2018-03-12 10:30:00-04:00,lower,6381.814075996219,
30_upper,30,2018-02-13,2018-02-13 10:30:00-05:00,2018-03-13 10:30:00-04:00,upper,6563.574798146724,2018-02-13 14:10:00-05:00
30_lower,30,2018-02-13,2018-02-13 10:30:00-05:00,2018-03-13 10:30:00-04:00,lower,6429.800201853276,
31_upper,31,2018-02-14,2018-02-14 10:30:00-05:00,2018-03-14 10:30:00-04:00,upper,6637.492812585171,2018-02-14 11:42:00-05:00
31_lower,31,2018-02-14,2018-02-14 10:30:00-05:00,2018-03-14 10:30:00-04:00,lower,6448.257187414829,
32_upper,32,2018-02-15,2018-02-15 10:30:00-05:00,2018-03-15 10:30:00-04:00,upper,6796.214460500531,2018-02-15 15:23:00-05:00
32_lower,32,2018-02-15,2018-02-15 10:30:00-05:00,2018-03-15 10:30:00-04:00,lower,6670.660539499469,2018-02-15 11:03:00-05:00
33_upper,33,2018-02-16,2018-02-16 10:30:00-05:00,2018-03-16 10:30:00-04:00,upper,6851.8928832306865,2018-02-21 11:27:00-05:00
33_lower,33,2018-02-16,2018-02-16 10:30:00-05:00,2018-03-16 10:30:00-04:00,lower,6736.7321167693135,2018-02-20 04:44:00-05:00
34_upper,34,2018-02-19,2018-02-19 10:30:00-05:00,2018-03-19 10:30:00-04:00,upper,6848.157364372999,2018-02-21 11:26:00-05:00
34_lower,34,2018-02-19,2018-02-19 10:30:00-05:00,2018-03-19 10:30:00-04:00,lower,6745.217635627001,2018-02-20 04:40:00-05:00
35_upper,35,2018-02-20,2018-02-20 10:30:00-05:00,2018-03-20 10:30:00-04:00,upper,6833.96220877871,2018-02-20 11:52:00-05:00
35_lower,35,2018-02-20,2018-02-20 10:30:00-05:00,2018-03-20 10:30:00-04:00,lower,6691.91279122129,2018-03-01 14:14:00-05:00
36_upper,36,2018-02-21,2018-02-21 10:30:00-05:00,2018-03-21 10:30:00-04:00,upper,6867.164895916723,2018-02-21 14:00:00-05:00
36_lower,36,2018-02-21,2018-02-21 10:30:00-05:00,2018-03-21 10:30:00-04:00,lower,6772.835104083277,2018-02-21 15:58:00-05:00
37_upper,37,2018-02-22,2018-02-22 10:30:00-05:00,2018-03-22 10:30:00-04:00,upper,6848.746396908375,2018-02-23 13:59:00-05:00
