year,n,net_pts,PF,max_drawdown,avg_trade
2023,67,4.4,1.0311,-54.62,0.066
2024,131,-109.02,0.7617,-159.48,-0.832
2025,145,-21.9,0.974,-331.44,-0.151
2026,46,104.89,1.1597,-338.09,2.28
