rr_config_id,config,source_year,source_month,calendar_block_id,seasonality_bucket,july_august_blend_weight,n_trades,n_active_trades,n_flat_trades,gross_profit_pts,gross_loss_pts,net_pts,points_pf,TP,SL,BE,cutoff,FLAT,median_raw_stop_points,median_mae_points,median_mfe_points,switch_flat_rate,negative_block
1rr,operational_100r,2013,1,1rr|2013-01,broader_pool,0.1,7,7,0,22.875,10.125,12.75,2.259259259259259,3,2,2,0,0,7.125,3.601204288801,5.148795711199,0.0,False
1rr,operational_100r,2013,2,1rr|2013-02,broader_pool,0.1,6,6,0,19.125,12.0,7.125,1.59375,3,1,2,0,0,5.8125,2.673354497173932,4.634332578287513,0.0,False
1rr,operational_100r,2013,3,1rr|2013-03,broader_pool,0.1,10,10,0,16.5,16.875,-0.375,0.9777777777777777,3,3,4,0,0,6.5625,1.7196657588222024,4.378674864034565,0.0,True
1rr,operational_100r,2013,4,1rr|2013-04,broader_pool,0.1,6,6,0,5.625,37.5,-31.875,0.15,1,4,1,0,0,7.875,8.079324029912186,4.47562052823946,0.0,True
1rr,operational_100r,2013,5,1rr|2013-05,broader_pool,0.1,5,5,0,22.875,25.5,-2.625,0.8970588235294118,1,2,2,0,0,12.0,1.3476485717305877,1.5655188881241884,0.0,True
1rr,operational_100r,2013,6,1rr|2013-06,summer_neighbor,0.35,10,10,0,61.875,15.375,46.5,4.024390243902439,5,2,3,0,0,9.75,4.342735752703675,8.485384717369243,0.0,False
1rr,operational_100r,2013,7,1rr|2013-07,july_august,1.0,8,8,0,28.125,-0.0,28.125,inf,4,0,4,0,0,7.875,1.4989803100856989,5.756775126871389,0.0,False
1rr,operational_100r,2013,8,1rr|2013-08,july_august,1.0,8,8,0,10.875,44.625,-33.75,0.24369747899159663,2,4,2,0,0,6.5625,4.905656000168392,2.2400331598232697,0.0,True
1rr,operational_100r,2013,9,1rr|2013-09,summer_neighbor,0.35,5,5,0,16.125,22.5,-6.375,0.7166666666666667,2,2,1,0,0,7.5,7.309222493351626,4.384672166346718,0.0,True
1rr,operational_100r,2013,10,1rr|2013-10,broader_pool,0.1,5,5,0,12.0,13.666527627160576,-1.6665276271605762,0.8780577135154248,2,1,1,1,0,8.25,2.169408491311515,5.080591508688485,0.0,True
1rr,operational_100r,2013,11,1rr|2013-11,broader_pool,0.1,5,5,0,18.375,-0.0,18.375,inf,3,0,2,0,0,9.0,1.9929611541547274,5.526164562633312,0.0,False
1rr,operational_100r,2013,12,1rr|2013-12,broader_pool,0.1,11,11,0,48.375,27.375,21.0,1.7671232876712328,8,3,0,0,0,7.125,2.586420255619487,5.814087301012478,0.0,False
1rr,operational_100r,2014,1,1rr|2014-01,broader_pool,0.1,13,13,0,38.25,50.32192380516972,-12.071923805169718,0.7601060751987877,4,5,3,1,0,13.125,4.6235542875992905,6.5530761948302825,0.0,True
1rr,operational_100r,2014,2,1rr|2014-02,broader_pool,0.1,8,6,2,9.0,29.36095494151141,-20.36095494151141,0.3065295395850878,2,2,1,1,2,5.625,3.706787089911586,3.730712910088414,0.25,True
1rr,operational_100r,2014,3,1rr|2014-03,broader_pool,0.1,8,1,7,0.0,-0.0,0.0,inf,0,0,1,0,7,9.0,7.881609968534576,6.800438465845218,0.875,False
1rr,operational_100r,2014,4,1rr|2014-04,broader_pool,0.1,10,0,10,0.0,-0.0,0.0,inf,0,0,0,0,10,6.75,5.2357485968691435,3.7176925324961303,1.0,False
1rr,operational_100r,2014,5,1rr|2014-05,broader_pool,0.1,9,0,9,0.0,-0.0,0.0,inf,0,0,0,0,9,6.75,6.834487076461301,1.8494440701142594,1.0,False
1rr,operational_100r,2014,6,1rr|2014-06,summer_neighbor,0.35,4,0,4,0.0,-0.0,0.0,inf,0,0,0,0,4,4.875,5.0327223497786235,2.6809946577254777,1.0,False
1rr,operational_100r,2014,7,1rr|2014-07,july_august,1.0,14,0,14,0.0,-0.0,0.0,inf,0,0,0,0,14,6.9375,4.649353463795251,3.9864882528870567,1.0,False
