rr_config_id,config,config_label,trade_packet_id,source_year,source_month,source_session_date,source_ledger_id,source_block_id,chronological_block_id,entry_time,exit_time,holding_duration,direction,exit_reason,effective_exit_reason,pnl_points,historical_unfiltered_pnl_points,raw_stop_points,effective_stop_points,target_points,mae_points,mfe_points,pnl_R,historical_unfiltered_pnl_R,effective_stop_R,target_R,mae_R,mfe_R,rolling_pf_window_trades,rolling_pf_threshold,rolling_pf_reentry,rolling_pf_is_flat,rolling_pf_switch_state,rolling_pf_switch_mechanism,volatility_proxy_anchor_points,volatility_proxy_raw_stop_points,strategy_scale_field,raw_stop_percentile_rank,volatility_regime_by_stop,seasonality_month,seasonality_bucket,is_july_august_evidence,forecast_start_date,forecast_end_date,mae_mfe_status,mae_mfe_resolution,intratrade_bar_count,gap_through
1rr,operational_100r,OG_OPERATIONAL_100R,1rr|external_2013_2015|0_lower|2013-01-07 09:18:00-05:00,2013,1,2013-01-07,external_2013_2015,1rr|external_2013_2015|2013-01,1rr|external_2013_2015|2013-01,2013-01-07 09:18:00-05:00,2013-01-07 10:10:00-05:00,52.0,long,TP,TP,7.125,7.125,7.125,7.125,7.125,2.855285880852989,7.144714119147011,1.0,1.0,1.0,1.0,0.4007418780144546,1.00276689391537,100,1.1,symmetric,False,ON,rolling_points_pf_w100_threshold_1_10_symmetric,4.75,7.125,raw_stop_points_cap_min_1_5x_anchor_200,0.09225092250922509,low_stop_scale,1,broader_pool,False,2026-07-08,2026-08-31,computed_from_1m_ohlc_entry_to_exit_inclusive,1m_ohlc_bar_extrema,53,False
1rr,operational_100r,OG_OPERATIONAL_100R,1rr|external_2013_2015|4_upper|2013-01-10 07:57:00-05:00,2013,1,2013-01-10,external_2013_2015,1rr|external_2013_2015|2013-01,1rr|external_2013_2015|2013-01,2013-01-10 07:57:00-05:00,2013-01-10 08:14:00-05:00,17.0,short,SL,SL,-3.0,-3.0,3.0,3.0,3.0,3.6662768073756524,0.5837231926243476,-1.0,-1.0,1.0,1.0,1.2220922691252174,0.1945743975414492,100,1.1,symmetric,False,ON,rolling_points_pf_w100_threshold_1_10_symmetric,2.0,3.0,raw_stop_points_cap_min_1_5x_anchor_200,0.006273062730627306,low_stop_scale,1,broader_pool,False,2026-07-08,2026-08-31,computed_from_1m_ohlc_entry_to_exit_inclusive,1m_ohlc_bar_extrema,18,False
1rr,operational_100r,OG_OPERATIONAL_100R,1rr|external_2013_2015|2_upper|2013-01-10 08:24:00-05:00,2013,1,2013-01-10,external_2013_2015,1rr|external_2013_2015|2013-01,1rr|external_2013_2015|2013-01,2013-01-10 08:24:00-05:00,2013-01-10 10:30:00-05:00,126.0,short,TP,TP,10.5,10.5,10.5,10.5,10.5,5.619652640205004,14.380347359794996,1.0,1.0,1.0,1.0,0.5352050133528575,1.3695568914090472,100,1.1,symmetric,False,ON,rolling_points_pf_w100_threshold_1_10_symmetric,7.0,10.5,raw_stop_points_cap_min_1_5x_anchor_200,0.15424354243542435,low_stop_scale,1,broader_pool,False,2026-07-08,2026-08-31,computed_from_1m_ohlc_entry_to_exit_inclusive,1m_ohlc_bar_extrema,127,False
1rr,operational_100r,OG_OPERATIONAL_100R,1rr|external_2013_2015|7_upper|2013-01-13 20:58:00-05:00,2013,1,2013-01-14,external_2013_2015,1rr|external_2013_2015|2013-01,1rr|external_2013_2015|2013-01,2013-01-13 20:58:00-05:00,2013-01-14 01:02:00-05:00,244.0,short,TP,TP,5.25,5.25,5.25,5.25,5.25,2.1675650473180212,5.332434952681979,1.0,1.0,1.0,1.0,0.41286953282248023,1.0157018957489483,100,1.1,symmetric,False,ON,rolling_points_pf_w100_threshold_1_10_symmetric,3.5,5.25,raw_stop_points_cap_min_1_5x_anchor_200,0.043542435424354244,low_stop_scale,1,broader_pool,False,2026-07-08,2026-08-31,computed_from_1m_ohlc_entry_to_exit_inclusive,1m_ohlc_bar_extrema,180,False
1rr,operational_100r,OG_OPERATIONAL_100R,1rr|external_2013_2015|7_lower|2013-01-14 07:47:00-05:00,2013,1,2013-01-14,external_2013_2015,1rr|external_2013_2015|2013-01,1rr|external_2013_2015|2013-01,2013-01-14 07:47:00-05:00,2013-01-14 09:02:00-05:00,75.0,long,BE,BE,0.0,0.0,7.5,7.5,7.5,2.0425650473180212,4.207434952681979,0.0,0.0,1.0,1.0,0.2723420063090695,0.5609913270242638,100,1.1,symmetric,False,ON,rolling_points_pf_w100_threshold_1_10_symmetric,5.0,7.5,raw_stop_points_cap_min_1_5x_anchor_200,0.1011070110701107,low_stop_scale,1,broader_pool,False,2026-07-08,2026-08-31,computed_from_1m_ohlc_entry_to_exit_inclusive,1m_ohlc_bar_extrema,76,False
1rr,operational_100r,OG_OPERATIONAL_100R,1rr|external_2013_2015|8_lower|2013-01-15 09:34:00-05:00,2013,1,2013-01-15,external_2013_2015,1rr|external_2013_2015|2013-01,1rr|external_2013_2015|2013-01,2013-01-15 09:34:00-05:00,2013-01-15 09:54:00-05:00,20.0,long,SL,SL,-7.125,-7.125,7.125,7.125,7.125,7.701717556987205,4.298282443012795,-1.0,-1.0,1.0,1.0,1.080942815015748,0.6032677113000414,100,1.1,symmetric,False,ON,rolling_points_pf_w100_threshold_1_10_symmetric,4.75,7.125,raw_stop_points_cap_min_1_5x_anchor_200,0.09225092250922509,low_stop_scale,1,broader_pool,False,2026-07-08,2026-08-31,computed_from_1m_ohlc_entry_to_exit_inclusive,1m_ohlc_bar_extrema,21,False
1rr,operational_100r,OG_OPERATIONAL_100R,1rr|external_2013_2015|11_lower|2013-01-18 07:04:00-05:00,2013,1,2013-01-18,external_2013_2015,1rr|external_2013_2015|2013-01,1rr|external_2013_2015|2013-01,2013-01-18 07:04:00-05:00,2013-01-18 09:30:00-05:00,146.0,long,BE,BE,0.0,0.0,9.0,9.0,9.0,3.601204288801,5.148795711199,0.0,0.0,1.0,1.0,0.40013380986677777,0.5720884123554444,100,1.1,symmetric,False,ON,rolling_points_pf_w100_threshold_1_10_symmetric,6.0,9.0,raw_stop_points_cap_min_1_5x_anchor_200,0.12841328413284134,low_stop_scale,1,broader_pool,False,2026-07-08,2026-08-31,computed_from_1m_ohlc_entry_to_exit_inclusive,1m_ohlc_bar_extrema,147,False
1rr,operational_100r,OG_OPERATIONAL_100R,1rr|external_2013_2015|20_upper|2013-02-01 08:47:00-05:00,2013,2,2013-02-01,external_2013_2015,1rr|external_2013_2015|2013-02,1rr|external_2013_2015|2013-02,2013-02-01 08:47:00-05:00,2013-02-01 09:49:00-05:00,62.0,short,TP,TP,7.5,7.5,7.5,7.5,7.5,1.4103591704215432,8.589640829578457,1.0,1.0,1.0,1.0,0.1880478893895391,1.1452854439437943,100,1.1,symmetric,False,ON,rolling_points_pf_w100_threshold_1_10_symmetric,5.0,7.5,raw_stop_points_cap_min_1_5x_anchor_200,0.1011070110701107,low_stop_scale,2,broader_pool,False,2026-07-08,2026-08-31,computed_from_1m_ohlc_entry_to_exit_inclusive,1m_ohlc_bar_extrema,63,False
1rr,operational_100r,OG_OPERATIONAL_100R,1rr|external_2013_2015|25_upper|2013-02-08 09:30:00-05:00,2013,2,2013-02-08,external_2013_2015,1rr|external_2013_2015|2013-02,1rr|external_2013_2015|2013-02,2013-02-08 09:30:00-05:00,2013-02-08 09:40:00-05:00,10.0,short,SL,SL,-12.0,-12.0,12.0,12.0,12.0,13.09937481058796,3.1506251894120396,-1.0,-1.0,1.0,1.0,1.0916145675489968,0.26255209911766997,100,1.1,symmetric,False,ON,rolling_points_pf_w100_threshold_1_10_symmetric,8.0,12.0,raw_stop_points_cap_min_1_5x_anchor_200,0.17822878228782288,low_stop_scale,2,broader_pool,False,2026-07-08,2026-08-31,computed_from_1m_ohlc_entry_to_exit_inclusive,1m_ohlc_bar_extrema,11,False
1rr,operational_100r,OG_OPERATIONAL_100R,1rr|external_2013_2015|26_upper|2013-02-11 04:50:00-05:00,2013,2,2013-02-11,external_2013_2015,1rr|external_2013_2015|2013-02,1rr|external_2013_2015|2013-02,2013-02-11 04:50:00-05:00,2013-02-11 05:42:00-05:00,52.0,short,BE,BE,-0.0,-0.0,4.125,4.125,4.125,2.2147489615108498,1.5352510384891502,-0.0,-0.0,1.0,1.0,0.5369088391541454,0.37218206993676367,100,1.1,symmetric,False,ON,rolling_points_pf_w100_threshold_1_10_symmetric,2.75,4.125,raw_stop_points_cap_min_1_5x_anchor_200,0.01918819188191882,low_stop_scale,2,broader_pool,False,2026-07-08,2026-08-31,computed_from_1m_ohlc_entry_to_exit_inclusive,1m_ohlc_bar_extrema,51,False
