mismatch_class,identity,level_id_ref,level_id_codex,side_ref,side_codex,touch_ref,touch_codex,exit_ref,exit_codex,pnl_ref,pnl_codex,net_impact_ref_minus_codex
codex_only,101_upper|upper|2018-05-28 04:26:00+00:00,,101:upper,,upper,,2018-05-28 04:26:00+00:00,,TP,,12.375,-12.375
same_exit_different_pnl,1079_lower|lower|2022-03-15 07:13:00+00:00,1079_lower,1079:lower,lower,lower,2022-03-15 07:13:00+00:00,2022-03-15 07:13:00+00:00,TP,TP,57.75,59.25,-1.5
codex_only,110_lower|lower|2018-06-08 07:55:00+00:00,,110:lower,,lower,,2018-06-08 07:55:00+00:00,,TP,,53.25,-53.25
reference_only,110_lower|lower|2018-06-08 08:10:00+00:00,110_lower,,lower,,2018-06-08 08:10:00+00:00,,BE,,0.0,,0.0
codex_only,110_upper|upper|2018-06-07 01:46:00+00:00,,110:upper,,upper,,2018-06-07 01:46:00+00:00,,TP,,12.0,-12.0
reference_only,110_upper|upper|2018-06-07 06:32:00+00:00,110_upper,,upper,,2018-06-07 06:32:00+00:00,,TP,,4.875,,4.875
same_entry_different_exit,111_upper|upper|2018-06-13 14:20:00+00:00,111_upper,111:upper,upper,upper,2018-06-13 14:20:00+00:00,2018-06-13 14:20:00+00:00,TP,cutoff,22.5,5.927208812117897,16.572791187882103
reference_only,112_upper|upper|2018-06-11 13:46:00+00:00,112_upper,,upper,,2018-06-11 13:46:00+00:00,,TP,,16.5,,16.5
same_entry_different_exit,1130_lower|lower|2022-06-13 08:18:00+00:00,1130_lower,1130:lower,lower,lower,2022-06-13 08:18:00+00:00,2022-06-13 08:18:00+00:00,TP,BE,112.125,0.0,112.125
codex_only,1131_lower|lower|2022-06-13 01:21:00+00:00,,1131:lower,,lower,,2022-06-13 01:21:00+00:00,,BE,,0.0,0.0
reference_only,1131_lower|lower|2022-06-13 01:23:00+00:00,1131_lower,,lower,,2022-06-13 01:23:00+00:00,,BE,,0.0,,0.0
same_exit_different_pnl,1132_lower|lower|2022-06-10 12:30:00+00:00,1132_lower,1132:lower,lower,lower,2022-06-10 12:30:00+00:00,2022-06-10 12:30:00+00:00,SL,SL,-69.0,-92.625,23.625
codex_only,115_lower|lower|2018-06-14 09:53:00+00:00,,115:lower,,lower,,2018-06-14 09:53:00+00:00,,TP,,19.125,-19.125
reference_only,1198_upper|upper|2022-09-12 08:42:00+00:00,1198_upper,,upper,,2022-09-12 08:42:00+00:00,,SL,,-73.875,,-73.875
codex_only,1198_upper|upper|2022-09-12 09:00:00+00:00,,1198:upper,,upper,,2022-09-12 09:00:00+00:00,,BE,,-0.0,0.0
codex_only,1199_upper|upper|2022-09-12 14:00:00+00:00,,1199:upper,,upper,,2022-09-12 14:00:00+00:00,,BE,,-0.0,0.0
reference_only,1200_upper|upper|2022-09-12 00:00:00+00:00,1200_upper,,upper,,2022-09-12 00:00:00+00:00,,TP,,29.625,,29.625
codex_only,1204_upper|upper|2022-09-09 04:32:00+00:00,,1204:upper,,upper,,2022-09-09 04:32:00+00:00,,TP,,27.0,-27.0
reference_only,1204_upper|upper|2022-09-09 04:48:00+00:00,1204_upper,,upper,,2022-09-09 04:48:00+00:00,,TP,,27.0,,27.0
reference_only,1206_upper|upper|2022-09-09 07:27:00+00:00,1206_upper,,upper,,2022-09-09 07:27:00+00:00,,BE,,-0.0,,-0.0
same_exit_different_pnl,1208_lower|lower|2022-09-13 12:38:00+00:00,1208_lower,1208:lower,lower,lower,2022-09-13 12:38:00+00:00,2022-09-13 12:38:00+00:00,SL,SL,-37.5,-154.875,117.375
same_exit_different_pnl,1208_upper|upper|2022-09-13 12:30:00+00:00,1208_upper,1208:upper,upper,upper,2022-09-13 12:30:00+00:00,2022-09-13 12:30:00+00:00,TP,TP,37.5,154.875,-117.375
codex_only,1249_upper|upper|2022-11-10 13:45:00+00:00,,1249:upper,,upper,,2022-11-10 13:45:00+00:00,,SL,,-40.875,40.875
same_entry_different_exit,1250_upper|upper|2022-11-10 13:30:00+00:00,1250_upper,1250:upper,upper,upper,2022-11-10 13:30:00+00:00,2022-11-10 13:30:00+00:00,SL,TP,-40.875,40.875,-81.75
reference_only,1267_upper|upper|2022-12-13 13:29:00+00:00,1267_upper,,upper,,2022-12-13 13:29:00+00:00,,SL,,-73.125,,-73.125
reference_only,1269_upper|upper|2022-12-13 13:26:00+00:00,1269_upper,,upper,,2022-12-13 13:26:00+00:00,,TP,,73.125,,73.125
reference_only,1270_upper|upper|2022-12-09 13:30:00+00:00,1270_upper,,upper,,2022-12-09 13:30:00+00:00,,TP,,68.625,,68.625
reference_only,1273_lower|lower|2022-12-15 15:04:00+00:00,1273_lower,,lower,,2022-12-15 15:04:00+00:00,,BE,,0.0,,0.0
codex_only,1273_upper|upper|2022-12-13 07:05:00+00:00,,1273:upper,,upper,,2022-12-13 07:05:00+00:00,,SL,,-200.0,200.0
reference_only,1273_upper|upper|2022-12-13 08:01:00+00:00,1273_upper,,upper,,2022-12-13 08:01:00+00:00,,BE,,-0.0,,-0.0
codex_only,1335_lower|lower|2023-03-13 12:50:00+00:00,,1335:lower,,lower,,2023-03-13 12:50:00+00:00,,TP,,200.0,-200.0
reference_only,1335_upper|upper|2023-03-13 06:12:00+00:00,1335_upper,,upper,,2023-03-13 06:12:00+00:00,,BE,,-0.0,,-0.0
codex_only,1335_upper|upper|2023-03-13 07:00:00+00:00,,1335:upper,,upper,,2023-03-13 07:00:00+00:00,,TP,,200.0,-200.0
codex_only,1391_upper|upper|2023-06-07 10:21:00+00:00,,1391:upper,,upper,,2023-06-07 10:21:00+00:00,,TP,,29.625,-29.625
reference_only,1391_upper|upper|2023-06-12 00:00:00+00:00,1391_upper,,upper,,2023-06-12 00:00:00+00:00,,SL,,-36.375,,-36.375
codex_only,1397_upper|upper|2023-06-12 07:51:00+00:00,,1397:upper,,upper,,2023-06-12 07:51:00+00:00,,cutoff,,-130.9847576706452,130.9847576706452
codex_only,1399_upper|upper|2023-06-11 23:08:00+00:00,,1399:upper,,upper,,2023-06-11 23:08:00+00:00,,TP,,200.0,-200.0
codex_only,1405_upper|upper|2023-06-30 14:20:00+00:00,,1405:upper,,upper,,2023-06-30 14:20:00+00:00,,cutoff,,28.138299874372024,-28.138299874372024
codex_only,1408_upper|upper|2023-06-30 04:34:00+00:00,,1408:upper,,upper,,2023-06-30 04:34:00+00:00,,TP,,21.375,-21.375
reference_only,1412_upper|upper|2023-06-30 12:38:00+00:00,1412_upper,,upper,,2023-06-30 12:38:00+00:00,,BE,,-0.0,,-0.0
reference_only,1413_upper|upper|2023-06-30 13:43:00+00:00,1413_upper,,upper,,2023-06-30 13:43:00+00:00,,cutoff,,-46.578041068776656,,-46.578041068776656
reference_only,1461_upper|upper|2023-09-11 13:33:00+00:00,1461_upper,,upper,,2023-09-11 13:33:00+00:00,,TP,,49.125,,49.125
