model,min_confidence,n_trades,net_pts,PF
hmm2,0.55,244,1863.23,1.3986
hmm2,0.65,243,1857.68,1.3974
hmm3,0.55,239,1905.8,1.4152
hmm3,0.65,218,1715.9,1.406
