control,executed_2018_2025,net_pts,PF,avg_R,max_dd_R
1.0x_S1_range30m,2102,-3457.74,0.9226,-0.0766,-169.9611
1.0x_S2_atr60m,2251,-2723.93,0.9394,-0.0585,-153.1777
1.0x_S3_prevsessrange,1468,-2263.25,0.9692,-0.0154,-31.2811
1.0x_S4_geomean,2153,-2791.56,0.9354,-0.071,-167.1979
