level_id,touched_at,reason
7_upper,2018-01-11 16:06:00-05:00,gap
12_lower,2018-02-02 16:02:00-05:00,gap
20_upper,2018-02-26 16:31:00-05:00,gap
22_upper,2018-02-26 16:14:00-05:00,gap
23_lower,2018-02-02 16:02:00-05:00,gap
26_lower,2018-02-07 16:31:00-05:00,gap
32_upper,2018-02-15 16:06:00-05:00,gap
36_lower,2018-02-21 16:00:00-05:00,gap
39_upper,2018-02-26 16:31:00-05:00,gap
66_upper,2018-04-16 16:10:00-04:00,gap
81_upper,2018-04-26 16:02:00-04:00,gap
85_lower,2018-05-02 16:52:00-04:00,gap
109_upper,2018-06-06 16:04:00-04:00,gap
137_lower,2018-07-16 16:11:00-04:00,gap
138_lower,2018-07-16 16:07:00-04:00,gap
143_upper,2018-07-23 16:03:00-04:00,gap
145_lower,2018-07-26 16:01:00-04:00,gap
148_upper,2018-08-02 16:56:00-04:00,gap
152_upper,2018-08-06 16:03:00-04:00,gap
188_upper,2018-09-24 16:51:00-04:00,gap
210_upper,2018-11-07 16:03:00-05:00,gap
227_upper,2018-11-30 16:07:00-05:00,gap
228_upper,2018-11-30 16:11:00-05:00,gap
274_upper,2019-01-30 16:45:00-05:00,gap
279_upper,2019-02-04 16:02:00-05:00,gap
280_upper,2019-02-04 16:00:00-05:00,gap
284_upper,2019-02-08 16:00:00-05:00,gap
304_upper,2019-03-08 16:01:00-05:00,gap
323_upper,2019-04-10 16:01:00-04:00,gap
325_upper,2019-04-10 16:01:00-04:00,gap
329_upper,2019-04-16 16:00:00-04:00,gap
334_upper,2019-04-22 16:32:00-04:00,gap
340_upper,2019-04-30 16:30:00-04:00,gap
343_upper,2019-05-03 16:30:00-04:00,gap
391_lower,2019-07-19 16:59:00-04:00,gap
392_lower,2019-07-17 16:08:00-04:00,gap
393_lower,2019-07-17 16:37:00-04:00,gap
394_upper,2019-07-24 16:05:00-04:00,gap
395_upper,2019-07-24 16:00:00-04:00,gap
396_lower,2019-07-17 16:06:00-04:00,gap
397_upper,2019-07-18 16:37:00-04:00,gap
398_upper,2019-07-24 16:05:00-04:00,gap
464_lower,2019-10-22 16:38:00-04:00,gap
470_upper,2019-11-01 15:59:00-04:00,liquidation_bar
471_upper,2019-10-30 16:30:00-04:00,gap
472_upper,2019-11-03 21:37:00-05:00,no_valid_path
486_upper,2019-11-25 15:59:00-05:00,liquidation_bar
507_upper,2019-12-19 16:09:00-05:00,gap
511_upper,2019-12-26 16:00:00-05:00,gap
512_upper,2020-01-02 16:43:00-05:00,gap
516_upper,2020-01-06 15:59:00-05:00,liquidation_bar
521_upper,2020-01-13 16:14:00-05:00,gap
532_upper,2020-01-28 16:31:00-05:00,gap
534_upper,2020-01-30 16:01:00-05:00,gap
554_lower,2020-02-27 15:59:00-05:00,liquidation_bar
561_upper,2020-03-10 16:00:00-04:00,gap
564_lower,2020-03-12 16:36:00-04:00,gap
566_lower,2020-03-16 15:59:00-04:00,liquidation_bar
589_upper,2020-04-29 16:14:00-04:00,gap
596_upper,2020-04-29 16:37:00-04:00,gap
597_upper,2020-04-29 16:30:00-04:00,gap
618_upper,2020-05-29 15:59:00-04:00,liquidation_bar
659_upper,2020-07-30 16:09:00-04:00,gap
660_upper,2020-07-30 16:11:00-04:00,gap
661_upper,2020-07-30 16:08:00-04:00,gap
662_upper,2020-07-30 16:08:00-04:00,gap
699_upper,2020-09-21 16:54:00-04:00,gap
745_upper,2020-11-24 16:56:00-05:00,gap
771_upper,2021-01-08 16:00:00-05:00,gap
783_lower,2021-01-27 16:10:00-05:00,gap
808_upper,2021-02-24 16:12:00-05:00,gap
810_upper,2021-03-01 16:11:00-05:00,gap
813_lower,2021-03-03 16:43:00-05:00,gap
829_upper,2021-03-26 16:01:00-04:00,gap
830_upper,2021-03-26 16:01:00-04:00,gap
877_upper,2021-06-07 16:51:00-04:00,gap
895_upper,2021-06-29 16:05:00-04:00,gap
920_lower,2021-08-18 16:36:00-04:00,gap
928_lower,2021-08-18 16:36:00-04:00,gap
930_lower,2021-08-18 16:37:00-04:00,gap
931_lower,2021-08-18 16:12:00-04:00,gap
932_lower,2021-08-18 16:22:00-04:00,gap
962_upper,2021-10-14 16:21:00-04:00,gap
992_lower,2021-12-01 16:02:00-05:00,gap
994_lower,2021-12-01 15:59:00-05:00,liquidation_bar
1007_upper,2021-12-27 16:17:00-05:00,gap
1013_lower,2021-12-13 15:59:00-05:00,liquidation_bar
1043_upper,2022-02-01 16:15:00-05:00,gap
1051_lower,2022-02-02 16:10:00-05:00,gap
1076_lower,2022-03-11 15:59:00-05:00,liquidation_bar
1077_lower,2022-03-11 15:59:00-05:00,liquidation_bar
1078_upper,2022-03-16 16:18:00-04:00,gap
1081_upper,2022-03-16 16:42:00-04:00,gap
1085_upper,2022-03-24 15:59:00-04:00,liquidation_bar
1108_lower,2022-04-26 16:01:00-04:00,gap
1109_lower,2022-04-26 16:01:00-04:00,gap
1120_upper,2022-05-27 16:28:00-04:00,gap
1163_upper,2022-07-19 16:00:00-04:00,gap
1172_upper,2022-07-28 16:30:00-04:00,gap
1176_upper,2022-07-28 16:30:00-04:00,gap
1212_upper,2022-09-19 16:01:00-04:00,gap
1225_upper,2022-10-25 16:00:00-04:00,gap
1238_lower,2022-10-27 16:17:00-04:00,gap
1241_upper,2022-11-10 16:44:00-05:00,gap
1241_lower,2022-10-27 16:02:00-04:00,gap
1257_upper,2022-11-30 15:59:00-05:00,liquidation_bar
1261_upper,2022-11-30 15:59:00-05:00,liquidation_bar
1318_upper,2023-02-15 16:07:00-05:00,gap
1343_lower,2023-03-22 15:59:00-04:00,liquidation_bar
1356_upper,2023-04-27 16:01:00-04:00,gap
1360_upper,2023-04-27 16:01:00-04:00,gap
1387_upper,2023-05-24 16:24:00-04:00,gap
1447_upper,2023-08-23 16:20:00-04:00,gap
1451_upper,2023-08-23 16:20:00-04:00,gap
1452_upper,2023-08-23 16:20:00-04:00,gap
1452_lower,2023-08-24 16:34:00-04:00,gap
1456_lower,2023-09-21 16:22:00-04:00,gap
1564_lower,2024-01-30 16:39:00-05:00,gap
1565_upper,2024-02-01 16:24:00-05:00,gap
1566_upper,2024-02-01 16:05:00-05:00,gap
