mode,sess_date,year,side,touched_at,exit_time,level,anchor,raw_cap,tp_dist,sl_dist,pnl,exit
both_cap200,2018-01-03,2018,upper,2018-01-03 04:06:00-05:00,2018-01-03 04:53:00-05:00,6529.134910517963,5.75,8.625,8.625,8.625,-0.0,BE
both_cap200,2018-01-04,2018,upper,2018-01-03 19:09:00-05:00,2018-01-03 20:12:00-05:00,6591.363648739487,6.0,9.0,9.0,9.0,9.0,TP
both_cap200,2018-01-09,2018,upper,2018-01-09 07:29:00-05:00,2018-01-09 08:26:00-05:00,6700.852925468027,6.0,9.0,9.0,9.0,-0.0,BE
both_cap200,2018-01-10,2018,lower,2018-01-10 05:59:00-05:00,2018-01-10 06:24:00-05:00,6644.365418961772,7.0,10.5,10.5,10.5,10.5,TP
both_cap200,2018-01-10,2018,lower,2018-01-10 10:02:00-05:00,2018-01-10 15:00:00-05:00,6629.772074531973,35.5,53.25,53.25,53.25,32.227925468027024,cutoff
both_cap200,2018-01-12,2018,upper,2018-01-12 03:25:00-05:00,2018-01-12 04:13:00-05:00,6741.759581038228,6.25,9.375,9.375,9.375,-0.0,BE
both_cap200,2018-01-16,2018,upper,2018-01-16 05:23:00-05:00,2018-01-16 09:35:00-05:00,6809.770647884909,11.0,16.5,16.5,16.5,-16.5,SL
both_cap200,2018-01-22,2018,upper,2018-01-22 10:09:00-05:00,2018-01-22 12:05:00-05:00,6862.577746742863,23.75,35.625,35.625,35.625,-35.625,SL
both_cap200,2018-01-24,2018,upper,2018-01-24 10:14:00-05:00,2018-01-24 11:13:00-05:00,6998.255469793344,28.25,42.375,42.375,42.375,42.375,TP
both_cap200,2018-01-30,2018,lower,2018-01-29 22:52:00-05:00,2018-01-29 22:56:00-05:00,6956.366742923148,5.5,8.25,8.25,8.25,8.25,TP
both_cap200,2018-01-30,2018,lower,2018-01-30 10:05:00-05:00,2018-01-30 11:09:00-05:00,6909.722612509674,36.75,55.125,55.125,55.125,55.125,TP
both_cap200,2018-02-02,2018,lower,2018-02-02 04:21:00-05:00,2018-02-02 10:01:00-05:00,6880.975997086674,32.75,49.125,49.125,49.125,-49.125,SL
both_cap200,2018-02-07,2018,upper,2018-02-07 10:08:00-05:00,2018-02-07 13:06:00-05:00,6684.944584107352,44.75,67.125,67.125,67.125,67.125,TP
both_cap200,2018-02-08,2018,lower,2018-02-08 10:54:00-05:00,2018-02-08 11:40:00-05:00,6489.755992857791,69.0,103.5,103.5,103.5,0.0,BE
both_cap200,2018-02-12,2018,upper,2018-02-12 09:44:00-05:00,2018-02-12 10:13:00-05:00,6513.528021066135,33.25,49.875,49.875,49.875,49.875,TP
both_cap200,2018-02-14,2018,upper,2018-02-14 02:34:00-05:00,2018-02-14 08:30:00-05:00,6590.569710186437,8.0,12.0,12.0,12.0,12.0,TP
both_cap200,2018-02-20,2018,lower,2018-02-20 05:04:00-05:00,2018-02-20 06:23:00-05:00,6727.800168995409,34.0,51.0,51.0,51.0,0.0,BE
both_cap200,2018-03-02,2018,lower,2018-03-02 08:01:00-05:00,2018-03-02 09:12:00-05:00,6674.644394150568,44.5,66.75,66.75,66.75,0.0,BE
