level_id,level_index,level_session,created_at,expiry_at,sess_date,year,side,sign,level,touched_at,anchor,cutoff,entry_allowed,has_anchor,has_cutoff,pnl,exit,exit_time,tp_dist,sl_dist,variant
0:upper,0,2018-01-02,2018-01-02 10:30:00-05:00,2018-01-30 10:30:00-05:00,2018-01-03,2018,upper,-1.0,6529.134910517963,2018-01-03 04:06:00-05:00,5.75,2018-01-03 15:00:00-05:00,True,True,True,-0.0,BE,2018-01-03 04:53:00-05:00,8.625,8.625,base_legacy_entrybar
1:upper,1,2018-01-03,2018-01-03 10:30:00-05:00,2018-01-31 10:30:00-05:00,2018-01-04,2018,upper,-1.0,6591.363648739487,2018-01-03 19:09:00-05:00,6.0,2018-01-04 15:00:00-05:00,True,True,True,9.0,TP,2018-01-03 20:12:00-05:00,9.0,9.0,base_legacy_entrybar
4:upper,4,2018-01-08,2018-01-08 10:30:00-05:00,2018-02-05 10:30:00-05:00,2018-01-09,2018,upper,-1.0,6700.852925468027,2018-01-09 07:29:00-05:00,6.0,2018-01-09 15:00:00-05:00,True,True,True,-0.0,BE,2018-01-09 08:26:00-05:00,9.0,9.0,base_legacy_entrybar
5:lower,5,2018-01-09,2018-01-09 10:30:00-05:00,2018-02-06 10:30:00-05:00,2018-01-10,2018,lower,1.0,6644.365418961772,2018-01-10 05:59:00-05:00,7.0,2018-01-10 15:00:00-05:00,True,True,True,10.5,TP,2018-01-10 06:24:00-05:00,10.5,10.5,base_legacy_entrybar
4:lower,4,2018-01-08,2018-01-08 10:30:00-05:00,2018-02-05 10:30:00-05:00,2018-01-10,2018,lower,1.0,6629.772074531973,2018-01-10 10:02:00-05:00,35.5,2018-01-10 15:00:00-05:00,True,True,True,32.227925468027024,cutoff,2018-01-10 15:00:00-05:00,53.25,53.25,base_legacy_entrybar
5:upper,5,2018-01-09,2018-01-09 10:30:00-05:00,2018-02-06 10:30:00-05:00,2018-01-12,2018,upper,-1.0,6741.759581038228,2018-01-12 03:25:00-05:00,6.25,2018-01-12 15:00:00-05:00,True,True,True,-0.0,BE,2018-01-12 04:13:00-05:00,9.375,9.375,base_legacy_entrybar
9:upper,9,2018-01-15,2018-01-15 10:30:00-05:00,2018-02-12 10:30:00-05:00,2018-01-16,2018,upper,-1.0,6809.770647884909,2018-01-16 05:23:00-05:00,11.0,2018-01-16 15:00:00-05:00,True,True,True,-16.5,SL,2018-01-16 09:35:00-05:00,16.5,16.5,base_legacy_entrybar
12:upper,12,2018-01-18,2018-01-18 10:30:00-05:00,2018-02-15 10:30:00-05:00,2018-01-22,2018,upper,-1.0,6862.577746742863,2018-01-22 10:09:00-05:00,23.75,2018-01-22 15:00:00-05:00,True,True,True,-35.625,SL,2018-01-22 12:05:00-05:00,35.625,35.625,base_legacy_entrybar
15:upper,15,2018-01-23,2018-01-23 10:30:00-05:00,2018-02-20 10:30:00-05:00,2018-01-24,2018,upper,-1.0,6998.255469793344,2018-01-24 10:14:00-05:00,28.25,2018-01-24 15:00:00-05:00,True,True,True,42.375,TP,2018-01-24 11:13:00-05:00,42.375,42.375,base_legacy_entrybar
19:lower,19,2018-01-29,2018-01-29 10:30:00-05:00,2018-02-26 10:30:00-05:00,2018-01-30,2018,lower,1.0,6956.366742923148,2018-01-29 22:52:00-05:00,5.5,2018-01-30 15:00:00-05:00,True,True,True,8.25,TP,2018-01-29 22:56:00-05:00,8.25,8.25,base_legacy_entrybar
18:lower,18,2018-01-26,2018-01-26 10:30:00-05:00,2018-02-23 10:30:00-05:00,2018-01-30,2018,lower,1.0,6909.722612509674,2018-01-30 10:05:00-05:00,36.75,2018-01-30 15:00:00-05:00,True,True,True,55.125,TP,2018-01-30 11:09:00-05:00,55.125,55.125,base_legacy_entrybar
17:lower,17,2018-01-25,2018-01-25 10:30:00-05:00,2018-02-22 10:30:00-05:00,2018-02-02,2018,lower,1.0,6880.975997086674,2018-02-02 04:21:00-05:00,32.75,2018-02-02 15:00:00-05:00,True,True,True,-49.125,SL,2018-02-02 10:01:00-05:00,49.125,49.125,base_legacy_entrybar
25:upper,25,2018-02-06,2018-02-06 10:30:00-05:00,2018-03-06 10:30:00-05:00,2018-02-07,2018,upper,-1.0,6684.944584107352,2018-02-07 10:08:00-05:00,44.75,2018-02-07 15:00:00-05:00,True,True,True,67.125,TP,2018-02-07 13:06:00-05:00,67.125,67.125,base_legacy_entrybar
27:lower,27,2018-02-08,2018-02-08 10:30:00-05:00,2018-03-08 10:30:00-05:00,2018-02-08,2018,lower,1.0,6489.755992857791,2018-02-08 10:54:00-05:00,69.0,2018-02-08 15:00:00-05:00,True,True,True,0.0,BE,2018-02-08 11:40:00-05:00,103.5,103.5,base_legacy_entrybar
28:upper,28,2018-02-09,2018-02-09 10:30:00-05:00,2018-03-09 10:30:00-05:00,2018-02-12,2018,upper,-1.0,6513.528021066135,2018-02-12 09:44:00-05:00,33.25,2018-02-12 15:00:00-05:00,True,True,True,49.875,TP,2018-02-12 10:13:00-05:00,49.875,49.875,base_legacy_entrybar
30:upper,30,2018-02-13,2018-02-13 10:30:00-05:00,2018-03-13 10:30:00-04:00,2018-02-14,2018,upper,-1.0,6590.569710186437,2018-02-14 02:34:00-05:00,8.0,2018-02-14 15:00:00-05:00,True,True,True,12.0,TP,2018-02-14 08:30:00-05:00,12.0,12.0,base_legacy_entrybar
34:lower,34,2018-02-19,2018-02-19 10:30:00-05:00,2018-03-19 10:30:00-04:00,2018-02-20,2018,lower,1.0,6727.800168995409,2018-02-20 05:04:00-05:00,34.0,2018-02-20 15:00:00-05:00,True,True,True,0.0,BE,2018-02-20 06:23:00-05:00,51.0,51.0,base_legacy_entrybar
35:lower,35,2018-02-20,2018-02-20 10:30:00-05:00,2018-03-20 10:30:00-04:00,2018-03-02,2018,lower,1.0,6674.644394150568,2018-03-02 08:01:00-05:00,44.5,2018-03-02 15:00:00-05:00,True,True,True,0.0,BE,2018-03-02 09:12:00-05:00,66.75,66.75,base_legacy_entrybar
32:lower,32,2018-02-15,2018-02-15 10:30:00-05:00,2018-03-15 10:30:00-04:00,2018-03-02,2018,lower,1.0,6655.008211491266,2018-03-02 09:44:00-05:00,30.25,2018-03-02 15:00:00-05:00,True,True,True,45.375,TP,2018-03-02 10:33:00-05:00,45.375,45.375,base_legacy_entrybar
46:upper,46,2018-03-07,2018-03-07 10:30:00-05:00,2018-04-05 10:30:00-04:00,2018-03-08,2018,upper,-1.0,6945.66025015068,2018-03-08 01:37:00-05:00,5.0,2018-03-08 15:00:00-05:00,True,True,True,7.5,TP,2018-03-08 01:38:00-05:00,7.5,7.5,base_legacy_entrybar
42:upper,42,2018-03-01,2018-03-01 10:30:00-05:00,2018-03-29 10:30:00-04:00,2018-03-08,2018,upper,-1.0,6967.241668711537,2018-03-08 09:08:00-05:00,12.25,2018-03-08 15:00:00-05:00,True,True,True,-0.0,BE,2018-03-08 09:57:00-05:00,18.375,18.375,base_legacy_entrybar
41:upper,41,2018-02-28,2018-02-28 10:30:00-05:00,2018-03-28 10:30:00-04:00,2018-03-09,2018,upper,-1.0,7013.153575857334,2018-03-08 20:22:00-05:00,39.75,2018-03-09 15:00:00-05:00,True,True,True,-0.0,BE,2018-03-09 08:32:00-05:00,59.625,59.625,base_legacy_entrybar
40:upper,40,2018-02-27,2018-02-27 10:30:00-05:00,2018-03-27 10:30:00-04:00,2018-03-09,2018,upper,-1.0,7057.28680551017,2018-03-09 10:08:00-05:00,35.0,2018-03-09 15:00:00-05:00,True,True,True,-52.5,SL,2018-03-09 14:11:00-05:00,52.5,52.5,base_legacy_entrybar
49:upper,49,2018-03-12,2018-03-12 10:30:00-04:00,2018-04-10 10:30:00-04:00,2018-03-13,2018,upper,-1.0,7211.202029295153,2018-03-13 09:42:00-04:00,34.0,2018-03-13 15:00:00-04:00,True,True,True,51.0,TP,2018-03-13 10:55:00-04:00,51.0,51.0,base_legacy_entrybar
51:lower,51,2018-03-14,2018-03-14 10:30:00-04:00,2018-04-12 10:30:00-04:00,2018-03-15,2018,lower,1.0,7027.927462033644,2018-03-14 21:10:00-04:00,45.25,2018-03-15 15:00:00-04:00,True,True,True,67.875,TP,2018-03-15 11:25:00-04:00,67.875,67.875,base_legacy_entrybar
53:lower,53,2018-03-16,2018-03-16 10:30:00-04:00,2018-04-16 10:30:00-04:00,2018-03-19,2018,lower,1.0,7019.536644549242,2018-03-18 20:59:00-04:00,8.75,2018-03-19 15:00:00-04:00,True,True,True,-13.125,SL,2018-03-18 21:09:00-04:00,13.125,13.125,base_legacy_entrybar
55:lower,55,2018-03-20,2018-03-20 10:30:00-04:00,2018-04-18 10:30:00-04:00,2018-03-22,2018,lower,1.0,6815.833165584705,2018-03-22 03:59:00-04:00,26.75,2018-03-22 15:00:00-04:00,True,True,True,0.0,BE,2018-03-22 05:13:00-04:00,40.125,40.125,base_legacy_entrybar
46:lower,46,2018-03-07,2018-03-07 10:30:00-05:00,2018-04-05 10:30:00-04:00,2018-03-22,2018,lower,1.0,6796.46474984932,2018-03-22 06:50:00-04:00,38.0,2018-03-22 15:00:00-04:00,True,True,True,0.0,BE,2018-03-22 08:36:00-04:00,57.0,57.0,base_legacy_entrybar
58:upper,58,2018-03-23,2018-03-23 10:30:00-04:00,2018-04-23 10:30:00-04:00,2018-03-27,2018,upper,-1.0,6796.0404081907745,2018-03-26 20:01:00-04:00,16.25,2018-03-27 15:00:00-04:00,True,True,True,-24.375,SL,2018-03-26 21:20:00-04:00,24.375,24.375,base_legacy_entrybar
68:upper,68,2018-04-09,2018-04-09 10:30:00-04:00,2018-05-07 10:30:00-04:00,2018-04-10,2018,upper,-1.0,6618.015361193202,2018-04-09 22:42:00-04:00,70.5,2018-04-10 15:00:00-04:00,True,True,True,-0.0,BE,2018-04-10 02:31:00-04:00,105.75,105.75,base_legacy_entrybar
69:upper,69,2018-04-10,2018-04-10 10:30:00-04:00,2018-05-08 10:30:00-04:00,2018-04-12,2018,upper,-1.0,6674.120573515432,2018-04-12 09:59:00-04:00,11.75,2018-04-12 15:00:00-04:00,True,True,True,17.625,TP,2018-04-12 11:52:00-04:00,17.625,17.625,base_legacy_entrybar
