level_id,hmm3_state,hmm3_prob
0_upper,,
1_upper,,
4_upper,,
4_lower,,
5_upper,,
5_lower,,
9_upper,,
10_upper,,
12_upper,,
15_upper,,
17_lower,HIGH_VOL,1.0
18_lower,HIGH_VOL,1.0
19_lower,HIGH_VOL,1.0
20_lower,HIGH_VOL,0.9999999998734573
22_lower,HIGH_VOL,0.9999986546002476
25_upper,HIGH_VOL,1.0
27_lower,HIGH_VOL,1.0
28_upper,HIGH_VOL,0.9999999999999065
29_upper,HIGH_VOL,0.9846322409892285
30_upper,MID_VOL,0.9973337541379103
32_lower,HIGH_VOL,1.0
34_lower,MID_VOL,0.9959366815116689
35_lower,HIGH_VOL,0.9999999981682419
40_upper,HIGH_VOL,1.0
41_upper,MID_VOL,0.8927454705299268
42_upper,MID_VOL,0.8275576877118207
45_upper,MID_VOL,0.6898149270806059
46_upper,HIGH_VOL,0.7134794271271716
46_lower,MID_VOL,0.7787463347629099
47_upper,MID_VOL,0.8385357700689001
48_lower,MID_VOL,0.9766211491707225
49_upper,MID_VOL,0.9993071416752821
51_lower,MID_VOL,0.6919059200867707
52_lower,MID_VOL,0.9766211491707225
53_lower,LOW_VOL,0.5381372837934784
55_lower,HIGH_VOL,0.9999999999993416
56_lower,HIGH_VOL,0.9999999999993416
58_upper,MID_VOL,0.790976881859668
68_upper,HIGH_VOL,1.0
69_upper,HIGH_VOL,0.999999999999973
70_upper,HIGH_VOL,0.9999999911917726
71_upper,LOW_VOL,0.5398241166865743
72_upper,HIGH_VOL,0.90670577599826
73_upper,MID_VOL,0.7419503135391236
75_lower,MID_VOL,0.8997014027011659
76_lower,MID_VOL,0.6166600160199195
77_upper,LOW_VOL,0.5561341529935193
78_upper,LOW_VOL,0.7778266542565497
78_lower,HIGH_VOL,1.0
80_upper,HIGH_VOL,0.9999999794214526
86_upper,HIGH_VOL,1.0
91_lower,HIGH_VOL,0.9999999999999833
92_upper,LOW_VOL,0.5377957030069327
92_lower,MID_VOL,0.8255398251600129
93_upper,HIGH_VOL,0.9999169666329779
93_lower,MID_VOL,0.9450306090952374
94_upper,MID_VOL,0.5827579712290503
94_lower,LOW_VOL,0.7926523729662732
95_upper,HIGH_VOL,0.999473579484253
95_lower,HIGH_VOL,0.9999980945267941
96_upper,MID_VOL,0.5827579712290503
96_lower,MID_VOL,0.5310686635140995
97_lower,LOW_VOL,0.7926523729662732
98_upper,LOW_VOL,0.694737463036728
98_lower,MID_VOL,0.7987396632569321
99_upper,LOW_VOL,0.694737463036728
99_lower,MID_VOL,0.6074382494770736
102_lower,HIGH_VOL,0.9989776996303585
103_lower,HIGH_VOL,0.9999999916838689
106_upper,HIGH_VOL,0.9999169666329779
107_upper,LOW_VOL,0.5736541806874008
108_upper,LOW_VOL,0.7112282777288811
110_upper,MID_VOL,0.5589257816024493
110_lower,HIGH_VOL,0.9999999967205279
111_upper,MID_VOL,0.46013723896981856
112_upper,HIGH_VOL,0.9999919133702455
112_lower,HIGH_VOL,1.0
113_lower,MID_VOL,0.5530213964344912
114_upper,LOW_VOL,0.6098612654130345
114_lower,HIGH_VOL,0.9999994708662494
115_upper,HIGH_VOL,0.9999999996776272
115_lower,HIGH_VOL,0.999473417913416
116_upper,LOW_VOL,0.7623204989561083
116_lower,HIGH_VOL,0.9999554915021714
117_lower,LOW_VOL,0.5991067351528891
118_upper,MID_VOL,0.8562240528780586
118_lower,MID_VOL,0.9992856428551953
119_upper,LOW_VOL,0.5277118588583029
119_lower,HIGH_VOL,1.0
120_upper,LOW_VOL,0.7623204989561083
120_lower,HIGH_VOL,1.0
121_upper,LOW_VOL,0.5728446928593399
121_lower,HIGH_VOL,1.0
122_upper,HIGH_VOL,0.933378405978366
122_lower,LOW_VOL,0.6776978737444376
123_upper,LOW_VOL,0.6512611721724433
124_upper,HIGH_VOL,0.9444033135267489
126_upper,HIGH_VOL,0.8640299057187576
127_upper,LOW_VOL,0.6292010815433734
127_lower,LOW_VOL,0.5563405621013783
131_upper,MID_VOL,0.6738717085455068
133_upper,LOW_VOL,0.8097863665191422
135_upper,HIGH_VOL,0.9999944003259857
136_lower,HIGH_VOL,1.0
137_upper,LOW_VOL,0.5197846943576545
138_upper,LOW_VOL,0.6419871039845608
139_lower,HIGH_VOL,1.0
140_upper,LOW_VOL,0.6654698575297162
140_lower,MID_VOL,0.8953739882449221
141_upper,LOW_VOL,0.5197846943576545
141_lower,HIGH_VOL,1.0
142_upper,LOW_VOL,0.90135572250152
142_lower,LOW_VOL,0.5966041802289468
146_upper,HIGH_VOL,0.9999964268141966
152_lower,HIGH_VOL,1.0
153_upper,LOW_VOL,0.6300910493437843
153_lower,HIGH_VOL,1.0
154_upper,LOW_VOL,0.6653779207163114
154_lower,HIGH_VOL,0.9999999999999889
156_upper,LOW_VOL,0.5704995455260206
156_lower,MID_VOL,0.5022402308964555
157_upper,HIGH_VOL,0.9999934131901947
157_lower,HIGH_VOL,1.0
158_lower,HIGH_VOL,1.0
159_lower,HIGH_VOL,1.0
160_upper,HIGH_VOL,0.9998595099295294
161_upper,HIGH_VOL,1.0
161_lower,MID_VOL,0.6044321166027374
163_upper,HIGH_VOL,0.9999999999999988
164_upper,HIGH_VOL,0.9999999999999988
164_lower,HIGH_VOL,0.8878686496335192
165_upper,HIGH_VOL,0.9999999999997834
167_lower,HIGH_VOL,0.9999999999999999
168_upper,MID_VOL,0.6122950181375059
168_lower,HIGH_VOL,1.0
169_upper,HIGH_VOL,0.998874059424337
169_lower,HIGH_VOL,1.0
170_lower,HIGH_VOL,1.0
171_lower,MID_VOL,0.8490253778578837
172_lower,HIGH_VOL,1.0
173_upper,MID_VOL,0.9875745848918488
173_lower,HIGH_VOL,0.9930593648102503
174_upper,MID_VOL,0.9783318902309808
174_lower,HIGH_VOL,1.0
175_upper,LOW_VOL,0.5218828443428977
175_lower,HIGH_VOL,1.0
176_upper,LOW_VOL,0.6012684932915814
177_upper,LOW_VOL,0.6746071195654473
178_upper,MID_VOL,0.5436574261301963
179_upper,LOW_VOL,0.6746071195654473
180_upper,HIGH_VOL,1.0
181_upper,LOW_VOL,0.6012684932915814
182_lower,HIGH_VOL,0.6047778645350693
183_upper,MID_VOL,0.5648303306644594
184_upper,HIGH_VOL,1.0
186_lower,HIGH_VOL,0.977452676135054
187_upper,LOW_VOL,0.9984723470795116
190_lower,HIGH_VOL,1.0
191_upper,LOW_VOL,0.8748129402027042
191_lower,HIGH_VOL,0.9999999999999967
192_upper,LOW_VOL,0.9951551535789668
192_lower,HIGH_VOL,1.0
193_lower,HIGH_VOL,0.9186129367640139
194_lower,HIGH_VOL,1.0
195_lower,MID_VOL,0.8490034691760647
198_lower,HIGH_VOL,1.0
199_lower,HIGH_VOL,1.0
203_lower,HIGH_VOL,0.9999999429909535
208_lower,HIGH_VOL,0.9999999965602689
211_lower,HIGH_VOL,1.0
214_upper,HIGH_VOL,0.5447498006597724
214_lower,HIGH_VOL,0.9999944240962582
215_upper,HIGH_VOL,1.0
215_lower,HIGH_VOL,0.9999999967938391
216_upper,MID_VOL,0.9861537144777884
217_lower,HIGH_VOL,1.0
218_upper,HIGH_VOL,1.0
218_lower,HIGH_VOL,0.9999999967938391
219_upper,HIGH_VOL,0.9987009827403883
220_lower,HIGH_VOL,0.9999243315853474
221_lower,HIGH_VOL,0.9117197636959204
227_lower,HIGH_VOL,1.0
229_upper,HIGH_VOL,0.9999468036329789
230_lower,HIGH_VOL,0.9998884887138715
231_upper,HIGH_VOL,0.9999989924466791
232_upper,HIGH_VOL,0.9999999846008135
233_upper,LOW_VOL,0.5711253036153124
234_lower,HIGH_VOL,1.0
242_upper,HIGH_VOL,0.9671690012315366
244_lower,HIGH_VOL,0.9999999999260516
245_lower,HIGH_VOL,0.9999999999260516
254_upper,LOW_VOL,0.6963239060933171
509_lower,HIGH_VOL,0.9999999999728654
511_lower,HIGH_VOL,0.9999999999728654
514_lower,HIGH_VOL,0.9999994900469484
515_upper,MID_VOL,0.8038947664067896
515_lower,HIGH_VOL,0.9999999999719069
519_lower,HIGH_VOL,0.9994115480469289
520_lower,HIGH_VOL,0.9999999999998668
521_lower,MID_VOL,0.7903397055795992
522_lower,HIGH_VOL,0.9241539671377903
523_lower,MID_VOL,0.6595992060396145
524_upper,LOW_VOL,0.506952843027052
525_upper,LOW_VOL,0.588931954754249
526_upper,LOW_VOL,0.5981655071263428
526_lower,MID_VOL,0.5153548783684829
527_upper,LOW_VOL,0.5981655071263428
528_upper,HIGH_VOL,1.0
528_lower,HIGH_VOL,1.0
529_upper,MID_VOL,0.9371378378732222
531_upper,HIGH_VOL,1.0
533_upper,HIGH_VOL,0.9999272049057741
533_lower,HIGH_VOL,1.0
535_upper,HIGH_VOL,1.0
536_upper,HIGH_VOL,0.9999999988841575
537_lower,HIGH_VOL,1.0
538_upper,HIGH_VOL,0.9996494184322292
541_lower,HIGH_VOL,0.9941803064615377
542_upper,LOW_VOL,0.5919257617270319
543_upper,MID_VOL,0.8120975136284587
543_lower,HIGH_VOL,1.0
544_upper,LOW_VOL,0.5730067627237506
545_upper,MID_VOL,0.663745987687397
546_upper,HIGH_VOL,0.9999458751797772
547_upper,MID_VOL,0.7130417262924351
547_lower,HIGH_VOL,1.0
553_lower,HIGH_VOL,0.9999999993358164
555_upper,HIGH_VOL,1.0
555_lower,LOW_VOL,0.9990626632074067
558_lower,HIGH_VOL,0.9999999998440459
559_lower,HIGH_VOL,0.9999999776441261
561_lower,LOW_VOL,0.9991025379759457
565_lower,HIGH_VOL,1.0
566_upper,HIGH_VOL,1.0
567_upper,HIGH_VOL,1.0
568_upper,HIGH_VOL,1.0
