candidate,pass,all4_profitable,n_years_helped,pf_delta,dd_improve_pct,min_trades_ok,min_per_year_ok,ex2026_ok,n_trades,PF,net_pts
garch_LOW_only_3367,False,False,2,-0.2765,31.1,False,False,True,83,1.1427,214.72
garch_MID_only_3367,False,False,3,-0.0174,20.8,False,False,True,74,1.4018,591.15
garch_HIGH_only_3367,False,True,4,0.1143,29.9,False,False,True,81,1.5335,898.93
garch_exclude_LOW_3367,True,True,4,0.0965,33.6,True,True,True,150,1.5157,1543.95
garch_exclude_HIGH_3367,False,False,2,-0.1303,-24.4,True,True,True,153,1.2889,844.18
garch_LOW_only_2575,False,False,3,-0.1638,35.0,False,False,True,71,1.2554,317.51
garch_MID_only_2575,False,False,2,-0.3214,-47.4,False,True,False,101,1.0978,212.95
garch_HIGH_only_2575,False,True,4,0.6371,29.9,False,False,True,65,2.0563,1239.58
garch_exclude_LOW_2575,False,False,3,0.0234,8.9,True,True,True,162,1.4426,1440.66
garch_exclude_HIGH_2575,False,False,2,-0.2501,-47.5,True,True,True,168,1.1691,569.28
garch_LOW_only_4060,False,False,2,-0.2656,27.5,False,True,True,100,1.1536,298.89
garch_MID_only_4060,False,False,2,0.0954,13.1,False,False,True,46,1.5146,377.08
garch_HIGH_only_4060,False,True,4,0.1664,42.4,False,False,True,92,1.5856,1095.35
garch_exclude_LOW_4060,False,False,3,0.1777,27.3,False,True,True,137,1.5969,1523.43
garch_exclude_HIGH_4060,False,False,2,-0.1674,-43.8,False,True,True,140,1.2518,660.84
hmm2_LOW_only,False,False,2,-0.485,1.9,False,False,True,68,0.9342,-94.02
hmm2_HIGH_only,True,True,4,0.1756,20.3,True,True,True,187,1.5948,2013.55
hmm3_LOW_VOL_only,False,True,4,-0.212,53.3,False,False,True,38,1.2072,137.31
hmm3_exclude_LOW_VOL,False,True,4,-0.0097,-1.8,True,True,True,214,1.4095,1699.13
hmm3_MID_VOL_only,False,False,2,-0.6373,12.4,False,False,True,48,0.7819,-232.59
hmm3_exclude_MID_VOL,True,True,4,0.2009,12.7,True,True,True,209,1.6201,2320.36
hmm3_HIGH_VOL_only,True,True,4,0.2531,20.3,True,True,True,173,1.6723,2118.51
hmm3_exclude_HIGH_VOL,False,False,2,-0.45,28.2,False,False,True,81,0.9692,-51.28
