scale,a,b,gamma,gamma_PF,control_PF,delta_PF,gamma_avg_R,control_avg_R,delta_avg_R,gamma_max_dd_R,control_max_dd_R,gamma_net_pts,control_net_pts
S1_range30m,0.75,0.75,0.15,0.8221,0.8369,-0.014799999999999924,-0.0942,-0.0857,-0.008500000000000008,-236.0429,-220.7067,-2885.48,-2581.68
S1_range30m,0.75,0.75,0.3,0.817,0.8369,-0.01990000000000003,-0.0971,-0.0857,-0.011400000000000007,-243.2082,-220.7067,-2148.09,-2581.68
S1_range30m,0.75,0.75,-0.15,0.8312,0.8369,-0.005699999999999927,-0.0893,-0.0857,-0.003600000000000006,-233.4645,-220.7067,-1774.3,-2581.68
S1_range30m,0.75,0.75,-0.3,0.8411,0.8369,0.0041999999999999815,-0.0836,-0.0857,0.0021000000000000046,-218.4372,-220.7067,-914.01,-2581.68
S1_range30m,0.75,1.0,0.15,0.8266,0.822,0.0046000000000000485,-0.077,-0.0792,0.0022000000000000075,-190.4584,-198.3285,-3121.4,-3562.68
S1_range30m,0.75,1.0,0.3,0.8244,0.822,0.0024000000000000687,-0.0779,-0.0792,0.0013000000000000095,-189.9281,-198.3285,-3415.41,-3562.68
S1_range30m,0.75,1.0,-0.15,0.8247,0.822,0.0027000000000000357,-0.0784,-0.0792,0.000800000000000009,-200.0882,-198.3285,-3182.13,-3562.68
S1_range30m,0.75,1.0,-0.3,0.8256,0.822,0.0036000000000000476,-0.0782,-0.0792,0.0010000000000000009,-199.1037,-198.3285,-2283.11,-3562.68
S1_range30m,0.75,1.25,0.15,0.8386,0.8102,0.02839999999999998,-0.0611,-0.0734,0.012300000000000005,-171.1462,-176.2531,-2743.96,-5257.08
S1_range30m,0.75,1.25,0.3,0.8351,0.8102,0.024899999999999922,-0.0624,-0.0734,0.01100000000000001,-174.2022,-176.2531,-2800.96,-5257.08
S1_range30m,0.75,1.25,-0.15,0.8072,0.8102,-0.0030000000000000027,-0.0751,-0.0734,-0.0016999999999999932,-181.1591,-176.2531,-5140.3,-5257.08
S1_range30m,0.75,1.25,-0.3,0.8115,0.8102,0.0012999999999999678,-0.0735,-0.0734,-9.999999999998899e-05,-180.3771,-176.2531,-4406.87,-5257.08
S1_range30m,0.75,1.5,0.15,0.8274,0.8092,0.018199999999999994,-0.0577,-0.0647,0.006999999999999992,-149.5384,-162.8347,-2553.91,-4617.9
S1_range30m,0.75,1.5,0.3,0.8183,0.8092,0.009099999999999997,-0.0611,-0.0647,0.003599999999999992,-156.3501,-162.8347,-2211.28,-4617.9
