scale,a,b,gamma,gamma_PF,control_PF,delta_PF,gamma_avg_R,control_avg_R,delta_avg_R,gamma_max_dd_R,control_max_dd_R,gamma_net_pts,control_net_pts
S1_range30m,1.75,1.75,-0.15,0.909,0.8959,0.0131,-0.0386,-0.0442,0.005600000000000001,-101.7242,-112.7948,-1267.63,-1488.84
S1_range30m,1.75,1.75,-0.3,0.8951,0.8959,-0.0008000000000000229,-0.045,-0.0442,-0.0007999999999999952,-111.8528,-112.7948,-3130.26,-1488.84
S1_range30m,1.75,2.0,0.15,0.9097,0.9055,0.0041999999999999815,-0.035,-0.0366,0.0015999999999999973,-94.1745,-96.5793,-676.84,-1361.31
S1_range30m,1.75,2.0,0.3,0.905,0.9055,-0.0004999999999999449,-0.0367,-0.0366,-0.00010000000000000286,-95.7534,-96.5793,-412.9,-1361.31
S1_range30m,1.75,2.0,-0.15,0.9099,0.9055,0.0044000000000000705,-0.0351,-0.0366,0.0015000000000000013,-92.6816,-96.5793,-1417.75,-1361.31
S1_range30m,1.75,2.0,-0.3,0.9115,0.9055,0.006000000000000005,-0.0345,-0.0366,0.0020999999999999977,-94.1209,-96.5793,-1107.8,-1361.31
S1_range30m,2.0,0.5,0.15,0.8605,0.8357,0.024800000000000044,-0.1124,-0.1333,0.020900000000000002,-304.8646,-352.5729,-2728.54,-3557.1
S1_range30m,2.0,0.5,0.3,0.8425,0.8357,0.006800000000000028,-0.127,-0.1333,0.0063,-335.038,-352.5729,-3628.44,-3557.1
S1_range30m,2.0,0.5,-0.15,0.8356,0.8357,-9.999999999998899e-05,-0.1342,-0.1333,-0.0009000000000000119,-355.6879,-352.5729,-4387.02,-3557.1
S1_range30m,2.0,0.5,-0.3,0.8467,0.8357,0.01100000000000001,-0.1251,-0.1333,0.008200000000000013,-336.8967,-352.5729,-3923.67,-3557.1
S1_range30m,2.0,0.75,0.15,0.8641,0.8798,-0.015700000000000047,-0.0943,-0.0831,-0.011200000000000002,-240.6875,-222.2697,-3796.63,-3812.16
S1_range30m,2.0,0.75,0.3,0.8619,0.8798,-0.017900000000000027,-0.0958,-0.0831,-0.012700000000000003,-246.7157,-222.2697,-2762.64,-3812.16
S1_range30m,2.0,0.75,-0.15,0.8658,0.8798,-0.014000000000000012,-0.0935,-0.0831,-0.010400000000000006,-242.5486,-222.2697,-4058.88,-3812.16
S1_range30m,2.0,0.75,-0.3,0.874,0.8798,-0.005800000000000027,-0.0876,-0.0831,-0.004500000000000004,-230.2872,-222.2697,-2983.29,-3812.16
S1_range30m,2.0,1.0,0.15,0.881,0.8844,-0.0033999999999999586,-0.0721,-0.07,-0.0020999999999999908,-188.2934,-192.5765,-3774.16,-3825.76
S1_range30m,2.0,1.0,0.3,0.8793,0.8844,-0.005099999999999993,-0.073,-0.07,-0.002999999999999989,-195.9817,-192.5765,-3789.44,-3825.76
S1_range30m,2.0,1.0,-0.15,0.8836,0.8844,-0.0007999999999999119,-0.0711,-0.07,-0.0010999999999999899,-200.5142,-192.5765,-4040.88,-3825.76
S1_range30m,2.0,1.0,-0.3,0.8834,0.8844,-0.0010000000000000009,-0.0716,-0.07,-0.0015999999999999903,-195.4733,-192.5765,-4003.96,-3825.76
S1_range30m,2.0,1.25,0.15,0.8862,0.8739,0.012299999999999978,-0.0615,-0.0686,0.007099999999999995,-181.3768,-180.5015,-3165.47,-5449.35
S1_range30m,2.0,1.25,0.3,0.8926,0.8739,0.01869999999999994,-0.0577,-0.0686,0.010899999999999993,-173.4093,-180.5015,-2546.14,-5449.35
S1_range30m,2.0,1.25,-0.15,0.8813,0.8739,0.007399999999999962,-0.0648,-0.0686,0.003799999999999998,-173.7081,-180.5015,-5699.1,-5449.35
S1_range30m,2.0,1.25,-0.3,0.8968,0.8739,0.02290000000000003,-0.0561,-0.0686,0.012499999999999997,-155.499,-180.5015,-5239.19,-5449.35
S1_range30m,2.0,1.5,0.15,0.9015,0.9033,-0.0018000000000000238,-0.0478,-0.047,-0.0008000000000000021,-137.5326,-133.2688,-1195.63,-2620.4
S1_range30m,2.0,1.5,0.3,0.9131,0.9033,0.009800000000000031,-0.0419,-0.047,0.0051,-127.6151,-133.2688,652.32,-2620.4
S1_range30m,2.0,1.5,-0.15,0.8879,0.9033,-0.01539999999999997,-0.0552,-0.047,-0.008199999999999999,-148.5393,-133.2688,-4368.5,-2620.4
S1_range30m,2.0,1.5,-0.3,0.8971,0.9033,-0.006199999999999983,-0.0505,-0.047,-0.003500000000000003,-134.2453,-133.2688,-4397.69,-2620.4
S1_range30m,2.0,1.75,0.15,0.9225,0.9143,0.008199999999999985,-0.0338,-0.0376,0.0038000000000000048,-110.3328,-107.5293,999.72,-865.09
S1_range30m,2.0,1.75,0.3,0.9227,0.9143,0.008399999999999963,-0.0337,-0.0376,0.0039000000000000007,-112.2261,-107.5293,1989.32,-865.09
S1_range30m,2.0,1.75,-0.15,0.9174,0.9143,0.0030999999999999917,-0.0365,-0.0376,0.0011000000000000038,-103.479,-107.5293,-1411.53,-865.09
S1_range30m,2.0,1.75,-0.3,0.921,0.9143,0.006700000000000039,-0.035,-0.0376,0.002599999999999998,-93.9479,-107.5293,-3043.1,-865.09
S1_range30m,2.0,2.0,0.15,0.9268,0.9332,-0.006400000000000072,-0.0295,-0.0267,-0.002799999999999997,-95.376,-87.4154,427.89,-255.69
S1_range30m,2.0,2.0,0.3,0.9314,0.9332,-0.0018000000000000238,-0.0275,-0.0267,-0.0007999999999999986,-89.2179,-87.4154,1898.72,-255.69
S1_range30m,2.0,2.0,-0.15,0.9216,0.9332,-0.011600000000000055,-0.0319,-0.0267,-0.005199999999999996,-92.3034,-87.4154,-1570.96,-255.69
S1_range30m,2.0,2.0,-0.3,0.9376,0.9332,0.0043999999999999595,-0.0252,-0.0267,0.0015000000000000013,-80.1563,-87.4154,-835.32,-255.69
S2_atr60m,0.5,0.5,0.15,0.8149,0.826,-0.011099999999999999,-0.1017,-0.0949,-0.0068000000000000005,-298.9814,-279.9672,-3662.65,-3477.79
S2_atr60m,0.5,0.5,0.3,0.8177,0.826,-0.008299999999999974,-0.0999,-0.0949,-0.0050000000000000044,-289.5711,-279.9672,-3450.69,-3477.79
S2_atr60m,0.5,0.5,-0.15,0.844,0.826,0.018000000000000016,-0.0843,-0.0949,0.010599999999999998,-257.1317,-279.9672,-2383.63,-3477.79
S2_atr60m,0.5,0.5,-0.3,0.8459,0.826,0.01990000000000003,-0.0832,-0.0949,0.011700000000000002,-258.6249,-279.9672,-1972.84,-3477.79
S2_atr60m,0.5,0.75,0.15,0.8112,0.8199,-0.00869999999999993,-0.0822,-0.0779,-0.004299999999999998,-233.131,-224.5477,-4905.33,-4433.51
S2_atr60m,0.5,0.75,0.3,0.8214,0.8199,0.0015000000000000568,-0.0771,-0.0779,0.0007999999999999952,-219.4001,-224.5477,-4694.93,-4433.51
S2_atr60m,0.5,0.75,-0.15,0.83,0.8199,0.010099999999999998,-0.0731,-0.0779,0.004799999999999999,-214.7365,-224.5477,-3239.13,-4433.51
S2_atr60m,0.5,0.75,-0.3,0.8298,0.8199,0.00990000000000002,-0.0732,-0.0779,0.004699999999999996,-215.7911,-224.5477,-2891.89,-4433.51
S2_atr60m,0.5,1.0,0.15,0.7986,0.8156,-0.017000000000000015,-0.0733,-0.0662,-0.007100000000000009,-205.9764,-188.6078,-4711.41,-4096.82
S2_atr60m,0.5,1.0,0.3,0.7821,0.8156,-0.033499999999999974,-0.0802,-0.0662,-0.013999999999999999,-222.11,-188.6078,-4909.5,-4096.82
S2_atr60m,0.5,1.0,-0.15,0.8036,0.8156,-0.01200000000000001,-0.0713,-0.0662,-0.005100000000000007,-197.9276,-188.6078,-4559.46,-4096.82
S2_atr60m,0.5,1.0,-0.3,0.8062,0.8156,-0.009399999999999964,-0.0702,-0.0662,-0.0040000000000000036,-194.1264,-188.6078,-4311.47,-4096.82
S2_atr60m,0.5,1.25,0.15,0.8192,0.8338,-0.014599999999999946,-0.0551,-0.0501,-0.0050000000000000044,-155.577,-144.5722,-4632.85,-4091.98
S2_atr60m,0.5,1.25,0.3,0.8127,0.8338,-0.021100000000000008,-0.0574,-0.0501,-0.007300000000000001,-158.867,-144.5722,-4753.38,-4091.98
S2_atr60m,0.5,1.25,-0.15,0.8364,0.8338,0.0026000000000000467,-0.0493,-0.0501,0.0008000000000000021,-139.605,-144.5722,-3873.7,-4091.98
S2_atr60m,0.5,1.25,-0.3,0.8314,0.8338,-0.0023999999999999577,-0.0511,-0.0501,-0.0010000000000000009,-145.1906,-144.5722,-3771.69,-4091.98
S2_atr60m,0.5,1.5,0.15,0.8115,0.8059,0.005600000000000049,-0.0505,-0.0524,0.001899999999999999,-137.2707,-140.1838,-4476.91,-5032.44
S2_atr60m,0.5,1.5,0.3,0.8133,0.8059,0.007400000000000073,-0.0499,-0.0524,0.0025000000000000022,-135.8164,-140.1838,-3791.54,-5032.44
S2_atr60m,0.5,1.5,-0.15,0.8056,0.8059,-0.00029999999999996696,-0.0525,-0.0524,-9.999999999999593e-05,-140.0,-140.1838,-4533.32,-5032.44
S2_atr60m,0.5,1.5,-0.3,0.8099,0.8059,0.0040000000000000036,-0.0512,-0.0524,0.0011999999999999997,-137.6413,-140.1838,-4126.31,-5032.44
S2_atr60m,0.5,1.75,0.15,0.8091,0.8134,-0.0042999999999999705,-0.0454,-0.0443,-0.0011000000000000038,-119.4768,-113.7772,-4315.26,-4340.29
S2_atr60m,0.5,1.75,0.3,0.8133,0.8134,-9.999999999998899e-05,-0.0441,-0.0443,0.0001999999999999988,-119.6736,-113.7772,-4016.58,-4340.29
S2_atr60m,0.5,1.75,-0.15,0.8169,0.8134,0.0034999999999999476,-0.0434,-0.0443,0.000899999999999998,-114.4474,-113.7772,-4657.63,-4340.29
S2_atr60m,0.5,1.75,-0.3,0.8116,0.8134,-0.0018000000000000238,-0.0448,-0.0443,-0.0005000000000000004,-118.4129,-113.7772,-4202.18,-4340.29
S2_atr60m,0.5,2.0,0.15,0.8098,0.8101,-0.000300000000000078,-0.0405,-0.0405,0.0,-106.8336,-106.1504,-4144.27,-4235.84
S2_atr60m,0.5,2.0,0.3,0.8124,0.8101,0.0022999999999999687,-0.0398,-0.0405,0.0006999999999999992,-108.5392,-106.1504,-3990.95,-4235.84
S2_atr60m,0.5,2.0,-0.15,0.802,0.8101,-0.008099999999999996,-0.0425,-0.0405,-0.0020000000000000018,-106.612,-106.1504,-4894.0,-4235.84
S2_atr60m,0.5,2.0,-0.3,0.807,0.8101,-0.0030999999999999917,-0.0413,-0.0405,-0.0008000000000000021,-104.0395,-106.1504,-4665.07,-4235.84
S2_atr60m,0.75,0.5,0.15,0.8465,0.8538,-0.007299999999999973,-0.0987,-0.0938,-0.004900000000000002,-292.5889,-285.3871,-3019.52,-2781.25
S2_atr60m,0.75,0.5,0.3,0.8593,0.8538,0.005499999999999949,-0.0899,-0.0938,0.0039000000000000007,-276.2928,-285.3871,-2304.33,-2781.25
S2_atr60m,0.75,0.5,-0.15,0.8831,0.8538,0.029299999999999993,-0.0739,-0.0938,0.0199,-238.6124,-285.3871,-2019.13,-2781.25
S2_atr60m,0.75,0.5,-0.3,0.8865,0.8538,0.03269999999999995,-0.0718,-0.0938,0.021999999999999992,-235.1722,-285.3871,-1764.0,-2781.25
S2_atr60m,0.75,0.75,0.15,0.8592,0.8572,0.0020000000000000018,-0.0735,-0.0747,0.0012000000000000066,-211.7106,-215.5572,-3438.52,-3319.25
S2_atr60m,0.75,0.75,0.3,0.8709,0.8572,0.013700000000000045,-0.0669,-0.0747,0.007800000000000001,-200.5109,-215.5572,-2938.47,-3319.25
S2_atr60m,0.75,0.75,-0.15,0.8603,0.8572,0.0030999999999999917,-0.0729,-0.0747,0.001799999999999996,-216.816,-215.5572,-3294.39,-3319.25
S2_atr60m,0.75,0.75,-0.3,0.8606,0.8572,0.0034000000000000696,-0.0728,-0.0747,0.001899999999999999,-213.1324,-215.5572,-3268.35,-3319.25
S2_atr60m,0.75,1.0,0.15,0.8551,0.8687,-0.013600000000000056,-0.0642,-0.0578,-0.006399999999999996,-185.3277,-167.8141,-2535.72,-2201.52
S2_atr60m,0.75,1.0,0.3,0.8476,0.8687,-0.021100000000000008,-0.0678,-0.0578,-0.010000000000000002,-196.3919,-167.8141,-2256.72,-2201.52
S2_atr60m,0.75,1.0,-0.15,0.8511,0.8687,-0.01760000000000006,-0.0662,-0.0578,-0.008399999999999998,-186.176,-167.8141,-3895.26,-2201.52
S2_atr60m,0.75,1.0,-0.3,0.8566,0.8687,-0.0121,-0.0636,-0.0578,-0.0058000000000000065,-177.623,-167.8141,-3724.38,-2201.52
S2_atr60m,0.75,1.25,0.15,0.8656,0.8715,-0.005900000000000016,-0.0512,-0.0488,-0.0023999999999999994,-153.2925,-148.7952,-2495.94,-2149.43
S2_atr60m,0.75,1.25,0.3,0.8673,0.8715,-0.0042000000000000925,-0.0504,-0.0488,-0.0015999999999999973,-150.4848,-148.7952,-2043.82,-2149.43
S2_atr60m,0.75,1.25,-0.15,0.8717,0.8715,0.00019999999999997797,-0.0487,-0.0488,0.00010000000000000286,-147.0301,-148.7952,-3130.57,-2149.43
S2_atr60m,0.75,1.25,-0.3,0.8799,0.8715,0.008399999999999963,-0.0455,-0.0488,0.0033000000000000043,-134.3916,-148.7952,-3054.75,-2149.43
S2_atr60m,0.75,1.5,0.15,0.8585,0.8488,0.009700000000000042,-0.0479,-0.0516,0.003700000000000002,-140.4405,-147.5555,-2381.02,-3131.83
S2_atr60m,0.75,1.5,0.3,0.8737,0.8488,0.024900000000000033,-0.0421,-0.0516,0.009500000000000001,-128.8454,-147.5555,-833.05,-3131.83
S2_atr60m,0.75,1.5,-0.15,0.8447,0.8488,-0.0040999999999999925,-0.0531,-0.0516,-0.0015000000000000013,-152.6227,-147.5555,-3697.24,-3131.83
S2_atr60m,0.75,1.5,-0.3,0.8575,0.8488,0.008700000000000041,-0.0484,-0.0516,0.0032000000000000015,-137.5255,-147.5555,-3176.38,-3131.83
S2_atr60m,0.75,1.75,0.15,0.8602,0.8516,0.008599999999999941,-0.0422,-0.0451,0.0029,-128.9573,-130.2905,-1989.14,-2379.26
S2_atr60m,0.75,1.75,0.3,0.8673,0.8516,0.015699999999999936,-0.0398,-0.0451,0.005299999999999999,-124.4047,-130.2905,-1513.4,-2379.26
S2_atr60m,0.75,1.75,-0.15,0.8417,0.8516,-0.00990000000000002,-0.0486,-0.0451,-0.003499999999999996,-136.3734,-130.2905,-4331.16,-2379.26
S2_atr60m,0.75,1.75,-0.3,0.8455,0.8516,-0.006099999999999994,-0.0474,-0.0451,-0.0022999999999999965,-129.6059,-130.2905,-3899.96,-2379.26
S2_atr60m,0.75,2.0,0.15,0.8408,0.836,0.0048000000000000265,-0.0441,-0.0456,0.0015000000000000013,-125.8441,-128.4951,-2879.84,-2779.32
S2_atr60m,0.75,2.0,0.3,0.854,0.836,0.018000000000000016,-0.0399,-0.0456,0.005700000000000004,-118.9704,-128.4951,-2160.0,-2779.32
S2_atr60m,0.75,2.0,-0.15,0.8185,0.836,-0.01749999999999996,-0.0512,-0.0456,-0.005600000000000001,-133.3202,-128.4951,-4870.36,-2779.32
S2_atr60m,0.75,2.0,-0.3,0.8336,0.836,-0.0023999999999999577,-0.0464,-0.0456,-0.0007999999999999952,-121.8781,-128.4951,-3695.43,-2779.32
S2_atr60m,1.0,0.5,0.15,0.8652,0.8855,-0.020299999999999985,-0.0948,-0.0801,-0.01469999999999999,-292.0426,-244.3877,-3257.67,-2034.02
S2_atr60m,1.0,0.5,0.3,0.8793,0.8855,-0.006199999999999983,-0.0844,-0.0801,-0.004299999999999998,-268.0385,-244.3877,-2401.15,-2034.02
S2_atr60m,1.0,0.5,-0.15,0.9056,0.8855,0.020100000000000007,-0.0655,-0.0801,0.014600000000000002,-213.0314,-244.3877,-1407.07,-2034.02
S2_atr60m,1.0,0.5,-0.3,0.8938,0.8855,0.008300000000000085,-0.074,-0.0801,0.006100000000000008,-239.0335,-244.3877,-1724.7,-2034.02
S2_atr60m,1.0,0.75,0.15,0.8845,0.896,-0.011500000000000066,-0.0674,-0.0605,-0.006900000000000003,-196.4676,-177.8278,-3327.1,-2119.94
S2_atr60m,1.0,0.75,0.3,0.8917,0.896,-0.0042999999999999705,-0.0628,-0.0605,-0.0022999999999999965,-186.983,-177.8278,-3010.24,-2119.94
S2_atr60m,1.0,0.75,-0.15,0.8949,0.896,-0.0010999999999999899,-0.0611,-0.0605,-0.0006000000000000033,-183.1956,-177.8278,-2474.84,-2119.94
S2_atr60m,1.0,0.75,-0.3,0.8794,0.896,-0.01660000000000006,-0.0706,-0.0605,-0.010099999999999998,-205.2692,-177.8278,-3056.17,-2119.94
S2_atr60m,1.0,1.0,0.15,0.874,0.8954,-0.021399999999999975,-0.0636,-0.0523,-0.011300000000000004,-183.5054,-153.1777,-2855.2,-1757.82
S2_atr60m,1.0,1.0,0.3,0.874,0.8954,-0.021399999999999975,-0.0634,-0.0523,-0.011099999999999999,-187.135,-153.1777,-2327.43,-1757.82
S2_atr60m,1.0,1.0,-0.15,0.8768,0.8954,-0.01859999999999995,-0.0622,-0.0523,-0.009899999999999999,-170.4911,-153.1777,-3300.58,-1757.82
S2_atr60m,1.0,1.0,-0.3,0.866,0.8954,-0.02939999999999998,-0.0681,-0.0523,-0.015799999999999995,-180.6614,-153.1777,-3710.37,-1757.82
S2_atr60m,1.0,1.25,0.15,0.9118,0.9183,-0.00649999999999995,-0.0381,-0.0353,-0.002800000000000004,-120.1294,-115.3691,-1153.28,-317.7
S2_atr60m,1.0,1.25,0.3,0.9081,0.9183,-0.010199999999999987,-0.0397,-0.0353,-0.004400000000000001,-126.2914,-115.3691,-1517.08,-317.7
S2_atr60m,1.0,1.25,-0.15,0.9194,0.9183,0.0010999999999999899,-0.0349,-0.0353,0.0003999999999999976,-113.5064,-115.3691,-1069.44,-317.7
S2_atr60m,1.0,1.25,-0.3,0.9094,0.9183,-0.008900000000000019,-0.0395,-0.0353,-0.004200000000000002,-118.5975,-115.3691,-1902.72,-317.7
S2_atr60m,1.0,1.5,0.15,0.8922,0.9002,-0.008000000000000007,-0.042,-0.0388,-0.0032000000000000015,-120.9517,-116.5006,-2244.08,-1574.08
S2_atr60m,1.0,1.5,0.3,0.9138,0.9002,0.013599999999999945,-0.033,-0.0388,0.0058,-104.6952,-116.5006,-321.81,-1574.08
S2_atr60m,1.0,1.5,-0.15,0.8987,0.9002,-0.0014999999999999458,-0.0394,-0.0388,-0.0005999999999999964,-120.7753,-116.5006,-1586.01,-1574.08
S2_atr60m,1.0,1.5,-0.3,0.8915,0.9002,-0.008700000000000041,-0.0425,-0.0388,-0.003700000000000002,-123.6069,-116.5006,-1942.33,-1574.08
S2_atr60m,1.0,1.75,0.15,0.8928,0.9018,-0.009000000000000008,-0.0376,-0.0343,-0.0033000000000000043,-110.4939,-101.7834,-1640.86,-979.5
S2_atr60m,1.0,1.75,0.3,0.8995,0.9018,-0.0023000000000000798,-0.035,-0.0343,-0.0007000000000000062,-108.506,-101.7834,-839.31,-979.5
S2_atr60m,1.0,1.75,-0.15,0.8968,0.9018,-0.0050000000000000044,-0.0363,-0.0343,-0.0020000000000000018,-107.4819,-101.7834,-2347.43,-979.5
S2_atr60m,1.0,1.75,-0.3,0.8792,0.9018,-0.022600000000000064,-0.043,-0.0343,-0.0087,-119.0016,-101.7834,-3306.61,-979.5
S2_atr60m,1.0,2.0,0.15,0.8747,0.8779,-0.0031999999999999806,-0.0404,-0.0394,-0.0010000000000000009,-109.1854,-111.712,-2602.41,-2174.31
S2_atr60m,1.0,2.0,0.3,0.8804,0.8779,0.0024999999999999467,-0.0383,-0.0394,0.0010999999999999968,-110.6328,-111.712,-1956.29,-2174.31
S2_atr60m,1.0,2.0,-0.15,0.8723,0.8779,-0.005600000000000049,-0.0414,-0.0394,-0.0020000000000000018,-109.9295,-111.712,-2949.51,-2174.31
S2_atr60m,1.0,2.0,-0.3,0.8693,0.8779,-0.008600000000000052,-0.0424,-0.0394,-0.0030000000000000027,-111.7711,-111.712,-2370.97,-2174.31
S2_atr60m,1.25,0.5,0.15,0.8635,0.8888,-0.02529999999999999,-0.102,-0.0826,-0.019399999999999987,-298.6985,-251.605,-3812.4,-2366.3
S2_atr60m,1.25,0.5,0.3,0.8803,0.8888,-0.008500000000000063,-0.0889,-0.0826,-0.0063,-267.7442,-251.605,-3569.27,-2366.3
S2_atr60m,1.25,0.5,-0.15,0.9032,0.8888,0.014399999999999968,-0.0717,-0.0826,0.010900000000000007,-223.484,-251.605,-1253.93,-2366.3
S2_atr60m,1.25,0.5,-0.3,0.9081,0.8888,0.019299999999999984,-0.0679,-0.0826,0.014700000000000005,-231.9144,-251.605,-753.6,-2366.3
S2_atr60m,1.25,0.75,0.15,0.8839,0.8974,-0.013499999999999956,-0.0733,-0.0645,-0.008800000000000002,-198.4661,-176.7668,-4023.33,-2818.65
S2_atr60m,1.25,0.75,0.3,0.8961,0.8974,-0.0012999999999999678,-0.0651,-0.0645,-0.0006000000000000033,-178.3593,-176.7668,-3950.64,-2818.65
S2_atr60m,1.25,0.75,-0.15,0.8924,0.8974,-0.0050000000000000044,-0.0679,-0.0645,-0.0034000000000000002,-186.7626,-176.7668,-2703.45,-2818.65
S2_atr60m,1.25,0.75,-0.3,0.8966,0.8974,-0.0008000000000000229,-0.0652,-0.0645,-0.0006999999999999923,-186.5902,-176.7668,-1983.95,-2818.65
S2_atr60m,1.25,1.0,0.15,0.8757,0.8906,-0.014899999999999913,-0.0685,-0.06,-0.008500000000000008,-182.8144,-157.7241,-3845.76,-3256.0
S2_atr60m,1.25,1.0,0.3,0.8808,0.8906,-0.00979999999999992,-0.0654,-0.06,-0.005400000000000002,-184.6449,-157.7241,-3378.24,-3256.0
S2_atr60m,1.25,1.0,-0.15,0.8797,0.8906,-0.01089999999999991,-0.0665,-0.06,-0.006500000000000006,-167.1784,-157.7241,-3842.88,-3256.0
S2_atr60m,1.25,1.0,-0.3,0.8976,0.8906,0.007000000000000006,-0.0564,-0.06,0.003599999999999999,-151.2627,-157.7241,-2365.52,-3256.0
S2_atr60m,1.25,1.25,0.15,0.9176,0.9212,-0.0036000000000000476,-0.0394,-0.0376,-0.001799999999999996,-115.0944,-110.5974,-1793.74,-1388.59
S2_atr60m,1.25,1.25,0.3,0.9149,0.9212,-0.006299999999999972,-0.0406,-0.0376,-0.0029999999999999957,-121.5283,-110.5974,-2240.83,-1388.59
S2_atr60m,1.25,1.25,-0.15,0.9345,0.9212,0.013299999999999979,-0.0312,-0.0376,0.006400000000000003,-103.1227,-110.5974,-422.98,-1388.59
S2_atr60m,1.25,1.25,-0.3,0.9432,0.9212,0.02200000000000002,-0.027,-0.0376,0.010600000000000002,-101.9358,-110.5974,-126.24,-1388.59
S2_atr60m,1.25,1.5,0.15,0.8988,0.9017,-0.0028999999999999027,-0.0438,-0.0426,-0.0011999999999999997,-113.0445,-110.9316,-3323.34,-3342.08
S2_atr60m,1.25,1.5,0.3,0.9205,0.9017,0.01880000000000004,-0.0339,-0.0426,0.0087,-98.2751,-110.9316,-1761.26,-3342.08
S2_atr60m,1.25,1.5,-0.15,0.9164,0.9017,0.014700000000000046,-0.036,-0.0426,0.006600000000000002,-99.2601,-110.9316,-1392.2,-3342.08
S2_atr60m,1.25,1.5,-0.3,0.9274,0.9017,0.025700000000000056,-0.0311,-0.0426,0.0115,-96.9549,-110.9316,-371.08,-3342.08
S2_atr60m,1.25,1.75,0.15,0.9084,0.9066,0.0018000000000000238,-0.0357,-0.0365,0.0007999999999999952,-92.9365,-89.3253,-2913.83,-2926.42
S2_atr60m,1.25,1.75,0.3,0.9195,0.9066,0.012900000000000023,-0.0311,-0.0365,0.0053999999999999986,-83.1787,-89.3253,-2282.34,-2926.42
S2_atr60m,1.25,1.75,-0.15,0.9092,0.9066,0.0026000000000000467,-0.0356,-0.0365,0.000899999999999998,-91.6109,-89.3253,-2965.34,-2926.42
S2_atr60m,1.25,1.75,-0.3,0.9075,0.9066,0.0009000000000000119,-0.0364,-0.0365,9.999999999999593e-05,-99.0057,-89.3253,-2781.43,-2926.42
S2_atr60m,1.25,2.0,0.15,0.8952,0.8816,0.013599999999999945,-0.0376,-0.0429,0.005299999999999999,-91.6968,-105.1603,-3647.55,-4172.66
S2_atr60m,1.25,2.0,0.3,0.9042,0.8816,0.022599999999999953,-0.0341,-0.0429,0.008800000000000002,-84.7531,-105.1603,-3335.28,-4172.66
S2_atr60m,1.25,2.0,-0.15,0.8945,0.8816,0.012899999999999912,-0.0381,-0.0429,0.004799999999999999,-93.4995,-105.1603,-2921.6,-4172.66
S2_atr60m,1.25,2.0,-0.3,0.8939,0.8816,0.012299999999999978,-0.0383,-0.0429,0.0046,-97.1562,-105.1603,-2956.57,-4172.66
S2_atr60m,1.5,0.5,0.15,0.865,0.8829,-0.017900000000000027,-0.1053,-0.091,-0.014300000000000007,-310.0391,-277.6429,-4214.31,-2823.14
S2_atr60m,1.5,0.5,0.3,0.8794,0.8829,-0.0035000000000000586,-0.0936,-0.091,-0.002600000000000005,-281.6703,-277.6429,-3642.1,-2823.14
S2_atr60m,1.5,0.5,-0.15,0.9142,0.8829,0.031299999999999994,-0.0663,-0.091,0.0247,-211.9273,-277.6429,-1249.47,-2823.14
S2_atr60m,1.5,0.5,-0.3,0.898,0.8829,0.015100000000000002,-0.079,-0.091,0.011999999999999997,-250.5313,-277.6429,-1660.68,-2823.14
S2_atr60m,1.5,0.75,0.15,0.8966,0.9118,-0.015200000000000102,-0.0687,-0.0585,-0.010199999999999994,-191.3604,-166.4246,-4155.76,-2680.57
S2_atr60m,1.5,0.75,0.3,0.9073,0.9118,-0.0045000000000000595,-0.0612,-0.0585,-0.002699999999999994,-173.3698,-166.4246,-3369.95,-2680.57
S2_atr60m,1.5,0.75,-0.15,0.916,0.9118,0.0041999999999999815,-0.0556,-0.0585,0.0029000000000000067,-158.0866,-166.4246,-2138.09,-2680.57
S2_atr60m,1.5,0.75,-0.3,0.8981,0.9118,-0.013700000000000045,-0.068,-0.0585,-0.009500000000000001,-188.5361,-166.4246,-3014.67,-2680.57
S2_atr60m,1.5,1.0,0.15,0.9071,0.9296,-0.022499999999999964,-0.0539,-0.0406,-0.013300000000000006,-158.3046,-120.3406,-2202.01,-1166.53
S2_atr60m,1.5,1.0,0.3,0.9074,0.9296,-0.022199999999999998,-0.0536,-0.0406,-0.013000000000000005,-162.3849,-120.3406,-1410.65,-1166.53
S2_atr60m,1.5,1.0,-0.15,0.9073,0.9296,-0.022299999999999986,-0.0542,-0.0406,-0.013600000000000001,-138.5303,-120.3406,-2767.98,-1166.53
S2_atr60m,1.5,1.0,-0.3,0.914,0.9296,-0.015599999999999947,-0.0502,-0.0406,-0.009600000000000004,-130.9034,-120.3406,-2229.99,-1166.53
S2_atr60m,1.5,1.25,0.15,0.9394,0.951,-0.011599999999999944,-0.0309,-0.0249,-0.006000000000000002,-105.0867,-90.1556,-291.12,530.13
S2_atr60m,1.5,1.25,0.3,0.9273,0.951,-0.023699999999999943,-0.0371,-0.0249,-0.012200000000000003,-116.173,-90.1556,-916.35,530.13
S2_atr60m,1.5,1.25,-0.15,0.9523,0.951,0.0013000000000000789,-0.0243,-0.0249,0.0005999999999999998,-88.4157,-90.1556,674.28,530.13
S2_atr60m,1.5,1.25,-0.3,0.9466,0.951,-0.0043999999999999595,-0.0273,-0.0249,-0.002400000000000003,-91.1683,-90.1556,-104.2,530.13
S2_atr60m,1.5,1.5,0.15,0.9268,0.9294,-0.0026000000000000467,-0.0338,-0.0327,-0.0010999999999999968,-98.2029,-98.0546,-1486.63,-1460.11
