n,mean,p25,p50,p60,p70,p75,p80,p90,p95,group,metric
3159,-90.38891157756493,-123.1217989278457,-56.300929721321154,-42.00436148688459,-28.35813209367625,-22.80238938486491,-17.523085591328705,-7.794175100851128,-3.1115038631723118,ex_2026,mae
3331,-94.59607841197453,-125.68645560991898,-58.696420367815335,-43.34105721941796,-29.00033690169585,-23.33242225437607,-17.95857113792954,-8.13887667776362,-3.1292383956451886,overall,mae
624,-89.51950666069469,-123.84849082665461,-52.42580876406464,-35.455296615932454,-23.651470096694187,-19.404582212363493,-15.75274376738416,-7.504753606978097,-2.9337324267516114,rvol_quintile_1,mae
622,-72.01959341325902,-98.324641607147,-49.3315794669802,-37.050835243372426,-25.80927838398857,-20.839774111041148,-15.663284984537675,-6.821181562443965,-2.990401987230416,rvol_quintile_2,mae
622,-81.2879583769041,-108.03540629616236,-48.43453729150406,-34.88366003820412,-24.696429741738577,-19.750329802984197,-16.064913844531475,-6.319101059855532,-2.686520037310955,rvol_quintile_3,mae
623,-101.62084458494927,-131.47515721845957,-67.87105978644104,-49.90580643466237,-33.82304976851521,-26.839140402283192,-21.005641158150677,-10.72568094658345,-3.4545019379538653,rvol_quintile_4,mae
623,-111.69970507851895,-155.2573248009444,-71.32852521147288,-54.04636211716134,-36.22771007943976,-29.698195123919504,-22.955355317667994,-9.4519158200368,-4.947879369817033,rvol_quintile_5,mae
1557,-111.36282487307207,-146.2092219126789,-72.2405378189469,-52.010694896584205,-35.76109691735128,-28.45685796129692,-21.852651679635876,-9.338975192778515,-3.177473883514547,side_lower,mae
1774,-79.88028120795602,-108.75374620185903,-49.34976215575807,-35.815778805745325,-24.81214826734359,-19.849569480536957,-15.833960859540804,-7.235687916647838,-3.099494216405448,side_upper,mae
667,-46.233578667154056,-64.60803006442211,-33.09502386513941,-23.095862787368258,-16.6391445762205,-13.943680361850966,-11.053543090365917,-4.586847928486896,-2.019973512164878,vol_quintile_1,mae
666,-72.55026796942045,-104.49978267872575,-54.82060281747,-42.01142691468704,-28.828732712167056,-23.32094652313708,-18.263032476792432,-7.70534784931715,-2.34883163280756,vol_quintile_2,mae
667,-86.71205448946809,-115.67217433181577,-55.4164134317798,-42.839698405295735,-30.22516507367691,-24.639715389796034,-18.735357192109216,-9.480512005426865,-4.010049898092987,vol_quintile_3,mae
665,-113.10969119119949,-162.39387634991726,-78.75031758481418,-54.36556149109529,-37.68071172427336,-29.401479599793674,-24.817743952325685,-10.110549052688652,-4.584052318007174,vol_quintile_4,mae
666,-154.48705219975753,-210.282420152319,-101.50368866183726,-77.51311967428774,-52.61678151775597,-41.607879075370874,-28.389509275923047,-14.084027517928916,-3.642518197941172,vol_quintile_5,mae
406,-48.51266361817189,-64.32297139584011,-34.710799899600715,-24.651098054388054,-16.567546814625075,-14.489402473057226,-11.440177343363755,-5.02108755849531,-1.5108543768433265,year_2018,mae
