level_id,touched_at,side,level,open,high,low,close
4:upper,2018-01-09 07:29:00-05:00,upper,6700.852925468027,6712.75,6712.75,6712.75,6712.75
46:upper,2018-03-08 01:37:00-05:00,upper,6945.66025015068,6955.75,6955.75,6955.5,6955.5
45:upper,2018-03-08 18:04:00-05:00,upper,6989.60835460164,6999.0,6999.25,6999.0,6999.25
41:upper,2018-03-08 20:22:00-05:00,upper,7013.153575857334,7014.25,7015.0,7014.0,7014.25
101:upper,2018-05-28 00:26:00-04:00,upper,7020.8193327305835,7021.0,7023.5,7021.0,7023.5
102:upper,2018-05-28 00:26:00-04:00,upper,7020.702277372695,7021.0,7023.5,7021.0,7023.5
110:upper,2018-06-06 21:46:00-04:00,upper,7231.326699234774,7243.0,7243.0,7243.0,7243.0
115:lower,2018-06-14 05:53:00-04:00,lower,7199.085344323959,7190.25,7191.25,7190.0,7191.0
157:upper,2018-08-14 18:12:00-04:00,upper,7480.329347584688,7483.5,7483.5,7483.5,7483.5
176:upper,2018-09-14 02:26:00-04:00,upper,7612.28905045813,7614.0,7615.5,7614.0,7615.25
181:upper,2018-09-14 02:30:00-04:00,upper,7616.4399418532485,7617.25,7618.0,7617.25,7617.25
180:lower,2018-09-17 19:21:00-04:00,lower,7405.59195539579,7402.25,7403.25,7402.25,7402.75
187:lower,2018-09-23 18:00:00-04:00,lower,7544.616600284125,7539.75,7540.5,7531.5,7532.5
224:upper,2018-12-02 18:00:00-05:00,upper,6995.84905865826,7041.0,7076.5,7041.0,7070.5
225:upper,2018-12-02 18:00:00-05:00,upper,7025.611900143327,7041.0,7076.5,7041.0,7070.5
236:upper,2018-12-02 18:00:00-05:00,upper,6976.303881365071,7041.0,7076.5,7041.0,7070.5
237:upper,2018-12-02 18:00:00-05:00,upper,6982.035014371558,7041.0,7076.5,7041.0,7070.5
296:upper,2019-03-03 18:00:00-05:00,upper,7175.288906163387,7177.0,7184.0,7177.0,7180.5
318:upper,2019-03-31 18:00:00-04:00,upper,7423.461187788158,7430.0,7438.75,7428.5,7437.25
381:upper,2019-06-30 18:00:00-04:00,upper,7766.470804028971,7781.5,7817.5,7781.5,7812.25
382:upper,2019-06-30 18:00:00-04:00,upper,7751.633346750665,7781.5,7817.5,7781.5,7812.25
383:upper,2019-06-30 18:00:00-04:00,upper,7773.978888531025,7781.5,7817.5,7781.5,7812.25
462:upper,2019-10-27 18:00:00-04:00,upper,8042.103174462123,8048.0,8055.0,8048.0,8050.5
498:upper,2019-12-11 20:38:00-05:00,upper,8437.348242154314,8438.5,8439.25,8438.5,8438.75
494:upper,2019-12-12 18:07:00-05:00,upper,8505.952917912762,8522.75,8523.5,8520.75,8521.25
502:upper,2019-12-13 05:35:00-05:00,upper,8544.400039693046,8546.25,8546.75,8545.25,8545.5
525:lower,2020-01-26 18:00:00-05:00,lower,9099.492922897014,9077.0,9077.0,9050.25,9064.5
527:lower,2020-01-26 18:00:00-05:00,lower,9099.048862940475,9077.0,9077.0,9050.25,9064.5
529:lower,2020-01-26 18:00:00-05:00,lower,9099.31603641991,9077.0,9077.0,9050.25,9064.5
561:lower,2020-03-12 08:11:00-04:00,lower,7595.5999259774835,7590.0,7590.0,7590.0,7590.0
588:upper,2020-04-16 18:00:00-04:00,upper,8865.073814760846,8909.75,8937.0,8902.0,8904.5
596:lower,2020-05-03 18:00:00-04:00,lower,8641.652239246381,8624.0,8631.5,8599.25,8615.0
597:lower,2020-05-03 18:00:00-04:00,lower,8664.168440473153,8624.0,8631.5,8599.25,8615.0
621:lower,2020-06-15 01:37:00-04:00,lower,9460.75459174655,9457.0,9459.75,9450.25,9457.5
632:lower,2020-06-28 18:00:00-04:00,lower,9815.634834275053,9785.5,9812.25,9781.0,9787.75
672:lower,2020-09-08 18:00:00-04:00,lower,11018.321572607376,11006.0,11012.0,10972.75,10995.5
881:upper,2021-06-14 07:09:00-04:00,upper,14047.020903090288,14049.0,14052.0,14048.5,14050.25
1204:upper,2022-09-09 00:32:00-04:00,upper,12406.704601741834,12470.25,12471.75,12469.25,12471.5
1206:upper,2022-09-09 00:32:00-04:00,upper,12452.290778087321,12470.25,12471.75,12469.25,12471.5
1202:upper,2022-09-09 14:31:00-04:00,upper,12628.42996861196,12672.75,12673.5,12667.75,12671.0
1200:upper,2022-09-11 18:04:00-04:00,upper,12706.163063434018,12750.5,12750.5,12742.0,12748.75
1207:upper,2022-09-11 18:04:00-04:00,upper,12738.130617017196,12750.5,12750.5,12742.0,12748.75
1209:lower,2022-09-13 11:46:00-04:00,lower,12201.692910855389,12190.5,12199.25,12184.75,12198.25
1270:upper,2022-12-08 18:09:00-05:00,upper,11739.750537768581,11762.0,11762.75,11760.25,11761.0
1272:upper,2022-12-09 12:32:00-05:00,upper,11796.899491185977,11814.0,11814.0,11807.75,11810.5
1286:upper,2023-01-02 18:00:00-05:00,upper,11077.538544018415,11122.5,11150.0,11105.0,11108.5
1391:upper,2023-06-07 06:21:00-04:00,upper,14725.630739165332,14749.75,14750.25,14749.25,14749.25
1395:upper,2023-06-07 06:21:00-04:00,upper,14747.391837767087,14749.75,14750.25,14749.25,14749.25
1396:upper,2023-06-07 06:21:00-04:00,upper,14705.582042342263,14749.75,14750.25,14749.25,14749.25
1394:upper,2023-06-11 18:26:00-04:00,upper,14766.651222966137,14774.5,14776.75,14773.5,14775.75
1408:upper,2023-06-30 00:34:00-04:00,upper,15255.780357455948,15319.0,15319.0,15319.0,15319.0
1410:upper,2023-06-30 00:34:00-04:00,upper,15256.948067275396,15319.0,15319.0,15319.0,15319.0
1412:upper,2023-06-30 00:34:00-04:00,upper,15254.069572783555,15319.0,15319.0,15319.0,15319.0
1413:upper,2023-06-30 00:34:00-04:00,upper,15290.171958931223,15319.0,15319.0,15319.0,15319.0
1458:upper,2023-09-05 18:40:00-04:00,upper,15698.067465263637,15720.0,15721.25,15720.0,15720.0
1460:upper,2023-09-05 18:40:00-04:00,upper,15679.121624193325,15720.0,15721.25,15720.0,15720.0
1461:upper,2023-09-05 18:40:00-04:00,upper,15639.465689431374,15720.0,15721.25,15720.0,15720.0
1463:upper,2023-09-07 18:36:00-04:00,upper,15365.185919182659,15480.5,15481.0,15480.5,15480.5
1464:upper,2023-09-10 18:12:00-04:00,upper,15496.462916416425,15503.5,15504.25,15502.5,15503.75
1465:lower,2023-09-11 12:49:00-04:00,lower,15421.240815329766,15388.75,15392.25,15386.5,15391.0
1466:lower,2023-09-12 18:56:00-04:00,lower,15437.157466874622,15313.75,15313.75,15313.75,15313.75
1523:upper,2023-12-07 21:02:00-05:00,upper,16196.902605630494,16217.5,16218.75,16217.5,16218.25
1524:upper,2023-12-07 21:02:00-05:00,upper,16085.76333390208,16217.5,16218.75,16217.5,16218.25
1527:upper,2023-12-07 21:02:00-05:00,upper,16208.126026151109,16217.5,16218.75,16217.5,16218.25
1528:upper,2023-12-07 21:02:00-05:00,upper,16111.463071266982,16217.5,16218.75,16217.5,16218.25
1529:upper,2023-12-10 18:07:00-05:00,upper,16209.423002982388,16300.0,16301.75,16298.75,16301.25
1588:upper,2024-03-07 21:16:00-05:00,upper,18468.12995596404,18521.5,18522.0,18520.75,18522.0
1591:upper,2024-03-07 21:16:00-05:00,upper,18390.720229220504,18521.5,18522.0,18520.75,18522.0
1591:lower,2024-03-11 04:16:00-04:00,lower,17971.904770779496,17957.25,17958.5,17941.5,17941.75
1593:lower,2024-03-11 16:23:00-04:00,lower,18005.13375825348,17990.25,17990.25,17987.75,17988.0
1595:lower,2024-03-13 20:55:00-04:00,lower,18186.20885245448,18118.5,18119.0,18117.75,18117.75
1660:upper,2024-06-13 19:22:00-04:00,upper,19803.81760183625,19874.5,19875.0,19874.5,19874.5
1661:upper,2024-06-16 18:01:00-04:00,upper,19759.517508809033,19937.75,19948.5,19930.25,19943.25
1662:lower,2024-06-17 12:07:00-04:00,lower,19780.6335372609,19748.75,19750.25,19743.0,19744.5
1663:lower,2024-06-18 16:47:00-04:00,lower,20032.580635388927,19927.5,19927.5,19926.25,19927.0
1664:lower,2024-06-19 11:57:00-04:00,lower,20112.028771407702,19965.0,19966.75,19964.5,19966.0
1713:lower,2024-08-28 18:00:00-04:00,lower,19227.07384076628,19217.0,19220.5,19187.5,19209.5
1720:upper,2024-09-11 19:24:00-04:00,upper,19315.447828247725,19478.5,19478.5,19478.5,19478.5
1725:upper,2024-09-12 18:38:00-04:00,upper,19539.151428225923,19668.25,19670.75,19668.0,19670.75
1718:upper,2024-09-15 18:09:00-04:00,upper,19712.93003387691,19753.25,19754.25,19751.75,19753.5
1726:upper,2024-09-15 18:09:00-04:00,upper,19685.053570433898,19753.25,19754.25,19751.75,19753.5
1728:lower,2024-09-17 18:27:00-04:00,lower,19532.687785945345,19455.5,19455.5,19455.0,19455.0
1729:lower,2024-09-18 18:52:00-04:00,lower,19483.490576989338,19432.25,19434.75,19431.75,19434.75
1789:upper,2024-12-12 23:11:00-05:00,upper,21869.341110276982,21972.5,21973.5,21972.5,21973.5
1790:upper,2024-12-12 23:11:00-05:00,upper,21873.75941044215,21972.5,21973.5,21972.5,21973.5
1791:upper,2024-12-15 18:57:00-05:00,upper,22035.261361227676,22074.0,22077.25,22072.5,22077.0
1793:lower,2024-12-17 18:00:00-05:00,lower,22082.464125708895,22010.0,22010.25,21980.0,21980.75
1817:lower,2025-01-26 18:00:00-05:00,lower,21826.4780088657,21771.0,21771.0,21690.25,21694.5
1820:lower,2025-02-02 18:00:00-05:00,lower,21320.281688566007,21200.0,21200.0,20943.0,20986.5
1821:lower,2025-02-02 18:00:00-05:00,lower,21298.78293912612,21200.0,21200.0,20943.0,20986.5
1849:upper,2025-03-17 06:39:00-04:00,upper,19872.263616735974,19876.0,19878.75,19874.25,19877.5
1851:upper,2025-03-17 06:50:00-04:00,upper,19892.689350012097,19894.75,19899.0,19893.25,19895.75
1864:lower,2025-04-02 18:02:00-04:00,lower,19042.41789598961,19020.0,19037.0,18921.0,18964.75
