variant,n,net,pf,maxdd,avg,wr,twr,tp,sl,be,cut
full,1117,8757.719577841755,1.3804960864657114,-870.2408024054566,7.840393534325654,39.301700984780666,55.57065217391305,409,327,278,102
exclude_2026,1049,5881.663352460358,1.2709609492201057,-870.2408024054566,5.606924072888806,38.41754051477598,54.40115440115441,377,316,261,94
exclude_2025_2026,901,3500.9547121519618,1.1959480512694853,-835.2314051596622,3.885632310934475,37.40288568257492,52.88135593220339,312,278,225,85
2018_2024_only,901,3500.9547121519618,1.1959480512694853,-835.2314051596622,3.885632310934475,37.40288568257492,52.88135593220339,312,278,225,85
