level_id,side,session_date,year,created_at,expiry_at,touched_at,entry_price,minutes_elapsed,window_allowed,hmm_state,hmm_prob,hmm_prob_low,hmm_prob_mid,hmm_prob_high,hmm_last_bar_ts,hmm_n_train_sessions,hmm_earliest_train_session,hmm_latest_train_session,hmm_param_hash,hmm_allowed,position_available,tp_dist,sl_dist,skip_reason,entry_time,profit_lock_trigger_ts,profit_lock_activation_ts,exit_time,exit_reason,pnl_pts,r_multiple
1540_lower,lower,2024-01-02,2024,2023-12-26 10:30:00-05:00,2024-01-24 10:30:00-05:00,2024-01-02 11:27:00+00:00,16886.198162072822,747,True,HIGH_VOL,0.9999956313127447,,,,,,,,,True,True,56.5,53.25,,2024-01-02 11:27:00+00:00,,,2024-01-02 12:53:00+00:00,SL,-53.25,-1.0
1539_lower,lower,2024-01-02,2024,2023-12-22 10:30:00-05:00,2024-01-23 10:30:00-05:00,2024-01-02 11:34:00+00:00,16868.892254296217,754,True,HIGH_VOL,0.999999999868671,,,,,,,,,True,False,56.5,57.25,position_open,,,,,,,
1538_lower,lower,2024-01-02,2024,2023-12-21 10:30:00-05:00,2024-01-22 10:30:00-05:00,2024-01-02 14:56:00+00:00,16727.620588496313,956,True,HIGH_VOL,1.0,,,,,,,,,True,True,53.5,52.0,,2024-01-02 14:56:00+00:00,,,2024-01-02 15:00:00+00:00,TP,53.5,1.0288461538461537
1535_lower,lower,2024-01-02,2024,2023-12-18 10:30:00-05:00,2024-01-17 10:30:00-05:00,2024-01-02 15:30:00+00:00,16716.142346863584,990,True,HIGH_VOL,0.9999999959468464,,,,,,,,,True,True,55.5,55.25,,2024-01-02 15:30:00+00:00,2024-01-02 16:20:00+00:00,2024-01-02 16:21:00+00:00,2024-01-02 16:37:00+00:00,TP,55.5,1.004524886877828
1534_lower,lower,2024-01-02,2024,2023-12-15 10:30:00-05:00,2024-01-16 10:30:00-05:00,2024-01-02 20:00:00+00:00,16653.707174633542,1260,False,MID_VOL,0.785405404934051,,,,,,,,,True,True,57.75,56.25,blocked_window,,,,,,,
1544_lower,lower,2024-01-03,2024,2024-01-02 10:30:00-05:00,2024-01-30 10:30:00-05:00,2024-01-03 12:35:00+00:00,16606.828216044698,815,True,MID_VOL,0.6771658400045469,,,,,,,,,True,True,107.5,83.0,,2024-01-03 12:35:00+00:00,,,2024-01-03 20:50:00+00:00,SL,-83.0,-1.0
1532_lower,lower,2024-01-04,2024,2023-12-13 10:30:00-05:00,2024-01-12 10:30:00-05:00,2024-01-04 13:21:00+00:00,16488.54939710143,861,True,MID_VOL,0.6846129561582218,,,,,,,,,True,True,65.25,57.5,,2024-01-04 13:21:00+00:00,2024-01-04 15:18:00+00:00,2024-01-04 15:19:00+00:00,2024-01-04 16:10:00+00:00,TP,65.25,1.1347826086956523
1545_lower,lower,2024-01-05,2024,2024-01-03 10:30:00-05:00,2024-01-31 10:30:00-05:00,2024-01-05 05:20:00+00:00,16435.46891329104,380,False,LOW_VOL,0.6602233155425379,,,,,,,,,False,True,46.25,45.0,blocked_window,,,,,,,
1546_upper,upper,2024-01-08,2024,2024-01-04 10:30:00-05:00,2024-02-01 10:30:00-05:00,2024-01-08 15:04:00+00:00,16639.231009485135,964,True,HIGH_VOL,0.9999999999999999,,,,,,,,,True,True,66.0,64.0,,2024-01-08 15:04:00+00:00,,,2024-01-08 17:38:00+00:00,SL,-64.0,-1.0
1547_upper,upper,2024-01-08,2024,2024-01-05 10:30:00-05:00,2024-02-02 10:30:00-05:00,2024-01-08 15:48:00+00:00,16661.23570688657,1008,True,MID_VOL,0.48045950216035266,,,,,,,,,True,False,66.0,59.0,position_open,,,,,,,
1548_upper,upper,2024-01-08,2024,2024-01-08 10:30:00-05:00,2024-02-05 10:30:00-05:00,2024-01-08 19:14:00+00:00,16751.6119350137,1214,False,LOW_VOL,0.52689595980491,,,,,,,,,False,True,58.5,53.75,blocked_window,,,,,,,
1545_upper,upper,2024-01-08,2024,2024-01-03 10:30:00-05:00,2024-01-31 10:30:00-05:00,2024-01-08 19:51:00+00:00,16779.531086708965,1251,False,MID_VOL,0.6723235667946377,,,,,,,,,True,True,58.5,53.25,blocked_window,,,,,,,
1549_upper,upper,2024-01-09,2024,2024-01-09 10:30:00-05:00,2024-02-06 10:30:00-05:00,2024-01-09 17:54:00+00:00,16846.275503128818,1134,False,LOW_VOL,0.7793840203384559,,,,,,,,,False,True,107.75,81.0,blocked_window,,,,,,,
1550_upper,upper,2024-01-11,2024,2024-01-10 10:30:00-05:00,2024-02-07 10:30:00-05:00,2024-01-11 01:07:00+00:00,16987.228593438093,127,False,LOW_VOL,0.5480783256660505,,,,,,,,,False,True,51.25,49.0,blocked_window,,,,,,,
1544_upper,upper,2024-01-11,2024,2024-01-02 10:30:00-05:00,2024-01-30 10:30:00-05:00,2024-01-11 08:26:00+00:00,17043.921783955302,566,False,LOW_VOL,0.5045445088693041,,,,,,,,,False,True,50.0,46.0,blocked_window,,,,,,,
1553_lower,lower,2024-01-16,2024,2024-01-15 10:30:00-05:00,2024-02-12 10:30:00-05:00,2024-01-16 08:03:00+00:00,16837.32090714007,543,False,MID_VOL,0.6042407629070096,,,,,,,,,True,True,29.25,33.25,blocked_window,,,,,,,
1552_lower,lower,2024-01-16,2024,2024-01-12 10:30:00-05:00,2024-02-09 10:30:00-05:00,2024-01-16 08:04:00+00:00,16823.93116504002,544,False,MID_VOL,0.6042407629070096,,,,,,,,,True,True,29.25,33.25,blocked_window,,,,,,,
1554_lower,lower,2024-01-17,2024,2024-01-16 10:30:00-05:00,2024-02-13 10:30:00-05:00,2024-01-17 14:48:00+00:00,16716.46127168041,948,True,HIGH_VOL,1.0,,,,,,,,,True,True,72.25,64.25,,2024-01-17 14:48:00+00:00,2024-01-17 15:38:00+00:00,2024-01-17 15:39:00+00:00,2024-01-17 16:02:00+00:00,TP,72.25,1.1245136186770428
1550_lower,lower,2024-01-17,2024,2024-01-10 10:30:00-05:00,2024-02-07 10:30:00-05:00,2024-01-17 15:00:00+00:00,16690.521406561907,960,True,HIGH_VOL,1.0,,,,,,,,,True,False,64.5,63.75,position_open,,,,,,,
