candidate,cutoff_minutes,skip_counts,n_trades,net_pts,total_R,PF,avg_R,max_dd_pts,max_dd_R,true_tp_win_rate,lower_n,lower_net_pts,upper_n,upper_net_pts,ex_2026_net_pts,ex_2026_PF,ex_2026_total_R,yearly_json
contig_A,1319,"{""blocked_reserved_year"": 1840, ""blocked_window"": 1114, ""blocked_regime"": 63, ""blocked_at_or_after_cutoff"": 0, ""position_open"": 26, ""same_bar_reentry"": 2}",69,-242.17,-4.5965,0.8849,-0.0666,-779.88,-10.297,0.3188,30,-119.38,39,-122.79,-479.09,0.6377,-8.297,"{""2018"": {""n"": 15, ""net_pts"": -134.23, ""PF"": 0.5356, ""avg_R"": -0.3479, ""total_R"": -5.2184}, ""2020"": {""n"": 32, ""net_pts"": -381.19, ""PF"": 0.6084, ""avg_R"": -0.1135, ""total_R"": -3.6325}, ""2023"": {""n"": 5, ""net_pts"": 36.32, ""PF"": 1.6054, ""avg_R"": 0.1108, ""total_R"": 0.5539}, ""2026"": {""n"": 17, ""net_pts"": 236.92, ""PF"": 1.3032, ""avg_R"": 0.2177, ""total_R"": 3.7005}}"
contig_B,1319,"{""blocked_reserved_year"": 1840, ""blocked_window"": 1249, ""blocked_regime"": 12, ""blocked_at_or_after_cutoff"": 0, ""position_open"": 1, ""same_bar_reentry"": 0}",12,257.62,3.8579,2.8239,0.3215,-81.0,-1.0,0.4167,7,54.6,5,203.02,202.2,4.356,3.3933,"{""2018"": {""n"": 3, ""net_pts"": 77.35, ""PF"": Infinity, ""avg_R"": 0.6266, ""total_R"": 1.8799}, ""2020"": {""n"": 6, ""net_pts"": 124.85, ""PF"": 3.0722, ""avg_R"": 0.2522, ""total_R"": 1.5134}, ""2026"": {""n"": 3, ""net_pts"": 55.42, ""PF"": 1.6843, ""avg_R"": 0.1549, ""total_R"": 0.4646}}"
contig_C,1319,"{""blocked_reserved_year"": 1840, ""blocked_window"": 1238, ""blocked_regime"": 14, ""blocked_at_or_after_cutoff"": 0, ""position_open"": 3, ""same_bar_reentry"": 0}",19,407.46,8.2174,2.1379,0.4325,-148.25,-2.0,0.6316,9,430.05,10,-22.59,400.91,2.1196,8.1174,"{""2018"": {""n"": 6, ""net_pts"": 103.16, ""PF"": 5.7782, ""avg_R"": 0.4968, ""total_R"": 2.981}, ""2020"": {""n"": 9, ""net_pts"": 25.5, ""PF"": 1.0758, ""avg_R"": 0.1592, ""total_R"": 1.4329}, ""2023"": {""n"": 3, ""net_pts"": 272.25, ""PF"": Infinity, ""avg_R"": 1.2345, ""total_R"": 3.7035}, ""2026"": {""n"": 1, ""net_pts"": 6.55, ""PF"": Infinity, ""avg_R"": 0.1, ""total_R"": 0.1}}"
contig_D,1319,"{""blocked_reserved_year"": 1840, ""blocked_window"": 1186, ""blocked_regime"": 30, ""blocked_at_or_after_cutoff"": 0, ""position_open"": 11, ""same_bar_reentry"": 0}",47,-427.99,-5.5109,0.6004,-0.1173,-516.11,-7.3356,0.2766,26,-11.88,21,-416.11,-320.94,0.6531,-3.8109,"{""2018"": {""n"": 12, ""net_pts"": -70.07, ""PF"": 0.6858, ""avg_R"": -0.1229, ""total_R"": -1.4753}, ""2020"": {""n"": 16, ""net_pts"": -218.81, ""PF"": 0.5016, ""avg_R"": -0.1076, ""total_R"": -1.7215}, ""2023"": {""n"": 14, ""net_pts"": -32.05, ""PF"": 0.8781, ""avg_R"": -0.0439, ""total_R"": -0.6141}, ""2026"": {""n"": 5, ""net_pts"": -107.05, ""PF"": 0.2668, ""avg_R"": -0.34, ""total_R"": -1.7}}"
contig_E,1319,"{""blocked_reserved_year"": 1840, ""blocked_window"": 1234, ""blocked_regime"": 12, ""blocked_at_or_after_cutoff"": 0, ""position_open"": 8, ""same_bar_reentry"": 0}",20,373.42,2.8314,2.0409,0.1416,-131.65,-2.5866,0.4,12,212.32,8,161.1,165.33,1.4608,1.2883,"{""2018"": {""n"": 5, ""net_pts"": 12.98, ""PF"": 1.1426, ""avg_R"": 0.0098, ""total_R"": 0.049}, ""2020"": {""n"": 7, ""net_pts"": 116.48, ""PF"": 1.6933, ""avg_R"": 0.1182, ""total_R"": 0.8272}, ""2023"": {""n"": 6, ""net_pts"": 35.88, ""PF"": 1.3596, ""avg_R"": 0.0687, ""total_R"": 0.4122}, ""2026"": {""n"": 2, ""net_pts"": 208.1, ""PF"": Infinity, ""avg_R"": 0.7715, ""total_R"": 1.543}}"
contig_F,1319,"{""blocked_reserved_year"": 1840, ""blocked_window"": 1246, ""blocked_regime"": 4, ""blocked_at_or_after_cutoff"": 0, ""position_open"": 0, ""same_bar_reentry"": 1}",23,195.5,1.5043,1.5104,0.0654,-181.38,-3.7745,0.3478,13,354.98,10,-159.48,-45.65,0.8447,-0.3903,"{""2018"": {""n"": 6, ""net_pts"": 7.43, ""PF"": 1.1049, ""avg_R"": 0.0798, ""total_R"": 0.4785}, ""2020"": {""n"": 7, ""net_pts"": -61.13, ""PF"": 0.5973, ""avg_R"": -0.2744, ""total_R"": -1.9205}, ""2023"": {""n"": 5, ""net_pts"": 8.05, ""PF"": 1.1126, ""avg_R"": 0.2103, ""total_R"": 1.0517}, ""2026"": {""n"": 5, ""net_pts"": 241.15, ""PF"": 3.7096, ""avg_R"": 0.3789, ""total_R"": 1.8946}}"
contig_G,1319,"{""blocked_reserved_year"": 1840, ""blocked_window"": 1214, ""blocked_regime"": 25, ""blocked_at_or_after_cutoff"": 0, ""position_open"": 6, ""same_bar_reentry"": 0}",29,181.33,3.3969,1.3105,0.1171,-276.45,-3.9,0.4138,16,-79.55,13,260.88,-84.9,0.8546,-0.2511,"{""2018"": {""n"": 7, ""net_pts"": -5.5, ""PF"": 0.9605, ""avg_R"": 0.0784, ""total_R"": 0.5487}, ""2020"": {""n"": 6, ""net_pts"": -97.4, ""PF"": 0.505, ""avg_R"": -0.0792, ""total_R"": -0.4753}, ""2023"": {""n"": 11, ""net_pts"": 18.0, ""PF"": 1.0726, ""avg_R"": -0.0295, ""total_R"": -0.3245}, ""2026"": {""n"": 5, ""net_pts"": 266.23, ""PF"": Infinity, ""avg_R"": 0.7296, ""total_R"": 3.648}}"
contig_H,1319,"{""blocked_reserved_year"": 1840, ""blocked_window"": 1258, ""blocked_regime"": 1, ""blocked_at_or_after_cutoff"": 0, ""position_open"": 2, ""same_bar_reentry"": 0}",13,577.58,8.19,4.9358,0.63,-96.75,-1.0,0.6923,6,360.12,7,217.45,357.33,3.4349,5.7345,"{""2018"": {""n"": 2, ""net_pts"": 95.75, ""PF"": Infinity, ""avg_R"": 1.0106, ""total_R"": 2.0213}, ""2020"": {""n"": 4, ""net_pts"": 227.08, ""PF"": Infinity, ""avg_R"": 0.6493, ""total_R"": 2.5973}, ""2023"": {""n"": 5, ""net_pts"": 34.5, ""PF"": 1.2351, ""avg_R"": 0.2232, ""total_R"": 1.1159}, ""2026"": {""n"": 2, ""net_pts"": 220.25, ""PF"": Infinity, ""avg_R"": 1.2278, ""total_R"": 2.4555}}"
contig_I,1319,"{""blocked_reserved_year"": 1840, ""blocked_window"": 1008, ""blocked_regime"": 31, ""blocked_at_or_after_cutoff"": 0, ""position_open"": 51, ""same_bar_reentry"": 6}",178,960.68,7.4888,1.2697,0.0421,-474.27,-11.6049,0.4157,86,594.43,92,366.24,792.14,1.2701,5.4348,"{""2018"": {""n"": 50, ""net_pts"": -2.7, ""PF"": 0.9967, ""avg_R"": -0.0495, ""total_R"": -2.4752}, ""2020"": {""n"": 41, ""net_pts"": 248.99, ""PF"": 1.2577, ""avg_R"": -0.0238, ""total_R"": -0.9775}, ""2023"": {""n"": 61, ""net_pts"": 545.85, ""PF"": 1.4787, ""avg_R"": 0.1457, ""total_R"": 8.8875}, ""2026"": {""n"": 26, ""net_pts"": 168.54, ""PF"": 1.268, ""avg_R"": 0.079, ""total_R"": 2.054}}"
contig_AB,1319,"{""blocked_reserved_year"": 1840, ""blocked_window"": 1089, ""blocked_regime"": 75, ""blocked_at_or_after_cutoff"": 0, ""position_open"": 28, ""same_bar_reentry"": 3}",79,4.71,-0.9386,1.0021,-0.0119,-656.6,-7.9496,0.3418,36,-69.53,43,74.23,-287.64,0.792,-5.1037,"{""2018"": {""n"": 18, ""net_pts"": -56.88, ""PF"": 0.8032, ""avg_R"": -0.1855, ""total_R"": -3.3385}, ""2020"": {""n"": 36, ""net_pts"": -267.09, ""PF"": 0.7416, ""avg_R"": -0.0644, ""total_R"": -2.3191}, ""2023"": {""n"": 5, ""net_pts"": 36.32, ""PF"": 1.6054, ""avg_R"": 0.1108, ""total_R"": 0.5539}, ""2026"": {""n"": 20, ""net_pts"": 292.35, ""PF"": 1.339, ""avg_R"": 0.2083, ""total_R"": 4.1651}}"
