period,n,net,pf,maxdd,avg,wr,twr,TP,SL,BE,cutoff
full_2018_2026,1107,6648.166494480312,1.2923883743671922,-1290.2870477442339,6.0055704557184395,38.030713640469735,54.19532324621733,394,333,281,99
exclude_2026,1040,3904.6102690989137,1.1822238172256174,-1290.2870477442339,3.7544329510566476,37.019230769230774,52.92397660818714,362,322,265,91
exclude_2025_2026,898,2848.6638699561154,1.163317583944021,-1267.2776504984395,3.172231481020173,36.525612472160354,52.04081632653062,306,282,228,82
2018_2024_only,898,2848.6638699561154,1.163317583944021,-1267.2776504984395,3.172231481020173,36.525612472160354,52.04081632653062,306,282,228,82
