variant,n,net,pf,maxdd,avg,wr,twr,tp,sl,be,cut,raw_physical_touches,eligible_candidates,skipped
base_legacy_entrybar,1117,8757.719577841755,1.3804960864657114,-870.2408024054566,7.840393534325654,39.301700984780666,55.57065217391305,409,327,278,102,3492,1835,2375
creation_following_bar,1117,8757.719577841755,1.3804960864657114,-870.2408024054566,7.840393534325654,39.301700984780666,55.57065217391305,409,327,278,102,3492,1835,2375
touchbar_adverse_stop_first,1129,9550.316996276382,1.4192433587788469,-1108.9752603666966,8.459093885098655,39.50398582816652,55.76407506702413,416,330,281,101,3492,1835,2363
no_same_minute_reentry,1115,8776.469577841755,1.3818893598318747,-870.2408024054566,7.871273163983637,39.28251121076233,55.5858310626703,408,326,278,102,3492,1835,2377
expiry_exclude_creation_ts,1117,8757.719577841755,1.3804960864657114,-870.2408024054566,7.840393534325654,39.301700984780666,55.57065217391305,409,327,278,102,3491,1834,2374
sl_cap_tp_uncapped,1114,7117.10501900986,1.3045199554024132,-1789.3990709080936,6.388783679542065,38.42010771992819,54.1782729805014,389,329,284,111,3492,1835,2378
tp_cap_sl_uncapped,1117,9265.90752177127,1.407353441037214,-886.6158024054566,8.295351407136321,39.48075201432408,55.934515688949524,410,323,278,105,3492,1835,2375
both_uncapped,1114,7750.074955423305,1.3371926945093893,-1801.9113380310118,6.956979313665444,38.59964093357271,54.634831460674164,389,323,284,117,3492,1835,2378
