variant,n,net,pf,maxdd,avg,wr,twr,tp,sl,be,cut,cost_pts
cost_0,1117,8757.719577841755,1.3804960864657114,-870.2408024054566,7.840393534325654,39.301700984780666,55.57065217391305,409,327,278,102,0.0
cost_0.5,1117,8199.219577841755,1.3510603756533837,-969.2408024054566,7.340393534325654,39.301700984780666,55.57065217391305,409,327,278,102,0.5
cost_1,1117,7640.719577841756,1.3224634915511957,-1068.6158024054566,6.840393534325655,39.21217547000895,55.57065217391305,409,327,278,102,1.0
cost_2,1117,6523.719577841756,1.2676525579853553,-1276.522079534072,5.840393534325655,39.21217547000895,55.57065217391305,409,327,278,102,2.0
